word,count_a,count_b,total_count,log_odds,z_score,variance
athleticism,64,97,161,-0.7290892253228103,-4.5273462245521285,0.025934265003171794
talented,5,27,32,-1.9981531881125463,-4.104128615778327,0.2370367238302431
handoff,63,85,148,-0.6121444541407568,-3.6821621252511325,0.027637708087340337
veteran,171,76,247,0.5032569297658602,3.650448928992411,0.019005835837915406
bursts,15,34,49,-1.1300473386607042,-3.645724308380343,0.09607836982268073
physical,37,57,94,-0.7442572178421072,-3.525311767831825,0.044570863587081164
tools,20,38,58,-0.953610015519887,-3.4519438891647387,0.07631574566709048
him,115,129,244,-0.42784403733238463,-3.336064581569694,0.016447582324661023
through,157,166,323,-0.3690605922698955,-3.3151286471120596,0.012393517263905153
see,66,83,149,-0.5415781071349945,-3.2838180464693103,0.027199694713309172
contact,36,53,89,-0.698713520745744,-3.2351426839874655,0.04664567856370108
mitts,38,8,46,1.2488060186900762,3.2103554048184657,0.15131561189556103
target,164,80,244,0.40965287122847105,3.003918446887023,0.018597549809755285
route,144,68,212,0.44196733024353385,3.003710501592073,0.021650313531995168
valve,27,4,31,1.5999755816380459,2.986377740459284,0.2870365686038019
potential,26,40,66,-0.7424050168716247,-2.947037840543925,0.06346150560458387
determination,31,45,76,-0.684372473811603,-2.9320606606047974,0.05448025914955319
reliable,232,123,355,0.32675845464194,2.929606760989344,0.012440419016704797
catch,415,242,657,0.23242642951744408,2.8736553186083436,0.006541866402605824
security,16,28,44,-0.870975774862413,-2.779194001970907,0.09821423177468072
blockers,3,13,16,-1.7773897098336198,-2.774950293231311,0.41025596727217517
combination,2,12,14,-2.1027967395664984,-2.7532092169596556,0.5833324823038794
second,5,15,20,-1.4096951962395305,-2.7298640855168177,0.2666664563735195
force,22,34,56,-0.7467680733623361,-2.729245735030965,0.07486627132693344
quarterback,360,209,569,0.2364331006383189,2.7187962125770135,0.007562462652554795
drops,125,60,185,0.4252965958018624,2.70792608454319,0.024666651707986015
off,128,131,259,-0.3357078444932684,-2.7011726449142968,0.015446080475830758
immediately,33,9,42,0.9896833916021919,2.6317829198088916,0.14141400961887124
lower,3,12,15,-1.6972911180585317,-2.629433415463054,0.41666624772339117
catching,3,12,15,-1.6972911180585317,-2.629433415463054,0.41666624772339117
big,307,177,484,0.24296733226156686,2.574430334383287,0.00890704163452663
defenses,14,24,38,-0.8502145142124125,-2.528171161362224,0.11309517662001416
hard,16,26,42,-0.7967558167457378,-2.5075371614993247,0.10096148494890464
snap,328,192,520,0.22781228969986778,2.507050783950761,0.008257109340472852
run,50,59,109,-0.4772166748098803,-2.482638428297046,0.03694913481950152
playmaker,2,10,12,-1.9203635016122522,-2.479180145098179,0.5999992618714171
level,29,39,68,-0.6077087875952358,-2.478406102571078,0.06012375455590496
pass,247,140,387,0.2596146934338224,2.454066914350392,0.011191433966860067
lead,35,11,46,0.847823519958359,2.4527714868866877,0.11948042065728688
playmaking,4,12,16,-1.4095682939457843,-2.441444864513328,0.33333307046689936
nightmare,5,13,18,-1.266482514942969,-2.4066879161072294,0.2769228813877608
opposing,13,22,35,-0.8372401403069283,-2.3933110914588753,0.12237755627374432
hole,15,24,39,-0.7811806531584136,-2.3733978254397425,0.10833327630772732
quarter,89,42,131,0.4418211732829409,2.360101377747502,0.035045457383933526
display,18,27,45,-0.7166871008342994,-2.355274754444451,0.09259254513058084
initial,21,30,51,-0.6679419098315931,-2.3475994010344294,0.0809523401866103
impressive,24,33,57,-0.6297656776096154,-2.3474927450195624,0.07196966117517756
replay,7,15,22,-1.0731411696244146,-2.3444463534852154,0.2095236801720383
gain,214,197,411,-0.2299429178041894,-2.3288377367672632,0.009749034699577198
