word,count_a,count_b,total_count,log_odds,z_score,variance
sure,34,44,78,1.4743844046076813,6.456977607723223,0.05213902388313921
middle,67,168,235,0.8138710802908111,5.632663503553911,0.02087774645733524
reliable,93,307,400,0.5390150337144108,4.553880637387922,0.014010010813450161
veteran,72,221,293,0.6112790536264807,4.504723943531372,0.01841376790564691
late,44,117,161,0.7539852598514631,4.263529473892225,0.03127426933886258
playmaking,12,235,247,-1.2471367195385605,-4.2139626309288785,0.08758843624362372
toughness,13,16,29,1.5232318494680817,4.079422962810267,0.13942304110278153
ability,44,466,510,-0.6332140412232459,-4.014995259665392,0.024873162055480992
undrafted,8,3,11,2.711474724344339,4.00511436475611,0.45833315804141467
alive,42,118,160,0.6987721449172541,3.889030313972403,0.032284087230986455
target,63,205,268,0.5523822432699435,3.8345959999138612,0.020751055361359218
hit,28,67,95,0.8588825375347433,3.816703859302643,0.0506396409514361
clutch,36,97,133,0.7404038138400661,3.793848881708557,0.03808704144719064
keep,68,229,297,0.5181065946155945,3.751571198777419,0.01907268579168709
through,31,348,379,-0.6907648115863454,-3.6853723978592163,0.035131577752149895
falls,19,39,58,1.0119097566375288,3.6169038168833247,0.07827257959184453
handoff,20,260,280,-0.8371105827000509,-3.607495894209097,0.053846065308397154
drive,49,155,204,0.5802202943096724,3.5403142682997903,0.026859764417531393
wideout,20,44,64,0.9425846620192457,3.4951980555252793,0.07272724845243546
shown,20,44,64,0.9425846620192457,3.4951980555252793,0.07272724845243546
handed,11,16,27,1.3560106406103882,3.462084054839169,0.15340904959019808
possession,11,16,27,1.3560106406103882,3.462084054839169,0.15340904959019808
trusted,7,6,13,1.8846684359506929,3.3875676857099073,0.3095237307589317
stepped,15,29,44,1.0716004042083727,3.3693895601671975,0.10114939411998028
across,22,53,75,0.8518265649655872,3.3586898391891298,0.06432244714134103
needed,14,27,41,1.0740125126498405,3.2610944661080894,0.1084655750914085
agent,6,1,7,3.5222670038206267,3.2609868531681836,1.1666657620472456
