word,count_a,count_b,total_count,log_odds,z_score,variance
special,158,27,185,2.642219541036482,12.688011549034172,0.043366130234759576
teams,159,17,176,3.111291549709245,12.192915425565609,0.06511278870814556
defensive,237,1241,1478,-0.7917757239337844,-11.169278559202818,0.0050252088911883555
veteran,485,593,1078,0.6768985460242964,11.05636715054714,0.003748195703968775
kick,117,13,130,3.0717360795239594,10.506957769148181,0.08547002367372519
reliable,248,228,476,0.9597141885188885,10.46000127928917,0.008418221636004471
interception,37,502,539,-1.7408456366237353,-10.219245591745459,0.029019027486098747
tight,212,187,399,1.000596632599887,9.97381612961862,0.010064573105010601
poise,91,22,113,2.2935261270259533,9.653761875618,0.056443536833456626
punt,122,70,192,1.4295310345357715,9.53392978350759,0.022482431464076854
athleticism,51,482,533,-1.3786787585489915,-9.362854010877028,0.0216825154902403
playmaking,39,417,456,-1.501672705322683,-8.967954219211554,0.028039083176682994
instincts,78,520,598,-1.029382894973005,-8.47764928336281,0.014743581768183899
secondary,16,329,345,-2.1552410268750046,-8.418691467442052,0.06553940648094803
accuracy,69,16,85,2.3347011872991574,8.414076501024649,0.07699272585788267
perfectly,129,688,817,-0.8067672480039159,-8.408652406513095,0.009205422323608959
reads,66,472,538,-1.0993673267146695,-8.365555415930439,0.017270149226642606
steps,82,41,123,1.5663998051643748,8.189341133119791,0.03658535859552299
ability,182,845,1027,-0.6684712646391091,-8.180157271871774,0.006677934872631809
goal,67,9,76,2.880676078230765,8.114213239772155,0.12603640844484046
eyes,47,384,431,-1.2320546863821669,-7.972711223429225,0.02388074669626015
defense,220,950,1170,-0.5961416713763672,-7.967641251327334,0.005598084103218539
arm,72,33,105,1.6532316289380482,7.864340695476407,0.04419190993323287
great,130,114,244,1.005061541592707,7.832887311248097,0.016464234881240623
first,239,289,528,0.6847356626048082,7.831661230475157,0.007644306795672844
sideline,92,530,622,-0.883087092517755,-7.818803440885003,0.012756351662842674
technique,190,209,399,0.7789655218343761,7.7710869074385105,0.010047845287997258
changing,20,286,306,-1.791438706433616,-7.745322439900821,0.053496442492648
experience,78,43,121,1.4686309789576946,7.7321731285161555,0.03607632000266499
bursts,122,618,740,-0.7546535307252018,-7.617386501472822,0.009814840189678577
incredible,25,289,314,-1.578629516900481,-7.572416990653206,0.0434601674458867
involving,5,309,314,-3.2557422182410445,-7.221883764907914,0.2032352489919485
decision,54,19,73,1.9172905737130046,7.187870473342186,0.07115007943229604
attempt,52,17,69,1.990744488566759,7.12552991190442,0.07805427767106252
gets,70,42,112,1.3837434937739177,7.0895763643198935,0.03809523124294352
end,225,288,513,0.6274709777558662,7.052165556112869,0.007916665371723489
steady,79,56,135,1.2170990378901871,6.967334004860201,0.030515365572553008
quarterback,542,1811,2353,-0.34076612196660383,-6.959922111491792,0.0023971988730325435
needle,47,9,56,2.52559230324729,6.941279126575801,0.13238764998093433
turnover,33,281,314,-1.2726202617095632,-6.915829663394766,0.033861725967449935
under,52,21,73,1.7793904169098775,6.882103283881073,0.06684980157148708
threading,46,8,54,2.621853407371262,6.844402438293708,0.14673906145336021
leaps,17,223,240,-1.7045073348525923,-6.7743927747515675,0.0633077680607201
force,44,306,350,-1.0701547914705625,-6.637426912955287,0.02599523194055143
ace,47,5,52,3.113423654112543,6.618668713743314,0.2212764288170655
leverage,70,49,119,1.2295140141843506,6.600959972733739,0.034693871690735234
skills,16,211,227,-1.7097098378633886,-6.593422861562359,0.06723926572223125
impressive,63,367,430,-0.8931637697814301,-6.549381375653438,0.0185978026626415
come,103,498,601,-0.7072108267464543,-6.533487060394722,0.011716765304789822
return,44,15,59,1.948660549329766,6.517517580460543,0.08939391616675661
strike,55,30,85,1.47878450932087,6.515345381471025,0.05151514179062719
show,41,11,52,2.1881620597901863,6.444157577341083,0.11529929825351148
between,46,19,65,1.7567324272931915,6.441762439511973,0.07437069265607194
unit,58,35,93,1.3777682165607112,6.436988681985927,0.04581279966338608
pressure,50,25,75,1.5657174445686532,6.392015334998928,0.05999998809665771
execution,42,14,56,1.9710907828092799,6.387064972953458,0.09523807004583848
make,306,1099,1405,-0.4112443603984426,-6.362406590625985,0.004177890680543487
hold,44,18,62,1.766305264946105,6.312953038858913,0.07828281055614796
route,49,308,357,-0.9689267545576197,-6.2998520357187635,0.023654904414194627
create,72,58,130,1.0890147584964494,6.172233815019725,0.031130263142564202
towards,30,235,265,-1.1887228805954075,-6.131297380589622,0.03758862873566878
giving,60,42,102,1.2293233135857093,6.110353542913194,0.0404761836391911
uprights,41,4,45,3.199841233180675,6.108636402355983,0.2743900185905899
nice,39,14,53,1.896902024897103,6.088402293344461,0.09706957284600665
snatching,34,247,281,-1.1133903204230178,-6.086706267774904,0.03346032804660996
leg,46,3,49,3.6027381706248534,6.046088075432424,0.3550720298837144
impact,78,390,468,-0.7402302541165371,-5.967928333106302,0.015384609036167734
offensive,418,693,1111,0.36943697408060494,5.965380168933227,0.0038353452524385254
man,107,115,222,0.8009902005485987,5.963367295660404,0.01804144369560965
combination,20,191,211,-1.3866485836887543,-5.900068211116069,0.0552355597752002
single,2,312,314,-4.181801993304881,-5.8951332268142895,0.5031988986096302
may,40,18,58,1.6708873619389104,5.88707368496686,0.08055553847327998
sails,37,4,41,3.0970794239352024,5.884254301410466,0.2770268213017736
doesn,35,11,46,2.029776502795362,5.872185007040675,0.11948048633238795
delivering,57,41,98,1.2020579917911647,5.870049653529582,0.041934096531624235
middle,175,234,409,0.5830529339821959,5.834092627162907,0.009987788335240722
excellent,88,88,176,0.8728851696349649,5.790065644964071,0.022727269120199105
kicker,40,3,43,3.4628147672577416,5.784767215152997,0.35833295205750576
backfield,101,455,556,-0.6360840445856777,-5.782871910000622,0.012098787758455376
gain,281,433,714,0.44182641825266256,5.767660917792397,0.005868186663608634
talented,5,163,168,-2.6145058280948312,-5.75856588505032,0.2061344355549482
him,239,867,1106,-0.4204245034200449,-5.754651431947438,0.005337501302620058
moving,47,29,76,1.355296218520495,5.739517665422235,0.0557593444639069
clean,33,10,43,2.0662035683747613,5.723951054882072,0.1303029930467024
quickness,22,190,212,-1.286024000434355,-5.710438188052468,0.050717668124208325
chains,103,114,217,0.771527381428835,5.675348690025363,0.018480664740436824
open,135,169,304,0.6486166470310142,5.619032848056961,0.013324565002386723
creating,112,131,243,0.716349649037582,5.5663000056423275,0.01656215655389221
center,32,11,43,1.9400835785207136,5.550825818840827,0.12215905937602153
display,132,538,670,-0.5360665495396715,-5.518988444036555,0.009434490400108294
engages,39,21,60,1.4913582029742365,5.509958581900316,0.07326005933299173
pocket,90,96,186,0.8083104643460501,5.509074365739762,0.02152777435395936
effort,59,49,108,1.058259768297078,5.475256747722662,0.03735730977611032
unleashes,32,12,44,1.8530609666168019,5.47430555483086,0.11458330567597415
jumps,5,143,148,-2.483375083505302,-5.458395195786956,0.20699253663442974
hole,177,248,425,0.5362051357807989,5.449404102464853,0.009681973953768618
returner,33,3,36,3.270254536818168,5.423106020298531,0.36363604359081036
burst,146,193,339,0.5941834340801773,5.417211709692789,0.012030660234507651
spectacular,32,213,245,-1.0255890104376908,-5.409476326879331,0.03594481626577441
pinpoint,32,13,45,1.7730070209426216,5.390771370221421,0.10817305230557711
agility,19,167,186,-1.3034185737131603,-5.383474035114217,0.05861956148341437
wraps,41,241,282,-0.9013312415002828,-5.335319408233618,0.028539607798027247
target,110,133,243,0.6831028276614113,5.300357273226149,0.016609703399583602
textbook,106,127,233,0.6921832903053948,5.261359514070856,0.017307975220217972
clutch,74,75,149,0.8592311021824539,5.244008426999677,0.026846842585566646
handoff,34,213,247,-0.9649105614524247,-5.224779350453838,0.0341065829988668
solid,35,20,55,1.431838321819546,5.108127125662177,0.07857141409712602
air,87,380,467,-0.6046997976859423,-5.087833456877814,0.014125826668125945
stride,66,65,131,0.8878185797717748,5.080626418944294,0.030536125689138563
tremendous,52,268,320,-0.769858126557641,-5.080481453987908,0.02296210276960091
breaking,42,234,276,-0.847651963812643,-5.058196590223563,0.028083015266851717
sheet,25,6,31,2.2992269937818497,5.057625965569909,0.20666659439663904
stat,25,6,31,2.2992269937818497,5.057625965569909,0.20666659439663904
big,565,1041,1606,0.263926948771398,5.050804936449048,0.0027305257810558
precision,27,3,30,3.069422437767039,5.043577546330043,0.37037010258614245
locked,20,158,178,-1.1965981696496248,-5.041758192499816,0.056329078044992376
alright,53,46,99,1.0140652531443237,5.032284547617962,0.040607048453523316
perfect,120,157,277,0.6042168655218374,4.98302933649381,0.014702757666651323
fantastic,34,204,238,-0.9216368763057057,-4.975377218676848,0.03431370869844967
made,138,529,667,-0.4744807486375606,-4.963901202540941,0.009136733011329463
punter,31,2,33,3.613156326707415,4.952516089877575,0.5322574071080091
savvy,71,76,147,0.8045085286958695,4.874252129976853,0.027242397445404354
job,25,9,34,1.8937282370373412,4.87157630595677,0.15111107348440359
touchdown,37,210,247,-0.8660539464784911,-4.857435904650423,0.03178891702684173
success,33,20,53,1.3729439720448395,4.844923080910311,0.08030301592629188
spring,26,11,37,1.7322827037694983,4.816160723958188,0.12937060076143492
sack,31,188,219,-0.9322324666099107,-4.809080483701451,0.03757719487643674
makes,148,549,697,-0.44158856262131696,-4.76780545124726,0.008578247672867903
point,87,105,192,0.6846144530640856,4.722258532206841,0.02101805900241293
scans,29,16,45,1.4668130923249754,4.710072063343373,0.0969827404253214
throw,101,130,231,0.6203486426705158,4.676944809102998,0.01759329490963908
rising,2,132,134,-3.3195768637703127,-4.6594368586971004,0.5075730985659233
surveying,33,22,55,1.277611293281768,4.641792740452576,0.07575756273203238
loss,73,317,390,-0.5985446208519196,-4.610577946233711,0.016853198153900684
past,15,126,141,-1.2577409248832163,-4.6048202802698475,0.07460312416889862
disruptive,16,129,145,-1.2167398255751865,-4.590592150808424,0.07025189234554358
lining,79,94,173,0.6987279717902473,4.5778608262061296,0.02329652196700726
playmaker,3,104,107,-2.6753607483749287,-4.568444540200766,0.342947773716048
trots,21,3,24,2.8179466329119407,4.565596651412146,0.38095216501882245
frame,68,76,144,0.761255495745627,4.560479229424837,0.02786377264010606
such,53,252,305,-0.6890445165820331,-4.559693514786905,0.022836169499026778
consistent,45,40,85,0.9900498104992916,4.556001615262653,0.04722221467547831
attack,116,160,276,0.5512455217428114,4.520427991422587,0.01487068717193306
expect,75,318,393,-0.5746229429623426,-4.476421322039977,0.016477981568671272
winds,20,3,23,2.769129575330548,4.472548953127696,0.3833331259727814
reading,7,96,103,-1.7478240668316518,-4.464409019415897,0.15327364182833073
block,71,83,154,0.7163224184776009,4.4311498637302815,0.026132695615110363
work,19,4,23,2.4301161900683086,4.417433317642687,0.3026314598178006
accurate,19,6,25,2.0246287043431304,4.323424418910522,0.21929818501043352
defender,190,306,496,0.3966198098352285,4.294089736039863,0.00853113024027531
intercepting,3,89,92,-2.51943760493788,-4.292060510435686,0.34456847627888815
hustle,18,3,21,2.663715275211773,4.271448160462087,0.3888886985824297
leaping,23,143,166,-0.9568360831974969,-4.259077543997195,0.050471242316629444
let,28,19,47,1.2598108541338764,4.238500805630369,0.08834584957274791
maintains,21,10,31,1.613895451891847,4.200531468084597,0.14761901744052125
showing,115,166,281,0.5056788489030035,4.167970435847921,0.014719746064113567
time,118,172,290,0.49593796900756804,4.148906276359827,0.014288527328900352
spots,31,24,55,1.1280032106628077,4.148733081934702,0.07392471906375149
right,159,250,409,0.42041838033276235,4.144657476231897,0.010289306372969783
offense,399,1208,1607,-0.23915029035957414,-4.141741093155042,0.003334079345279221
shown,28,20,48,1.208506310782056,4.127835235263442,0.08571427133310422
