word,count_a,count_b,total_count,log_odds,z_score,variance
special,164,19,183,3.01460008342032,12.439501984780621,0.05872911091185793
defensive,242,1304,1546,-0.8339918227438323,-11.915261954739574,0.004899101028494777
teams,160,14,174,3.295253194809204,11.823289291439709,0.07767852091177939
tight,219,196,415,0.9697504151235146,9.862477912624193,0.009668249763295833
defense,279,1230,1509,-0.6319896766773745,-9.530596402145813,0.004397236369695726
instincts,60,511,571,-1.288792627296898,-9.443895438698865,0.018623604748578743
veteran,460,622,1082,0.5582354713193389,9.077744026092894,0.0037816296385811106
secondary,26,383,409,-1.8363166547799397,-9.060917195909335,0.0410724701945354
reliable,179,159,338,0.9768125281473177,8.963507232475942,0.011875899004142773
poise,79,21,100,2.182468462551162,8.889374830780561,0.0602772617569399
arm,87,35,122,1.768142290704028,8.833462716742998,0.040065674910646096
goal,73,16,89,2.3753401390626836,8.605027930659212,0.07619860956113306
end,230,254,484,0.7592801528668955,8.341807583639302,0.008284833020642956
block,111,76,187,1.2365045991971186,8.305068993074164,0.02216690106047277
kick,83,6,89,3.484820192232749,8.243283061772267,0.17871471909783135
punt,93,54,147,1.4011586520965835,8.1896817969193,0.029271202883937524
decision,74,32,106,1.6956889588289927,8.01464226666112,0.044763506574683656
accuracy,64,20,84,2.0204174253354754,7.886902833295288,0.0656249869828461
force,92,521,613,-0.8802030081287242,-7.783330249681189,0.012788946796482384
interception,19,270,289,-1.7995822821966527,-7.581962724623427,0.05633523721863122
real,100,533,633,-0.8195379516042438,-7.520225909077013,0.01187616890739697
athleticism,51,365,416,-1.1138311999032782,-7.4508243177814135,0.022347559956331156
make,470,1614,2084,-0.38165185130937473,-7.281473208715647,0.0027472376830229425
leg,51,10,61,2.4863409968041665,7.189205973896791,0.11960780736515718
breaking,28,272,300,-1.4190426881442466,-7.149874535640834,0.03939073446449524
execution,68,40,108,1.387809872618277,6.964702578435617,0.03970587722213086
bursts,82,444,526,-0.8349146565318595,-6.9462065434764195,0.014447369635173485
handoff,23,235,258,-1.469332850359348,-6.725248108841471,0.047733552212755215
ace,46,6,52,2.893919624726787,6.667137773912531,0.18840571414355425
return,44,11,55,2.2432541240626866,6.654567934980938,0.11363633636313034
playmaking,15,200,215,-1.7353780302011081,-6.482397476399699,0.07166661240137517
plays,205,797,1002,-0.5041723788924708,-6.438005308316911,0.006132752489248204
perfectly,86,426,512,-0.7456801953041197,-6.3077099767605045,0.013975320748456161
sideline,68,367,435,-0.8313074875157724,-6.296578478425832,0.01743067249834932
steps,54,31,85,1.4119854007908241,6.266116985922993,0.05077657639363584
reads,45,287,332,-0.9980637747518326,-6.224959589358096,0.025706533293538263
ability,104,476,580,-0.6666773134453079,-6.159165651894741,0.011716221778710692
gotta,48,25,73,1.5092482566114693,6.119133183383925,0.06083332494819635
offensive,366,574,940,0.4085465213582511,6.107649498605276,0.004474400158515175
skills,12,168,180,-1.7839671464677025,-5.970298372506236,0.08928564333605923
accurate,35,7,42,2.4662591972147982,5.9565827380151335,0.17142852108814458
put,100,102,202,0.8374870356700495,5.95117222178916,0.019803919331468828
