word,count_a,count_b,total_count,log_odds,z_score,variance
special,109,16,125,2.801332590277008,10.463644694024042,0.0716742866385389
teams,108,10,118,3.2621450543005235,9.869025302805559,0.10925919892324107
kick,96,9,105,3.2495217186642833,9.321413722064081,0.12152771148109756
punt,86,26,112,2.0783540302091748,9.286380104343458,0.05008943627095234
arm,108,58,166,1.5039433240589783,9.238539651769722,0.026500635346360615
decision,111,63,174,1.448666724067829,9.18386836213776,0.024882021943491605
accuracy,73,24,97,1.9942980031750794,8.47561606146917,0.05536528734322592
leg,71,22,93,2.053509502276814,8.415807562367114,0.0595390418200145
yikes,69,19,88,2.171526451288627,8.381566143892165,0.06712431927507265
veteran,320,420,740,0.6114028638488112,8.239697462798421,0.005505951801906073
reliable,107,79,186,1.1854681275056782,7.991694385341826,0.02200401990605741
tight,173,181,354,0.8372943480407073,7.87478834125611,0.011305207551797087
goal,62,20,82,2.0131326417179327,7.828460142862967,0.06612902078358052
perfectly,39,352,391,-1.3211206338031802,-7.828126457419799,0.028481921539240423
sloppy,132,120,252,0.9775365810551628,7.750154472545951,0.015909089288653356
hold,88,60,148,1.2648864067832255,7.555055388500039,0.02803029997715803
eyes,110,575,685,-0.7753153811495572,-7.450122927039872,0.010830036550584935
athleticism,73,446,519,-0.9309979204038221,-7.373844253756936,0.015940777533556754
return,52,12,64,2.3479517126848455,7.331477721238104,0.10256407883189936
throws,57,22,79,1.833638429397337,7.305483390619152,0.0629983955959276
interception,26,278,304,-1.4902688003760787,-7.266696271544981,0.04205863776536879
strength,302,423,725,0.5460567214452894,7.248404684846708,0.005675323863572273
instincts,49,356,405,-1.1040172302294913,-7.245551710629906,0.0232171433156878
physical,139,656,795,-0.6731931607816382,-7.2096719627905195,0.008718632668510183
end,190,226,416,0.7089607721415208,7.202886688540781,0.009687935658664767
receiver,280,1091,1371,-0.48225725741964975,-7.198657006635925,0.004488017910615497
steps,59,28,87,1.6269541836314874,7.089583903110823,0.05266343136370219
bursts,63,394,457,-0.9541537965008597,-7.031998005278167,0.018411080952318127
textbook,67,405,472,-0.9201418921419497,-6.976679711965396,0.017394503460266192
completely,68,42,110,1.3635148420102938,6.947725529029912,0.038515401795009105
coverage,119,571,690,-0.6895066140489856,-6.842353081500458,0.01015467225210175
see,214,866,1080,-0.5196277491720496,-6.806852462408281,0.0058276303387449655
throw,133,143,276,0.8095831712863291,6.720487725451143,0.014511802510192802
tools,152,669,821,-0.6032780314567425,-6.713992254534131,0.008073713784796578
poor,72,52,124,1.2070967321671464,6.632834710374584,0.033119654582094565
unacceptable,162,194,356,0.7019537494812296,6.595411448632423,0.011327477514167454
mechanics,42,11,53,2.2212230254411676,6.558058171791684,0.11471859098900675
target,76,59,135,1.1348893169434007,6.540627986597671,0.030107044128129617
starting,63,41,104,1.3111599844067712,6.534332712752015,0.04026325531046669
defender,228,312,540,0.5688561346409982,6.529054738330813,0.007591092309535205
reads,31,253,284,-1.2198804697949095,-6.410609267052742,0.036210618478724525
locked,54,333,387,-0.9398133697931348,-6.406269472745089,0.021521514616205502
kicker,53,3,56,3.7533754437398485,6.324508084928865,0.35220094139950364
attempt,62,43,105,1.247499933906183,6.286023174687678,0.03938484194774591
snap,405,666,1071,0.38564302929612815,6.120056072930723,0.003970636850527859
gets,211,294,505,0.5506261599713183,6.1027568617560455,0.008140696165848497
attack,141,172,313,0.6832746545988391,6.014464208130255,0.01290615073538321
touch,38,14,52,1.8798867998644342,6.012926242928962,0.09774434562619959
finish,64,348,412,-0.8139089888831395,-5.984211132509253,0.01849855794645197
handoff,75,382,457,-0.7485760031927864,-5.927071582587745,0.015951130102783692
pressure,49,30,79,1.3720566683768318,5.918575544785263,0.05374149048041669
lining,46,26,72,1.4519553411893913,5.9176956576183715,0.060200661771517616
changing,26,214,240,-1.228164077678957,-5.913497566039213,0.043134417392973544
base,62,49,111,1.116836725597996,5.8428145847505055,0.03653719171563115
pocket,134,164,298,0.6799186456383923,5.8387941574657924,0.013560246139675531
block,137,170,307,0.6661367152583964,5.802016376090231,0.013181621646368585
absolute,44,272,316,-0.9420021497381663,-5.797212402781875,0.02640373482395046
enough,92,97,189,0.8287756414308856,5.694897069737089,0.021178841417466007
anchoring,39,20,59,1.5491616713666847,5.632718739155106,0.07564101619655753
stance,84,86,170,0.8581078455199158,5.593791860313647,0.023532666494746113
skills,18,169,187,-1.3596268334291572,-5.483762448638658,0.0614726857262964
unit,31,11,42,1.9173502222169096,5.463287146968219,0.1231671356119979
read,38,237,275,-0.9507161417390471,-5.440647169591665,0.030535188853162185
closing,17,163,180,-1.3806109535790867,-5.41693259770092,0.0649584668171091
accurate,28,6,34,2.421687154242833,5.38311024482562,0.2023809023012802
returner,29,4,33,2.862275100456242,5.366405407809301,0.28448265206761253
little,169,647,816,-0.4633686371901842,-5.363855798433497,0.007462753270132193
using,91,407,498,-0.618499767762092,-5.33387485576311,0.013446010244764032
anchor,47,35,82,1.1761628173766479,5.2679724328728925,0.04984801904053586
point,144,195,339,0.5787098793797805,5.266955173035345,0.012072648291847524
placement,128,167,295,0.6158561441047672,5.242416402118703,0.01380052250300557
become,61,306,367,-0.7330509285187272,-5.2278943721446085,0.019661411280181874
shutdown,10,130,140,-1.684907534468353,-5.134331133489102,0.10769223629573944
talented,25,180,205,-1.094138833340157,-5.12627428258516,0.045555538605978184
open,122,159,281,0.6168899311258205,5.1254620480020625,0.01448602796693213
weapon,31,15,46,1.6071666521798234,5.109854112976891,0.09892471839122294
allowing,162,232,394,0.522801643698612,5.106112235075714,0.010483183201524122
sustain,51,43,94,1.052000691336299,5.081260221841053,0.042863652681155946
breaking,14,140,154,-1.4225459786979142,-5.074977238449672,0.07857138833928479
ace,32,2,34,3.6539281826659256,5.013150149494761,0.5312495673874617
great,96,408,504,-0.567385624243002,-5.001828619502151,0.012867644132803144
force,92,395,487,-0.5775396573108047,-4.988957928028015,0.013401207711741532
oof,149,212,361,0.5292208220535874,4.950446941881312,0.011428389296464832
security,12,128,140,-1.4870329441030146,-4.925522401101017,0.09114578361082316
true,31,193,224,-0.9487503253802405,-4.9032891024993255,0.037439399544387915
route,79,350,429,-0.6088294705307256,-4.887813644326879,0.015515367042798583
potential,123,485,608,-0.49251708115267157,-4.8785749175498285,0.010191934802454672
alright,230,370,600,0.4067078234308381,4.843638315083192,0.007050527992443826
last,24,166,190,-1.0539085718984138,-4.825984013855657,0.047690745979486755
next,188,672,860,-0.39458781322252,-4.782533777357817,0.006807242844128827
talent,140,530,670,-0.4518161995918639,-4.754735843913684,0.009029647741734162
work,241,821,1062,-0.3466514045980791,-4.73163076020574,0.0053674033830771045
onto,46,40,86,1.0210720552050354,4.722979914612347,0.04673912564929873
wants,481,892,1373,0.2651421778606391,4.687038731434495,0.003200077923839765
overpowered,30,18,48,1.3920164720396793,4.668965454186262,0.08888887867426279
secondary,7,103,110,-1.8086350662867234,-4.630441473638491,0.15256576638471395
fantastic,6,101,107,-1.9431801186922772,-4.624424225575216,0.17656750554950698
engages,34,24,58,1.2295237758252382,4.611774219962819,0.07107842372393214
second,55,262,317,-0.6811387757081935,-4.5923821312131015,0.02199860652805334
hang,44,39,83,1.0019106441020087,4.555631720378339,0.048368293428260795
pushed,32,22,54,1.2558902481268053,4.534622738573287,0.0767045371246965
impressive,16,128,144,-1.199281782728522,-4.522775764150456,0.07031247103702926
defense,194,674,868,-0.3660536466593678,-4.492785968388288,0.006638317434371016
feet,135,198,333,0.4987262546928708,4.468272159892325,0.012457911100959122
immediately,110,152,262,0.5582151479096877,4.459325063951199,0.015669854786668484
sideline,75,320,395,-0.5710307149774838,-4.451092212581105,0.016458329577674208
incredible,3,98,101,-2.6062038395155342,-4.446535034904997,0.3435368454940769
exploding,12,111,123,-1.344410943763437,-4.4241689024961,0.09234229853205386
agility,14,117,131,-1.242912491774173,-4.395031044501996,0.07997554560581416
ability,22,145,167,-1.0055497805363842,-4.394816594797171,0.052351079283236325
streaking,18,131,149,-1.1046527617216393,-4.394451042548091,0.06318911958700757
biter,22,10,32,1.6695670672258842,4.377642076369484,0.1454545258794093
elite,78,326,404,-0.550377542008559,-4.366426678145428,0.015887993923860172
foot,19,6,25,2.033765920987477,4.342935960316878,0.21929820689646276
showed,21,139,160,-1.0097842246865278,-4.313062111373143,0.054813273409850434
right,309,550,859,0.3056327721311556,4.298965391582075,0.005054427172806328
punter,20,2,22,3.1837171392657266,4.292924413916022,0.5499997183749934
afford,39,35,74,0.9894383602055763,4.249513681226081,0.05421244868335609
excellent,47,224,271,-0.6814914764960518,-4.24765050437329,0.025740874965572563
tremendous,8,92,100,-1.562067186556786,-4.237783290717861,0.13586948540346397
pretty,21,10,31,1.6230297490863395,4.2243054065346195,0.14761902833901788
wraps,13,108,121,-1.236930474639328,-4.2134345392253225,0.08618229935814568
leaping,4,83,87,-2.1522705642172104,-4.204424039298016,0.26204791646294273
follow,18,6,24,1.9796814012831945,4.19953878515287,0.2222221846684523
wrecking,5,82,87,-1.9169813948028143,-4.161504620218671,0.2121949448677684
years,56,63,119,0.7635352862920897,4.157382103592154,0.033730155286332435
distance,19,8,27,1.7460695514375928,4.142871679007728,0.17763155376753562
makes,41,201,242,-0.7096645699927926,-4.141288190381737,0.029365360678350494
quarter,103,146,249,0.5326594045658934,4.139472381582044,0.016558051150448803
didn,70,87,157,0.6639757563703226,4.135338502638783,0.025779964483290264
simply,52,57,109,0.7894845404622703,4.11689227314869,0.036774625135396394
guys,21,11,32,1.5277124099096753,4.104616948500277,0.13852812144177398
however,34,176,210,-0.7639968631009859,-4.078286949257398,0.03509357333423056
every,65,275,340,-0.5624315130314654,-4.078056721839633,0.019020974713243637
outside,22,135,157,-0.9340190588532575,-4.062414241171411,0.05286193597992679
powering,16,114,130,-1.083349532204763,-4.057975502819676,0.07127190357256553
under,59,70,129,0.7103622672199963,4.019389352323205,0.031234863614627933
deliver,27,20,47,1.181229187801386,4.003890057063025,0.08703702781150068
fans,16,5,21,2.0441924677856242,3.9898555121130017,0.2624999532552388
disappointing,16,5,21,2.0441924677856242,3.9898555121130017,0.2624999532552388
hitting,31,163,194,-0.779594985141749,-3.9787154551823423,0.03839302323662598
huge,42,199,241,-0.6755352666552836,-3.9782378320823852,0.028834642202763272
changer,4,74,78,-2.0374305893146376,-3.969004402804686,0.26351326564082767
protection,26,19,45,1.1947720145248546,3.9586060324121366,0.09109310771442247
wobbly,16,2,18,2.960504460121042,3.9473400931513085,0.562499768296234
progressions,16,2,18,2.960504460121042,3.9473400931513085,0.562499768296234
kicks,16,2,18,2.960504460121042,3.9473400931513085,0.562499768296234
wow,13,100,113,-1.159912054973356,-3.934210585786908,0.08692304245181447
cornerback,11,93,104,-1.2543797879802039,-3.9341443345567217,0.10166173489674518
crucial,173,287,460,0.3755478167830528,3.901668349035881,0.009264666315966265
league,261,829,1090,-0.27633514397446035,-3.8933229506999933,0.005037689350514586
rough,14,3,17,2.4214663484038415,3.8060866930127286,0.4047618046025604
flip,14,3,17,2.4214663484038415,3.8060866930127286,0.4047618046025604
playoff,25,19,44,1.1555339956515933,3.7966731966117946,0.09263156919904977
downfield,132,209,341,0.42205516370550544,3.796226894549522,0.012360445183009425
difference,89,337,426,-0.4515240373379097,-3.788663850477139,0.014203311189885617
reaction,9,82,91,-1.3291258845874507,-3.7850681397743378,0.12330617541967648
gain,164,553,717,-0.33582243761754604,-3.77689283088719,0.007905877769250187
locating,3,67,70,-2.2257070745572056,-3.7715273487687524,0.3482583113629078
lined,14,99,113,-1.0757292967011667,-3.7674324076360652,0.08152955171636105
poise,15,6,21,1.797307951696041,3.720781224513012,0.23333329902796363
backfield,115,410,525,-0.3913767500786518,-3.708995118891765,0.011134674393251581
rep,51,61,112,0.7021978536906852,3.70084174531977,0.036001282051180056
runner,23,128,151,-0.8362552587408949,-3.692490224635639,0.05129074593098802
