word,count_a,count_b,total_count,log_odds,z_score,variance
teams,116,12,128,3.1448979691203656,10.37101720480056,0.09195395445015894
special,116,11,127,3.2319200941881814,10.24434669638332,0.09952969977207379
kick,121,10,131,3.3695712200257457,10.240752715191823,0.10826436218845212
return,100,24,124,2.302785863038724,10.130908802708973,0.051666649297297446
decision,94,31,125,1.984745667554277,9.582849896535322,0.04289635138606848
punt,90,24,114,2.1971657488962277,9.563950875610201,0.05277776160516047
pocket,180,153,333,1.0388718017835243,9.447607518420321,0.012091501398651922
goal,87,12,99,2.8564630228581542,9.276013689131684,0.09482753276020497
downfield,199,193,392,0.9070286548905653,8.978074397064816,0.01020647122038106
end,230,248,478,0.8012757475874404,8.753018399393913,0.008380082869220096
defender,260,299,559,0.7370920223270874,8.692368082421998,0.007190634343635396
interception,23,338,361,-1.8172805838356787,-8.433170838108147,0.04643678844890697
placement,154,139,293,0.9783068840215847,8.361979397682449,0.013687748998389801
tight,207,222,429,0.8063494118197507,8.345576079203566,0.009335420951028349
back,500,1811,2311,-0.4204350231594427,-8.322296907872197,0.002552180356431961
shotgun,74,31,105,1.7449969181432072,8.15636717208689,0.045771568231371566
defensive,437,1601,2038,-0.43119716038357225,-7.9893280112949725,0.002912938263630813
hold,62,16,78,2.229315483658878,7.950238103171095,0.0786290074656669
engages,189,205,394,0.7947607176248948,7.881268950551747,0.010169052514787644
target,75,37,112,1.5814503024180357,7.871872890017872,0.04036035260001315
bursts,49,375,424,-1.1645628452900727,-7.666441121052131,0.02307481622980003
scans,68,32,100,1.6285243552447586,7.596678492143145,0.045955873252962395
slightly,80,50,130,1.3448728767966545,7.4600131197158355,0.03249999448333177
executed,79,49,128,1.3524816680497374,7.437689176256296,0.033066385481683176
handoff,50,366,416,-1.1199438172300322,-7.428057203877419,0.02273222750571268
man,53,11,64,2.446987024066612,7.385434316279965,0.1097769733478832
block,236,305,541,0.6196833094017569,7.147877843007517,0.007515975475480692
sustain,96,78,174,1.082620977167707,7.102067005834376,0.023237175864978817
sails,49,13,62,2.2013360423016017,7.056027789739571,0.09733121023062113
connect,50,7,57,2.840668517304617,7.039102237923075,0.16285705237311923
accuracy,49,14,63,2.1272172762323525,7.019459898687934,0.09183670817056923
uprights,49,7,56,2.820439888507928,6.980234500671451,0.1632652171554015
distance,45,13,58,2.1160745355760895,6.7203974661165455,0.0991452707781095
effectively,161,188,349,0.7204418484749091,6.709313952819906,0.011530327279926875
coverage,176,732,908,-0.5553390853755706,-6.6149606295728365,0.007047936034850337
unit,44,6,50,2.8668410405192404,6.587501058940373,0.1893938314663799
quarterback,429,1461,1890,-0.3568361908763382,-6.498181060062145,0.0030154641767865887
veteran,253,357,610,0.5316957260227406,6.469826814557046,0.006753688525971933
formation,125,135,260,0.7981567182977907,6.430184342117561,0.015407405049602002
maintains,101,98,199,0.9050480111303205,6.382911721978421,0.02010506866266553
