word,count_a,count_b,total_count,log_odds,z_score,variance
veteran,38,240,278,0.9454430751891216,5.415156325957901,0.030482373036561324
savvy,13,51,64,1.4119153646614313,4.544392386396923,0.09653075022694337
experience,7,18,25,1.831485510807826,4.111677336990099,0.19841245107039707
reliable,8,26,34,1.5976532960290522,3.9516190825495,0.16346129356960284
awareness,6,15,21,1.8590720413809123,3.8486471142744803,0.23333304838544439
shine,3,4,7,2.486019621380522,3.25496516897332,0.5833328215732412
offense,26,221,247,0.6405048463952911,3.0892819177631297,0.04298626934476602
years,7,33,40,1.224678750932397,2.943056687695046,0.1731598139335368
defense,25,219,244,0.6097370019090187,2.8882881008732175,0.0445660435042632
opposing,6,30,36,1.1652541549783733,2.6055903543864023,0.19999956205101566
experienced,2,4,6,2.079838315069434,2.4015916863066735,0.749999210427478
get,7,46,53,0.8919630157387903,2.1985556504359094,0.16459580726402667
right,10,77,87,0.7342425501859182,2.1843689823733947,0.11298664044713691
jump,11,88,99,0.696248169277955,2.1771326484554336,0.10227237734945184
textbook,6,37,43,0.955220450027789,2.170433328621061,0.19369317748086157
times,5,29,34,1.0161611739085634,2.0984937778090473,0.23448216889392526
presence,9,69,78,0.7382198691782236,2.082979240936579,0.12560345232744663
tremendous,2,138,140,-1.467107471010788,-2.0599598824152814,0.5072316354464892
critical,2,6,8,1.6742841893683256,2.0505724133590992,0.6666657308774181
wait,2,6,8,1.6742841893683256,2.0505724133590992,0.6666657308774181
cornerback,5,30,35,0.982214905306364,2.0333806742290434,0.23333272741058816
athleticism,5,196,201,-0.9021536880086982,-1.992044908153558,0.20509865297950916
sure,2,7,9,1.5200889827003836,1.8958855680868496,0.6428561180249088
always,2,7,9,1.5200889827003836,1.8958855680868496,0.6428561180249088
place,2,7,9,1.5200889827003836,1.8958855680868496,0.6428561180249088
punt,2,7,9,1.5200889827003836,1.8958855680868496,0.6428561180249088
eyes,12,327,339,-0.5394286729512459,-1.8352751014988737,0.086390444632325
visiting,2,8,10,1.3865130562186252,1.753817274685491,0.6249988814399066
ability,10,279,289,-0.5622662662745626,-1.7470195424949437,0.10358301084622318
off,8,67,75,0.6492211051335719,1.7355821284807755,0.1399248726172639
third,7,56,63,0.6948048668302143,1.7331508065272079,0.16071373583485288
season,1,88,89,-1.7087972582703301,-1.69920164195687,1.0113261545102192
difference,3,17,20,1.0385207537513272,1.6583866934191187,0.3921558978147483
shift,2,9,11,1.2686854813593307,1.6229095343544937,0.6111098958855963
middle,3,18,21,0.9813177049157487,1.5736111743459298,0.388887879017647
away,6,49,55,0.6737809552788017,1.55780039534484,0.18707417693201844
playmaking,8,221,229,-0.5511761916106801,-1.5314977681245365,0.1295233781522834
changing,6,179,185,-0.627622006476555,-1.5122276358893314,0.17225109242609385
go,26,307,333,0.30792718293044397,1.50758865739549,0.04171865852681348
smooth,2,10,12,1.1632804221553688,1.5017902115952704,0.599998686153047
situation,3,19,22,0.9272058462099269,1.4924604880070604,0.3859638572511426
snatching,18,203,221,0.3527371531797092,1.4343012588291972,0.06048137443731229
showed,4,30,34,0.7583543870039273,1.4247021049828272,0.28333242257822594
incredible,2,88,90,-1.0149525395201904,-1.4193347610153992,0.511354156768094
really,7,64,71,0.560915043033706,1.4089895304366147,0.15848152538656585
locked,4,128,132,-0.6968686514858513,-1.3724668774443642,0.2578090225325335
anticipation,3,21,24,0.8270331057097113,1.33994879198588,0.3809512350899875
coming,4,32,36,0.6937264667694922,1.3081054083350574,0.2812490377109926
heads,12,130,142,0.3918958758951536,1.2989421787181394,0.0910252222322944
steps,2,12,14,0.980869767578227,1.2842616551571036,0.5833318185264704
close,4,33,37,0.6629101053831175,1.2521071873390388,0.28030204219206845
make,18,387,405,-0.3008203881828937,-1.2475945273853886,0.058139007367689545
quarter,1,56,57,-1.2553891625424205,-1.2443429258813707,1.0178331327472878
targeting,1,4,5,1.385976010905197,1.2396557395312524,1.2499977628798131
throws,1,4,5,1.385976010905197,1.2396557395312524,1.2499977628798131
spot,1,4,5,1.385976010905197,1.2396557395312524,1.2499977628798131
allowed,1,4,5,1.385976010905197,1.2396557395312524,1.2499977628798131
running,1,4,5,1.385976010905197,1.2396557395312524,1.2499977628798131
fly,1,4,5,1.385976010905197,1.2396557395312524,1.2499977628798131
full,11,120,131,0.3846559640344731,1.2210256695887471,0.09924196450586101
looks,8,82,90,0.44652186477523514,1.205519780932521,0.13719452413750757
jumps,5,137,142,-0.5413651902367516,-1.189033113777911,0.20729687503457314
over,5,46,51,0.5540551322045166,1.176610347122433,0.22173826123307044
him,4,116,120,-0.597889963035823,-1.175688540297805,0.25861752764599094
high,6,156,162,-0.48905693095867697,-1.175553005678206,0.1730750253190429
showcasing,1,51,52,-1.1616409517607726,-1.1504294625538396,1.0195859376950276
throw,8,84,92,0.4223345970099146,1.1414275517496915,0.13690415107746526
momentum,10,110,120,0.37608624253849676,1.1386603044086088,0.10909039959021977
through,3,24,27,0.6933677731469237,1.1322667692110642,0.3749987169479901
anticipating,3,24,27,0.6933677731469237,1.1322667692110642,0.3749987169479901
league,1,50,51,-1.1417938999631545,-1.1305563312985822,1.019978515473652
scanning,2,14,16,0.8266299779401045,1.0935303185601886,0.5714268526349813
swing,5,48,53,0.5114060106856106,1.088264347452071,0.22083243090608
give,5,48,53,0.5114060106856106,1.088264347452071,0.22083243090608
across,1,47,48,-1.0797852348497337,-1.0684888499717882,1.021256373923368
another,1,5,6,1.1627881483111882,1.0614766595650327,1.199997372306094
impactful,1,5,6,1.1627881483111882,1.0614766595650327,1.199997372306094
diagnoses,1,5,6,1.1627881483111882,1.0614766595650327,1.199997372306094
jumped,1,5,6,1.1627881483111882,1.0614766595650327,1.199997372306094
safety,1,5,6,1.1627881483111882,1.0614766595650327,1.199997372306094
potential,1,5,6,1.1627881483111882,1.0614766595650327,1.199997372306094
powered,1,5,6,1.1627881483111882,1.0614766595650327,1.199997372306094
taken,1,5,6,1.1627881483111882,1.0614766595650327,1.199997372306094
proven,1,5,6,1.1627881483111882,1.0614766595650327,1.199997372306094
plays,1,45,46,-1.036211292073471,-1.0248959538788214,1.02220284216369
secondary,15,313,328,-0.26972847888436213,-1.0204919709762117,0.06986093956266012
intercepting,3,87,90,-0.5973035524922263,-1.0171775155597031,0.34482337019465453
fingertips,2,15,17,0.7575925475382101,1.006404473420682,0.5666648451564519
showing,2,15,17,0.7575925475382101,1.006404473420682,0.5666648451564519
piece,2,15,17,0.7575925475382101,1.006404473420682,0.5666648451564519
part,2,65,67,-0.7109751842358882,-0.9903568091747504,0.5153775552836798
such,1,43,44,-0.9906600952386544,-0.9793467651940344,1.0232372756196395
display,12,144,156,0.2889872361573378,0.9618101066271906,0.09027731841425922
coverage,10,217,227,-0.3081491672508374,-0.9527521231491658,0.1046073369997863
shows,3,27,30,0.5754507778234625,0.9455639291799933,0.37036894936075204
lines,1,41,42,-0.942943231573782,-0.9316581382493431,1.024372547249262
got,1,41,42,-0.942943231573782,-0.9316581382493431,1.024372547249262
favor,2,16,18,0.6930094649795544,0.9240142007184613,0.5624980754219852
gets,1,6,7,0.9804222712158461,0.9076958235146482,1.1666636370529408
bursts,1,6,7,0.9804222712158461,0.9076958235146482,1.1666636370529408
possession,1,6,7,0.9804222712158461,0.9076958235146482,1.1666636370529408
came,1,6,7,0.9804222712158461,0.9076958235146482,1.1666636370529408
crushing,1,6,7,0.9804222712158461,0.9076958235146482,1.1666636370529408
tracking,1,6,7,0.9804222712158461,0.9076958235146482,1.1666636370529408
attempt,1,6,7,0.9804222712158461,0.9076958235146482,1.1666636370529408
fires,17,218,235,0.22288839255521964,0.8851307083516391,0.06341034087305744
made,13,266,279,-0.249437101208156,-0.8781593285427408,0.08068177856675474
breaking,2,60,62,-0.6307091808410519,-0.8774586858551022,0.5166601323592274
impact,2,60,62,-0.6307091808410519,-0.8774586858551022,0.5166601323592274
skills,8,174,182,-0.3099495284164995,-0.8571896066478016,0.13074592639714874
snagging,1,38,39,-0.8668241177485259,-0.8556456724969241,1.0262993552429154
towards,12,149,161,0.2546292080844692,0.848555360509436,0.09004426885843393
securing,2,17,19,0.6323402793241808,0.8458907829432144,0.5588215014819583
jumping,6,67,73,0.3601024158008439,0.8450427122196713,0.1815911790483295
valuable,5,117,122,-0.38265988324700206,-0.8379403348690467,0.2085449498186976
quarterback,38,695,733,-0.13861919034961812,-0.8320649891937515,0.027754423996465927
downfield,14,179,193,0.22543232210329567,0.812323916034822,0.07701474641287957
perfectly,29,398,427,0.15557499771538508,0.8088493901315869,0.03699510649334263
touchdown,1,36,37,-0.8126681020342099,-0.8016169587358037,1.0277621850827487
drops,17,224,241,0.19546640515398117,0.7769861657718884,0.06328746194116504
sky,3,30,33,0.4699562832662094,0.7761089090596195,0.3666651071785916
defend,1,7,8,0.8262272650733236,0.7728659997272678,1.1428537052699625
surveying,1,7,8,0.8262272650733236,0.7728659997272678,1.1428537052699625
force,1,7,8,0.8262272650733236,0.7728659997272678,1.1428537052699625
set,1,7,8,0.8262272650733236,0.7728659997272678,1.1428537052699625
perfection,2,18,20,0.5751372992960686,0.7716291388391885,0.5555534240411281
example,2,18,20,0.5751372992960686,0.7716291388391885,0.5555534240411281
sideline,15,196,211,0.2036521679037424,0.7601909183126195,0.07176831026872467
himself,1,34,35,-0.7554209018575859,-0.7445563043402356,1.029397013469534
wow,1,34,35,-0.7554209018575859,-0.7445563043402356,1.029397013469534
crucial,12,154,166,0.22139783910999178,0.7387057810824328,0.08982635144070542
reading,3,74,77,-0.4348785740171115,-0.7384165040869798,0.34684323817019835
thrown,2,54,56,-0.5250807770062655,-0.7291996571323072,0.5185126150194198
reads,25,345,370,0.1495565943574535,0.7220803478266352,0.042898300122498595
kind,19,359,378,-0.16965295786726653,-0.7206780476309912,0.055416652100027886
turnover,17,229,246,0.17316456529719382,0.6888662598660742,0.06318998121568248
