word,count_a,count_b,total_count,log_odds,z_score,variance
need,14,19,33,1.4616066778793497,4.14967996041245,0.12406001522881663
veteran,32,82,114,0.8286036568256803,3.975361879407731,0.04344505521409521
effort,10,16,26,1.2957403674740053,3.214338111864435,0.1624998119019548
let,5,3,8,2.275579737956426,3.1159677218807356,0.5333327044251087
alright,9,14,23,1.3236766462552314,3.09815762457582,0.18253947377000285
steady,4,2,6,2.457606090180864,2.8378009208660853,0.7499990245565673
exactly,12,27,39,0.9548564493999514,2.752191135983408,0.12037020164142562
savvy,4,3,7,2.05208050397931,2.6868055250523843,0.5833327011012892
gets,4,3,7,2.05208050397931,2.6868055250523843,0.5833327011012892
punt,16,44,60,0.754576299989627,2.5847242458608513,0.08522713467386708
opposing,3,77,80,-1.4856578834820153,-2.524542650277888,0.34631571503402425
see,4,4,8,1.764337776306241,2.4951517099292704,0.4999994797633131
want,4,4,8,1.764337776306241,2.4951517099292704,0.4999994797633131
force,18,190,208,-0.598717887927787,-2.4277548056561504,0.06081837647535799
dominant,5,88,93,-1.1083299070358485,-2.4107707358026893,0.21136169485219372
allows,3,2,5,2.169568557086955,2.3766446169936595,0.8333323940172122
time,10,24,34,0.8897876233858621,2.3640292247646424,0.14166645907789707
years,4,5,9,1.5411334966896435,2.2973873990651117,0.4499995200816749
impressive,9,115,124,-0.7883718478020425,-2.277675719599322,0.1198059620003498
shed,8,18,26,0.9539791845127858,2.245090101553096,0.1805553024621384
right,11,30,41,0.7619448671575295,2.1616677277070036,0.12424222426435676
locked,3,3,6,1.7640429275323557,2.160503652383412,0.6666659730177508
hard,3,3,6,1.7640429275323557,2.160503652383412,0.6666659730177508
set,4,6,10,1.358751173194178,2.1049694525077154,0.4166661970086061
technique,21,73,94,0.520255459773189,2.1009911469136386,0.06131755769009322
display,7,90,97,-0.7937433121833362,-2.0228605643714586,0.1539672178883102
expect,11,119,130,-0.6214258129200427,-1.9719171711307533,0.09931188854865672
sheer,2,48,50,-1.4171009464636475,-1.9636049506289912,0.5208268191626928
win,3,4,7,1.4763001998592227,1.9329317372909904,0.5833327011012892
powerful,20,183,203,-0.45467310570165687,-1.9306023736829077,0.055464213701801796
massive,1,41,42,-1.9525381043886538,-1.9291741572261891,1.0243683814180793
eyes,4,7,11,1.2045397031297336,1.9217817055811635,0.3928566684067065
quickness,16,151,167,-0.4850704841157629,-1.8449990917453611,0.06912217337428965
big,56,251,307,0.26774562137282354,1.8116929540537625,0.021841153138389812
stopping,5,11,16,0.9758104431743471,1.8092022323371242,0.29090868916617163
side,5,11,16,0.9758104431743471,1.8092022323371242,0.29090868916617163
example,2,43,45,-1.3067957785206517,-1.8065630598661322,0.5232499486919219
such,1,36,37,-1.8221821338810607,-1.7974062291153208,1.0277585145183998
get,25,98,123,0.4000026074310199,1.7852283724316105,0.05020397258746963
hands,4,8,12,1.0709475041638488,1.748851088276304,0.37499951227828365
excellent,3,5,8,1.2530959375837556,1.7158732910134684,0.5333327044251087
looks,3,5,8,1.2530959375837556,1.7158732910134684,0.5333327044251087
power,7,79,86,-0.6627084444496543,-1.6804946318821938,0.15551445047287582
involving,2,39,41,-1.2089139584540973,-1.667450590001559,0.5256356792428248
forcing,25,101,126,0.36966568305279957,1.6548362999600559,0.049900878793633974
turf,1,31,32,-1.6723476514947775,-1.6460231086374337,1.0322413998787783
take,6,16,22,0.7834899161540365,1.636658351740944,0.22916630403666777
like,6,16,22,0.7834899161540365,1.636658351740944,0.22916630403666777
leverage,8,24,32,0.6659314172886672,1.6311935903895745,0.16666637764654568
block,8,24,32,0.6659314172886672,1.6311935903895745,0.16666637764654568
