word,count_a,count_b,total_count,log_odds,z_score,variance
veteran,162,47,209,1.0975089830402585,6.624327359616637,0.027449383499451325
force,12,41,53,-1.3821410962735117,-4.211117925850705,0.10772337563970416
experience,47,10,57,1.4007683290112691,4.022336067761698,0.12127629515345133
dominant,26,56,82,-0.9210598507439034,-3.881163154792291,0.05631860692812484
textbook,39,7,46,1.5704303844745473,3.8257952803189164,0.1684976796148423
quickly,32,5,37,1.708635452482877,3.5531149736404197,0.23124923509042633
reliable,43,12,55,1.1289043975780126,3.4578097457799446,0.10658893958319898
nice,34,7,41,1.4327586721092365,3.451994941618983,0.1722684675250212
involving,1,28,29,-3.485277529280883,-3.424683602731544,1.0356996363194593
power,55,85,140,-0.589578231282549,-3.406971258685561,0.02994649093865837
sheer,26,50,76,-0.8070730549977192,-3.337935925889534,0.05846146640369759
leverage,62,25,87,0.7612416366128532,3.213135740568072,0.056128950611117404
frame,48,17,65,0.8905241452721588,3.1552548895107377,0.07965673503971121
center,24,3,27,1.931243485451656,3.153713869430712,0.374998462811487
savvy,23,4,27,1.600799764118075,2.9549469758054094,0.29347738375240634
gets,35,11,46,1.0094194318577276,2.9202732668979743,0.11948030873662024
show,31,9,40,1.0885708663451101,2.874942891248932,0.1433689054847977
determination,10,25,35,-1.06820335839386,-2.854895650282381,0.13999979516707411
explodes,79,102,181,-0.4093915495948668,-2.7315769817098112,0.022462126007784477
display,59,80,139,-0.4578216645789652,-2.6678423883165556,0.029449121439129956
why,47,67,114,-0.5075800784910731,-2.667710549639854,0.036201930030117596
combination,8,20,28,-1.067844541068384,-2.5526385589866054,0.17499974395884263
comes,67,34,101,0.5308028473346464,2.520865579271145,0.04433708240933575
doesn,29,10,39,0.9162218197508807,2.498432848295723,0.1344825384640042
impressive,22,37,59,-0.6719738003728146,-2.4959666986501934,0.07248148923765035
receiver,50,23,73,0.6285983765140992,2.4949453301645126,0.06347817651661794
left,4,14,18,-1.4040362424189707,-2.4764895177579156,0.32142795751700237
presence,60,30,90,0.5453947109434703,2.439080834667629,0.04999993693565928
become,2,11,13,-1.8558804263932442,-2.4142946838771886,0.590907397035273
moving,14,2,16,1.7968813320101225,2.377054853057827,0.5714265121901568
