word,count_a,count_b,total_count,log_odds,z_score,variance
single,1,13,14,-3.772306578289707,-3.63512141875285,1.076901839485998
athleticism,2,8,10,-2.5901914889536544,-3.2763723719815596,0.6249959942228098
off,35,24,59,-0.8306355433690307,-3.134186605216002,0.07023786813310554
legs,3,7,10,-2.0503471721983404,-2.9712415210785394,0.4761884927992551
threat,2,6,8,-2.3012030127347325,-2.81839367172971,0.6666633154229464
real,2,6,8,-2.3012030127347325,-2.81839367172971,0.6666633154229464
bullet,69,7,76,1.098175629643305,2.768482815665201,0.15734753340082636
back,99,14,113,0.7674442276599742,2.687766763882515,0.08152869470555714
ability,31,20,51,-0.7678232452269214,-2.677150161359322,0.08225779220562221
through,16,13,29,-0.9967890069321381,-2.669540889640393,0.13942264730764004
left,1,5,6,-2.8115683691963334,-2.566609093175355,1.1999905897371803
something,1,5,6,-2.8115683691963334,-2.566609093175355,1.1999905897371803
great,49,4,53,1.313490316857263,2.5259282762195294,0.2704031346000806
him,18,13,31,-0.8786124857347835,-2.4139326136176344,0.1324782115616413
picking,1,4,5,-2.5877734502694834,-2.314582355441543,1.2499919884456197
rocket,5,6,11,-1.3843265352868253,-2.286143536793714,0.36666554232154386
hitting,33,2,35,1.6094571497498054,2.2101552798332977,0.5302897865862314
weaving,2,4,6,-1.8944333352625602,-2.1875073157760543,0.7499971723837046
threading,46,5,51,1.025925202730269,2.178700720570831,0.22173601767553108
happen,4,5,9,-1.4246914697208002,-2.123807931750437,0.4499986088114702
drops,76,12,88,0.6539296327607289,2.105179957323906,0.09649028350708802
playmaking,14,10,24,-0.8663823888794013,-2.092515603223627,0.17142802483259134
fires,92,16,108,0.5578685536225647,2.0595666396203836,0.07336890976480892
between,34,3,37,1.2333983072739994,2.0478885231807107,0.36273885005020085
needle,47,6,53,0.8646566405927416,1.9944947963573334,0.18794100604680714
tight,25,1,26,2.024032272132458,1.984764406277974,1.039960729029527
using,5,5,10,-1.2013521537515395,-1.8995074034819943,0.3999987935491071
defense,9,7,16,-0.950559514788039,-1.8862109967019924,0.2539674636503211
stride,48,7,55,0.7311051814132501,1.807051163478213,0.1636887474811318
chains,29,3,32,1.0733486950117959,1.769818250132669,0.3678106726383258
impress,2,3,5,-1.6060997431809811,-1.75939699227772,0.8333306104416933
reason,2,3,5,-1.6060997431809811,-1.75939699227772,0.8333306104416933
talented,2,3,5,-1.6060997431809811,-1.75939699227772,0.8333306104416933
veteran,51,8,59,0.6581395077112102,1.730709496700422,0.14460641869404772
kind,84,16,100,0.4652997996189434,1.7058242398419472,0.07440415144837767
quarterbacks,4,4,8,-1.2008956459618725,-1.6983254706988609,0.49999849193638385
sideline,22,12,34,-0.596455473049418,-1.662039388636244,0.12878741677932443
folks,65,12,77,0.49539572349550287,1.5767252633477684,0.09871711484392158
receiver,166,38,204,0.2833946471604212,1.5758827694752318,0.03233966164540167
making,100,21,121,0.3676234253033237,1.5315168085892708,0.057618615596711595
takes,115,45,160,-0.267711895010319,-1.5225228491484901,0.03091773699575024
why,21,11,32,-0.5555054108922803,-1.4925197648496829,0.13852763027321285
go,87,18,105,0.38189094708598326,1.4748309509805828,0.06704929878717622
surveys,3,3,6,-1.2004395256579077,-1.4702343696739062,0.6666646559151784
incredible,3,3,6,-1.2004395256579077,-1.4702343696739062,0.6666646559151784
make,45,20,65,-0.3923808919024703,-1.4600687599657989,0.07222192875532572
shows,5,4,9,-0.9775563299920265,-1.4572571897105409,0.4499986088114702
launches,5,4,9,-0.9775563299920265,-1.4572571897105409,0.4499986088114702
throw,82,17,99,0.37952114695502637,1.4241358425762196,0.0710181125590371
poise,74,15,89,0.40175117570723895,1.4188135399474913,0.08017955915058289
reliable,14,1,15,1.4420631492997495,1.3931801410759788,1.0714058355046068
middle,32,5,37,0.6602550292344942,1.3730077676985801,0.23124771359337457
target,18,2,20,1.0003738748753674,1.3421516128759423,0.5555479222379724
money,15,8,23,-0.572740374634523,-1.3082335813056718,0.19166597054929718
spots,15,8,23,-0.572740374634523,-1.3082335813056718,0.19166597054929718
placed,8,5,13,-0.7307604333683306,-1.2818407471275441,0.3249989094820339
precision,17,2,19,0.9430192786706435,1.2614965043825734,0.5588162670444246
strength,47,9,56,0.4572328679365638,1.2566530362375636,0.1323866260198256
accuracy,59,12,71,0.39735455425691324,1.2547792440029366,0.1002817115617913
plays,18,9,27,-0.5082660308065785,-1.2449947759797224,0.16666603830748994
catch,30,5,35,0.5953221844638792,1.232439739280129,0.2333311634131983
scans,29,13,42,-0.39952113031414616,-1.1969793576959102,0.11140538544583697
territory,4,3,7,-0.912561928207797,-1.1948259090518356,0.583331500617474
continue,4,3,7,-0.912561928207797,-1.1948259090518356,0.583331500617474
dropping,4,3,7,-0.912561928207797,-1.1948259090518356,0.583331500617474
talent,4,3,7,-0.912561928207797,-1.1948259090518356,0.583331500617474
showcasing,4,3,7,-0.912561928207797,-1.1948259090518356,0.583331500617474
hands,4,3,7,-0.912561928207797,-1.1948259090518356,0.583331500617474
decisions,11,1,12,1.2003153884737259,1.149224101522582,1.0908908448583705
confidence,11,1,12,1.2003153884737259,1.149224101522582,1.0908908448583705
tough,11,1,12,1.2003153884737259,1.149224101522582,1.0908908448583705
strong,9,5,14,-0.6127812062846116,-1.098622394854299,0.3111100059433595
look,10,1,11,1.104810055319776,1.0534030783168304,1.0999832456381475
shown,10,1,11,1.104810055319776,1.0534030783168304,1.0999832456381475
downfield,89,21,110,0.2488906691688184,1.0259315568696057,0.058854605573363736
pass,89,21,110,0.2488906691688184,1.0259315568696057,0.058854605573363736
tremendous,7,4,11,-0.6406921897250264,-1.0221929071179845,0.3928557675194672
move,23,4,27,0.552034837160603,1.0190147187373757,0.2934756390592357
looking,27,5,32,0.48937048003158434,1.00515142392307,0.2370350405307557
league,15,7,22,-0.43855525386598604,-0.9580947973568179,0.2095229849799619
perfect,50,11,61,0.31772249894547056,0.9540386242883611,0.11090829385288441
excellent,18,3,21,0.5942612751925758,0.9529424696002724,0.3888852723553305
needs,9,1,10,0.999254428035071,0.9479824990285923,1.111095844475945
score,9,1,10,0.999254428035071,0.9479824990285923,1.111095844475945
hits,5,3,8,-0.6892226625059124,-0.9437586115105169,0.5333315102530407
open,42,9,51,0.34376576101491807,0.9358904789757779,0.13491964180381888
keep,10,5,15,-0.5072244395953556,-0.9260626366491559,0.2999988689534819
scanning,26,5,31,0.4514331684442814,0.9244556055200512,0.23845959931765098
showcases,13,2,15,0.6739709654396835,0.8873284595537074,0.5769172878794514
season,13,2,15,0.6739709654396835,0.8873284595537074,0.5769172878794514
huge,41,16,57,-0.260485044788358,-0.8836865664465196,0.08688985698738766
laser,3,2,5,-0.7943235747754613,-0.8701393013035023,0.8333306104416933
found,3,2,5,-0.7943235747754613,-0.8701393013035023,0.8333306104416933
gutsy,3,2,5,-0.7943235747754613,-0.8701393013035023,0.8333306104416933
asset,3,2,5,-0.7943235747754613,-0.8701393013035023,0.8333306104416933
years,3,2,5,-0.7943235747754613,-0.8701393013035023,0.8333306104416933
potential,21,4,25,0.46066959606600477,0.844424781797818,0.2976166057935107
spectacular,8,1,9,0.8812763236018242,0.8308803763824264,1.1249862154990051
diving,8,1,9,0.8812763236018242,0.8308803763824264,1.1249862154990051
impressive,8,4,12,-0.506964722711257,-0.8278714860928355,0.3749985861918523
defenders,36,8,44,0.3068663385613837,0.7850922739541762,0.15277668978976333
touchdown,12,2,14,0.5937322786320101,0.7773816459485309,0.5833279085329957
snap,113,39,152,-0.13854142218330168,-0.7459855835717807,0.03449041450461862
delivering,39,9,48,0.269064789103048,0.7275976741539713,0.1367511954974946
drive,14,6,20,-0.3529408152858302,-0.7233149378551998,0.23809424639962756
future,6,3,9,-0.5067052773229062,-0.7165908261466121,0.4999981149224698
display,6,3,9,-0.5067052773229062,-0.7165908261466121,0.4999981149224698
elite,6,3,9,-0.5067052773229062,-0.7165908261466121,0.4999981149224698
see,7,1,8,0.7475499068305709,0.6992726739372422,1.1428448322425906
find,7,1,8,0.7475499068305709,0.6992726739372422,1.1428448322425906
showing,53,13,66,0.20822055990783017,0.6727638830307114,0.09579037707282921
end,11,2,13,0.5065249647284311,0.6589347021909482,0.5909040277120355
starting,15,3,18,0.411350554315824,0.6504048844107801,0.3999968632457268
pocket,59,15,74,0.1722421292856655,0.5956573876025582,0.08361529116702333
comes,4,2,6,-0.5064461029960965,-0.5847946901740358,0.7499971723837046
high,4,2,6,-0.5064461029960965,-0.5847946901740358,0.7499971723837046
experience,4,2,6,-0.5064461029960965,-0.5847946901740358,0.7499971723837046
over,4,2,6,-0.5064461029960965,-0.5847946901740358,0.7499971723837046
valuable,4,2,6,-0.5064461029960965,-0.5847946901740358,0.7499971723837046
first,37,9,46,0.21602592030494172,0.5812333038675982,0.138137231038209
really,55,14,69,0.17089403075146592,0.5708855892698886,0.08960982431394268
arm,70,24,94,-0.13055008780859634,-0.5519108726214162,0.055952105915259634
savvy,6,1,7,0.5932042504637192,0.5492029720555892,1.1666558170659913
backup,6,1,7,0.5932042504637192,0.5492029720555892,1.1666558170659913
fans,6,1,7,0.5932042504637192,0.5492029720555892,1.1666558170659913
looks,6,1,7,0.5932042504637192,0.5492029720555892,1.1666558170659913
such,7,3,10,-0.35235868740569476,-0.5106173122915684,0.4761884927992551
progressions,7,3,10,-0.35235868740569476,-0.5106173122915684,0.4761884927992551
continues,10,4,14,-0.28342884204119123,-0.47908323113459755,0.3499984693182235
perfectly,13,5,18,-0.24427111259227718,-0.46418757738312805,0.2769218304975839
showed,39,10,49,0.16304987580090735,0.4599981625783739,0.12564023810978495
steps,35,9,44,0.16006109233893095,0.4282684412536834,0.1396816663238142
zone,9,2,11,0.30546252672512697,0.3907503684481947,0.6111067591590533
delivered,9,2,11,0.30546252672512697,0.3907503684481947,0.6111067591590533
strike,35,12,47,-0.12958594292332748,-0.3873777540128266,0.11190421183051927
hauls,20,5,25,0.18788784165803296,0.3757768875407832,0.249998397689124
position,5,1,6,0.41068777010807533,0.37490639628891387,1.1999905897371803
third,5,1,6,0.41068777010807533,0.37490639628891387,1.1999905897371803
deliver,5,1,6,0.41068777010807533,0.37490639628891387,1.1999905897371803
fantastic,5,1,6,0.41068777010807533,0.37490639628891387,1.1999905897371803
center,5,1,6,0.41068777010807533,0.37490639628891387,1.1999905897371803
clutch,5,1,6,0.41068777010807533,0.37490639628891387,1.1999905897371803
caught,5,1,6,0.41068777010807533,0.37490639628891387,1.1999905897371803
excited,5,1,6,0.41068777010807533,0.37490639628891387,1.1999905897371803
kept,5,1,6,0.41068777010807533,0.37490639628891387,1.1999905897371803
easy,5,1,6,0.41068777010807533,0.37490639628891387,1.1999905897371803
big,86,28,114,-0.07830882442829701,-0.35990479471529446,0.04734195016203456
under,27,7,34,0.1515934992292527,0.3574154891964379,0.17989306315219267
