word,count_a,count_b,total_count,log_odds,z_score,variance
big,27,9,36,-1.3448021708136562,-3.4939081270427117,0.14814733419706566
immediately,3,2,5,-2.027843923582367,-2.2213956866406313,0.8333303573173805
lead,27,6,33,-0.9331350595936625,-2.0675057899831533,0.20370211819891504
try,4,2,6,-1.7399835006935804,-2.009164024541327,0.74999690952422
read,4,2,6,-1.7399835006935804,-2.009164024541327,0.74999690952422
give,15,4,19,-1.113500328776019,-1.978748560534237,0.3166645701857519
hit,22,5,27,-0.954448688886373,-1.9264986205253365,0.24545267340015522
why,16,4,20,-1.0487824106388457,-1.8761255822280603,0.312497810920492
put,10,3,13,-1.2301300766942518,-1.8687073284705151,0.4333307382552897
squad,10,3,13,-1.2301300766942518,-1.8687073284705151,0.4333307382552897
boom,5,2,7,-1.5166614568489054,-1.8127614963439784,0.6999966540477034
come,5,2,7,-1.5166614568489054,-1.8127614963439784,0.6999966540477034
punt,102,4,106,0.8191541005984067,1.6071332977474737,0.25979298552278696
clutch,34,6,40,-0.7013511384121376,-1.5838814979595803,0.196076542958323
showcases,7,2,9,-1.179831997212216,-1.4715136268242588,0.6428531315560193
ability,29,5,34,-0.6769365863325989,-1.3979597493848623,0.23448045037486673
late,30,5,35,-0.642855083316074,-1.3308432214040207,0.23333096169552003
such,8,2,10,-1.0461219093993162,-1.3232558123100675,0.624995621840984
towering,8,2,10,-1.0461219093993162,-1.3232558123100675,0.624995621840984
kickoff,8,2,10,-1.0461219093993162,-1.3232558123100675,0.624995621840984
most,15,3,18,-0.8237691826095066,-1.3024990234410396,0.39999657164980573
fourth,23,4,27,-0.6846201646594858,-1.2637577689995292,0.2934753953333459
poise,16,3,19,-0.7590513949505295,-1.2064712492098655,0.3958297313757296
composure,9,2,11,-0.9281601332171432,-1.1873110524274644,0.6111063545967451
moment,9,2,11,-0.9281601332171432,-1.1873110524274644,0.6111063545967451
perfectly,9,2,11,-0.9281601332171432,-1.1873110524274644,0.6111063545967451
off,36,1,37,1.158133749516276,1.1424100119163727,1.0277167487799164
man,25,4,29,-0.6008791790432895,-1.1158105179728477,0.2899969360833157
reason,10,2,12,-0.8226208356089479,-1.062003483345124,0.5999948574747087
end,10,2,12,-0.8226208356089479,-1.062003483345124,0.5999948574747087
showed,10,2,12,-0.8226208356089479,-1.062003483345124,0.5999948574747087
needed,10,2,12,-0.8226208356089479,-1.062003483345124,0.5999948574747087
time,33,1,34,1.0705859616744666,1.0547532625734533,1.0302469411057864
onto,18,3,21,-0.6409097223264091,-1.0277471931640034,0.38888493615920006
performance,18,3,21,-0.6409097223264091,-1.0277471931640034,0.38888493615920006
return,44,6,50,-0.4417188438910289,-1.0149988766286893,0.18939160760523002
loose,11,2,13,-0.7271318349154381,-0.9459209778041259,0.5909035570324005
tracks,4,1,5,-1.0447971656930495,-0.9344982671868511,1.249991243681968
sprints,4,1,5,-1.0447971656930495,-0.9344982671868511,1.249991243681968
trotting,4,1,5,-1.0447971656930495,-0.9344982671868511,1.249991243681968
tackling,4,1,5,-1.0447971656930495,-0.9344982671868511,1.249991243681968
career,4,1,5,-1.0447971656930495,-0.9344982671868511,1.249991243681968
situation,4,1,5,-1.0447971656930495,-0.9344982671868511,1.249991243681968
moments,4,1,5,-1.0447971656930495,-0.9344982671868511,1.249991243681968
wrapping,4,1,5,-1.0447971656930495,-0.9344982671868511,1.249991243681968
recover,4,1,5,-1.0447971656930495,-0.9344982671868511,1.249991243681968
sound,4,1,5,-1.0447971656930495,-0.9344982671868511,1.249991243681968
jump,4,1,5,-1.0447971656930495,-0.9344982671868511,1.249991243681968
minute,4,1,5,-1.0447971656930495,-0.9344982671868511,1.249991243681968
jarring,4,1,5,-1.0447971656930495,-0.9344982671868511,1.249991243681968
throughout,4,1,5,-1.0447971656930495,-0.9344982671868511,1.249991243681968
fundamentally,4,1,5,-1.0447971656930495,-0.9344982671868511,1.249991243681968
air,28,1,29,0.9053895451149367,0.8896629937360692,1.0356664274587863
lining,42,2,44,0.6182027399905881,0.8541846515388664,0.5237913524820096
hold,38,5,43,-0.4050255051644367,-0.8513883677926393,0.2263129054223292
quickly,12,2,14,-0.6399415997511131,-0.8378844928393081,0.5833274042388
making,12,2,14,-0.6399415997511131,-0.8378844928393081,0.5833274042388
extend,12,2,14,-0.6399415997511131,-0.8378844928393081,0.5833274042388
territory,41,2,43,0.5939253330279346,0.820185151956465,0.5243724835612047
textbook,26,1,27,0.8309244553335953,0.8154092848514477,1.0384169715598883
kick,117,13,130,-0.23818156359309306,-0.8147124139525427,0.08546880194486826
great,21,3,24,-0.48622083196608035,-0.7877724208255718,0.3809478959463311
trots,21,3,24,-0.48622083196608035,-0.7877724208255718,0.3809478959463311
steady,25,1,26,0.7915252323454531,0.7761703638688409,1.0399570784807122
heads,5,1,6,-0.8214758635487369,-0.7499046485293688,1.1999897149494174
changing,5,1,6,-0.8214758635487369,-0.7499046485293688,1.1999897149494174
before,5,1,6,-0.8214758635487369,-0.7499046485293688,1.1999897149494174
attention,5,1,6,-0.8214758635487369,-0.7499046485293688,1.1999897149494174
contest,5,1,6,-0.8214758635487369,-0.7499046485293688,1.1999897149494174
coverage,40,5,45,-0.3533716813172436,-0.7449779040713709,0.2249969868168017
quarter,31,4,35,-0.38468887238567717,-0.724084522433982,0.28225439896679766
attempt,50,6,56,-0.3128019808357809,-0.7240009465683597,0.18666406582344222
pressure,22,3,25,-0.4395213456437279,-0.7141420545498383,0.37878321521046004
gets,23,1,24,0.7077867017542276,0.692897418395732,1.0434386293891282
huge,23,3,26,-0.3948900790362959,-0.6433049379281528,0.37680675161699334
distance,14,2,16,-0.4854330959526836,-0.6421714052238158,0.5714218439194967
fumble,14,2,16,-0.4854330959526836,-0.6421714052238158,0.5714218439194967
drills,14,2,16,-0.4854330959526836,-0.6421714052238158,0.5714218439194967
back,21,1,22,0.6164581327184901,0.6022952339267027,1.0475827049640192
effort,21,1,22,0.6164581327184901,0.6022952339267027,1.0475827049640192
difference,6,1,7,-0.6389764962304083,-0.5915802899589601,1.1666548084776
remaining,6,1,7,-0.6389764962304083,-0.5915802899589601,1.1666548084776
year,6,1,7,-0.6389764962304083,-0.5915802899589601,1.1666548084776
stop,6,1,7,-0.6389764962304083,-0.5915802899589601,1.1666548084776
valuable,24,3,27,-0.3521509273364254,-0.5750639069007801,0.3749949780280028
downfield,34,2,36,0.4054557197173221,0.5572534203824391,0.5293968794663837
get,20,1,21,0.567489622265553,0.5538223147848825,1.0499653011817187
pinning,20,1,21,0.567489622265553,0.5538223147848825,1.0499653011817187
set,15,2,17,-0.4162612600730835,-0.5529742309397491,0.5666595371201497
folks,60,4,64,0.280899994868693,0.5439672552897483,0.266660044493829
close,19,1,20,0.5160180144051187,0.5029600436706609,1.0525985234961022
flip,19,1,20,0.5160180144051187,0.5029600436706609,1.0525985234961022
really,19,1,20,0.5160180144051187,0.5029600436706609,1.0525985234961022
veteran,84,6,90,0.21215401471636586,0.5020538530021916,0.17856728699689214
high,35,4,39,-0.26260807064866043,-0.4975571321622735,0.27856735852444503
steps,32,2,34,0.3444719435210697,0.47261786367271286,0.5312359354460198
position,45,3,48,0.28023561906175676,0.46997525597292383,0.35554672599177206
leg,45,3,48,0.28023561906175676,0.46997525597292383,0.35554672599177206
points,16,2,18,-0.3515437402433923,-0.46872812558772575,0.5624924670420042
strength,7,1,8,-0.4846479579462013,-0.4533493216391483,1.1428436878389934
strong,7,1,8,-0.4846479579462013,-0.4533493216391483,1.1428436878389934
need,7,1,8,-0.4846479579462013,-0.4533493216391483,1.1428436878389934
seconds,7,1,8,-0.4846479579462013,-0.4533493216391483,1.1428436878389934
tackle,18,1,19,0.46177251252977225,0.4494630472418641,1.0555241429185527
punter,31,2,33,0.31254371711947915,0.42840567822271797,0.5322444101320738
ace,47,5,52,-0.19084064489892683,-0.4057014288394212,0.22127312862029339
