word,count_a,count_b,total_count,log_odds,z_score,variance
athleticism,20,39,59,-0.9989670840865825,-3.6322279835632574,0.07564080757981584
him,19,29,48,-0.7513816119924988,-2.5457531975045393,0.08711411511880611
off,34,43,77,-0.5642679199398941,-2.4587490572108073,0.05266745194408963
bursts,5,13,18,-1.2823758634834883,-2.4368933322730064,0.27692210945770285
matchup,1,9,10,-2.5237692560935967,-2.3942705087253238,1.1110992612462205
combination,2,9,11,-1.8304257182433101,-2.341494917574847,0.6111077331589041
physical,3,10,13,-1.5304004674563796,-2.324850144963731,0.4333314903777909
route,15,1,16,2.3865405475435626,2.310778325387887,1.0666478549946927
perfect,19,4,23,1.2366192795953816,2.2479163809835545,0.3026298217167166
drops,40,15,55,0.6604909853378782,2.1815338097250287,0.09166634029614112
run,2,8,10,-1.7123636980971293,-2.1659931751342802,0.6249968907466468
pass,63,28,91,0.49163207998429304,2.1645593231915394,0.051587138882586814
size,49,54,103,-0.42665187335850074,-2.162471912167229,0.038926590222350746
got,4,10,14,-1.242517651295449,-2.100241723856837,0.34999881189724247
safety,12,1,13,2.1627937940460376,2.0779597591101306,1.0833180107536264
valve,12,1,13,2.1627937940460376,2.0779597591101306,1.0833180107536264
keep,21,6,27,0.9310855446605242,2.0113791175528273,0.21428476471244134
potential,1,6,7,-2.1174691522237623,-1.960402577203896,1.166658245284456
veteran,48,21,69,0.5062867405291769,1.935098010329148,0.06845216275052032
chains,33,13,46,0.6103578470863349,1.863953217844497,0.1072257391718634
using,34,38,72,-0.4392436249461422,-1.8606769905947476,0.05572742290838794
huge,19,24,43,-0.5607349969889999,-1.826023566827029,0.09429801880158153
forward,21,7,28,0.7766560598362089,1.7795460633040758,0.19047544727373195
clutch,15,4,19,0.9994221870158428,1.7760240078125076,0.3166651778012603
moving,15,4,19,0.9994221870158428,1.7760240078125076,0.3166651778012603
dynamic,1,5,6,-1.9348694370484125,-1.7662914363825133,1.199992695824039
big,123,69,192,0.2595200301642735,1.7254324656466995,0.02262277286340639
move,26,10,36,0.6337302090453987,1.7031017377376785,0.13846105472885142
side,3,7,10,-1.1728880376887547,-1.6996789910013061,0.47618893669841583
looks,33,14,47,0.5359701289329637,1.6804026267637775,0.1017312705203581
playmaking,4,8,12,-1.0188155195568047,-1.6637212109565325,0.37499890261379254
become,4,8,12,-1.0188155195568047,-1.6637212109565325,0.37499890261379254
formation,4,8,12,-1.0188155195568047,-1.6637212109565325,0.37499890261379254
toughness,8,1,9,1.756525011356806,1.656075537636632,1.1249893005618619
diving,14,4,18,0.9302273451285252,1.6407704473860958,0.32142714706866204
shows,5,9,14,-0.9135330283512095,-1.637823474560552,0.31111025328908604
turns,11,15,26,-0.6363691496405472,-1.6031159997675104,0.15757537079036643
weapon,8,12,20,-0.7314453534504253,-1.6025185108097888,0.2083328049619141
sideline,8,12,20,-0.7314453534504253,-1.6025185108097888,0.2083328049619141
hands,80,43,123,0.30078197206413915,1.5906662903079734,0.0357557135895211
gain,45,45,90,-0.3277572449169224,-1.55469094017739,0.04444434039588915
back,42,20,62,0.4206050714269187,1.5481711065198545,0.07380930123341575
front,1,4,5,-1.7114478248880793,-1.5307692782019053,1.2499937814932935
quickly,1,4,5,-1.7114478248880793,-1.5307692782019053,1.2499937814932935
impact,1,4,5,-1.7114478248880793,-1.5307692782019053,1.2499937814932935
reason,1,4,5,-1.7114478248880793,-1.5307692782019053,1.2499937814932935
emerging,1,4,5,-1.7114478248880793,-1.5307692782019053,1.2499937814932935
spots,7,1,8,1.6227928108713563,1.5179900229609877,1.142847587443151
developed,7,1,8,1.6227928108713563,1.5179900229609877,1.142847587443151
uses,11,3,14,0.976419751809825,1.4990996732878168,0.4242404679631719
driving,13,4,17,0.8559174469159094,1.4969593061595996,0.3269217154736139
reliable,88,49,137,0.26541803586613266,1.4890528821414573,0.031771712129872794
nightmare,2,5,7,-1.2415236621801107,-1.4839071188256143,0.6999976237944849
impressive,10,13,23,-0.5882206582579785,-1.3984551960455476,0.17692264839238106
opposing,5,8,13,-0.795470705815827,-1.3953497403897368,0.32499915354906816
leaping,5,8,13,-0.795470705815827,-1.3953497403897368,0.32499915354906816
defenses,6,9,15,-0.7310100350558058,-1.3869957807680722,0.27777707328255213
makes,29,30,59,-0.36068175804867764,-1.3850272146196136,0.06781593309903591
great,25,11,36,0.49871726883571466,1.378383902772957,0.13090867522440836
concentration,25,11,36,0.49871726883571466,1.378383902772957,0.13090867522440836
always,6,1,7,1.4684413709476924,1.3595174432909376,1.166658245284456
coverage,8,2,10,1.063103603170684,1.3447348548017108,0.6249968907466468
lead,12,4,16,0.77567285836595,1.3435074218018592,0.333332032729031
plays,11,13,24,-0.4927085850467847,-1.202688180460731,0.16783176942630537
quarterback,96,57,153,0.20057767322000775,1.1995282956259408,0.02796045176025124
after,10,12,22,-0.5078982273374253,-1.1861961128108736,0.18333289697972996
first,79,46,125,0.2197098125053767,1.1846430011857136,0.03439726568971925
really,26,26,52,-0.32626420133405976,-1.1763636842471608,0.07692289683903891
looking,43,23,66,0.3037355355778901,1.1757700528901494,0.06673388699887924
separation,2,4,6,-1.0181015232778838,-1.1756040971772626,0.7499978052275851
showcasing,2,4,6,-1.0181015232778838,-1.1756040971772626,0.7499978052275851
tackles,2,4,6,-1.0181015232778838,-1.1756040971772626,0.7499978052275851
full,5,1,6,1.285919105985907,1.1738817417305323,1.199992695824039
situation,5,1,6,1.285919105985907,1.1738817417305323,1.199992695824039
strength,38,36,74,-0.27257478383592915,-1.1719615791400069,0.05409344042827502
part,9,3,12,0.7753457049238746,1.1630208263328607,0.4444427103053746
example,18,8,26,0.48808800080587567,1.14866499933239,0.18055498608905385
see,3,5,8,-0.8358579681479723,-1.1445471784411467,0.5333319182736178
create,3,5,8,-0.8358579681479723,-1.1445471784411467,0.5333319182736178
threat,3,5,8,-0.8358579681479723,-1.1445471784411467,0.5333319182736178
emerged,3,5,8,-0.8358579681479723,-1.1445471784411467,0.5333319182736178
keeping,5,7,12,-0.6616601276931986,-1.1300011903482898,0.3428562943307244
get,5,7,12,-0.6616601276931986,-1.1300011903482898,0.3428562943307244
defense,30,29,59,-0.2923946587670043,-1.1228029994992454,0.06781593309903591
across,14,6,20,0.5242051120198079,1.0743025314018935,0.23809446834920792
late,14,6,20,0.5242051120198079,1.0743025314018935,0.23809446834920792
another,14,6,20,0.5242051120198079,1.0743025314018935,0.23809446834920792
folks,27,26,53,-0.28832118416587615,-1.0493193534566134,0.07549839862353781
secures,19,9,28,0.42429523008778247,1.0485468647405103,0.16374219463538864
upfield,13,14,27,-0.3996383193332811,-1.0375796504788037,0.14835130009258685
running,12,5,17,0.5522508170082618,1.037500339485106,0.28333239917360786
heads,12,5,17,0.5522508170082618,1.037500339485106,0.28333239917360786
traffic,35,19,54,0.2884347482511007,1.0121902005158616,0.0812027808237918
control,17,8,25,0.4307273557215412,1.004621722551198,0.18382297090935043
excellent,10,4,14,0.5929476804456923,1.0022662110576772,0.34999881189724247
catch,96,59,155,0.16552453559151115,1.0005959048721274,0.027365747400725934
