word,count_a,count_b,total_count,log_odds,z_score,variance
kind,46,154,200,0.5547330255340475,3.3014794324929144,0.02823259848938151
showed,5,3,8,2.270021574515984,3.108356371277007,0.5333328819694785
valuable,7,9,16,1.5081280483144184,2.9925999736321813,0.25396805829896124
deep,5,5,10,1.7591087873671443,2.7813962485410895,0.39999970130328844
flash,5,5,10,1.7591087873671443,2.7813962485410895,0.39999970130328844
may,15,38,53,0.8306735725939953,2.7241443973965853,0.09298235448675464
tackle,41,159,200,0.4062080745338177,2.319126187684822,0.03067950470234633
impact,25,86,111,0.5251839253818433,2.3113699777205015,0.05162783506254083
real,10,123,133,-0.7543935678880924,-2.294170631636265,0.10812958143729681
veteran,24,82,106,0.5319101840338742,2.291913488904766,0.05386171402135381
thunderous,4,5,9,1.5357111781201445,2.2893039348505297,0.44999965556536403
stats,6,11,17,1.1529650243031657,2.2717672421660633,0.25757552880470524
matchup,11,29,40,0.7901844491332071,2.231485498360805,0.12539170834303348
incredible,1,55,56,-2.251411922348937,-2.231242396239546,1.0181609029215704
used,10,26,36,0.8039504091470837,2.160553008957142,0.13846138416443715
rip,3,3,6,1.7586879617273876,2.1539448657242057,0.666666168838814
caller,3,3,6,1.7586879617273876,2.1539448657242057,0.666666168838814
signal,3,3,6,1.7586879617273876,2.1539448657242057,0.666666168838814
run,12,34,46,0.7181667260679365,2.1388321502858316,0.11274496391071825
momentum,6,12,18,1.0659099313104043,2.131820857570593,0.24999976664325507
flashiest,5,9,14,1.171147440809519,2.0996843138383157,0.3111108374902246
swing,4,6,10,1.353345980753791,2.096595426088239,0.41666632959575545
offenses,4,66,70,-1.0471740014415918,-2.033635607183913,0.2651498756633337
problem,2,50,52,-1.4624923689690634,-2.0281214907138367,0.5199951384558138
agility,1,45,46,-2.0503062703097923,-2.0279149230884976,1.0222050389619448
hard,8,20,28,0.8429249485965435,2.014977119052435,0.17499981051435923
snap,44,183,227,0.3359554414384682,2.0008797590919065,0.028191707292295618
slow,6,13,19,0.9858235031046343,1.9974222436565976,0.24358950455635378
perfectly,9,24,33,0.7784657223518856,1.9916345268838347,0.15277760427276083
like,11,119,130,-0.6255924439600289,-1.9851371931436348,0.09931204768522212
hold,10,28,38,0.7297548720198233,1.9809087778697414,0.1357141257363803
making,14,140,154,-0.5471098696455181,-1.9518347395290214,0.07857113227594323
city,5,10,15,1.0657432292013747,1.9457729319253254,0.29999971997190605
need,20,72,92,0.4790595931948758,1.8952966201250467,0.06388879638748499
impressive,8,93,101,-0.697142112489165,-1.8921172646817428,0.13575209458834928
today,6,76,82,-0.782719509385057,-1.8457916938456167,0.1798237056506711
driving,23,87,110,0.4296867071914443,1.8326496505485503,0.054972430678462886
edge,1,37,38,-1.8542138670315058,-1.8296663058527896,1.0270128287600904
season,14,135,149,-0.5105221691262125,-1.818248189969331,0.07883569194629492
know,5,11,16,0.9703893477575267,1.799150894779411,0.29090880258046137
forcing,7,81,88,-0.6922503208294968,-1.7571721211535758,0.1552021463206248
made,6,15,21,0.8426352069003071,1.7444215505220189,0.23333308068581232
overpower,11,35,46,0.6018694382170633,1.7412215102938169,0.11948036351752145
extend,4,8,12,1.0655765840686113,1.7400800873363733,0.3749996499648826
crucial,15,139,154,-0.47064986943615494,-1.7317746251124688,0.07386065274414924
guard,8,23,31,0.7030317225405271,1.7127865652913488,0.1684780581382043
where,2,40,42,-1.2389120927066397,-1.709867532533906,0.5249960698324826
wants,3,5,8,1.2477751745784547,1.7085872475239372,0.5333328819694785
football,3,5,8,1.2477751745784547,1.7085872475239372,0.5333328819694785
qb,3,48,51,-1.0158668038053573,-1.7070027827299379,0.35416454264541936
powering,12,40,52,0.5553849380171414,1.687381716380244,0.10833318637051698
uses,5,12,17,0.8833342643818565,1.659496993125534,0.2833330353627438
