word,count_a,count_b,total_count,log_odds,z_score,variance
veteran,147,48,195,0.9947299258817583,5.983667213250191,0.027636020332849714
force,15,48,63,-1.2967201401214403,-4.383716976608524,0.08749988813710322
athleticism,6,27,33,-1.6366213225085176,-3.6261779738239186,0.2037033535918561
reckoned,9,29,38,-1.3025666860665837,-3.4137263247413325,0.1455936825363997
sheer,18,40,58,-0.9312470182590618,-3.2810840664990897,0.08055547720719647
physicality,62,91,153,-0.5174424020072852,-3.142194105681631,0.027118022035693634
block,101,52,153,0.5358928711341822,3.139748179218954,0.02913173327653039
gaping,12,30,42,-1.0486593866268263,-3.07016193600603,0.11666654352456002
open,55,23,78,0.7429600333939774,2.9920140978487932,0.061660016000266465
massive,35,58,93,-0.6380780659443417,-2.9811274208799206,0.045812770187892524
raw,1,17,18,-2.9653142365839242,-2.8817763906552107,1.058816955375081
determination,11,27,38,-1.0301444857836186,-2.879948984367791,0.12794599467028972
experience,47,19,66,0.7765931422125059,2.8565875580067317,0.07390809727512075
dominant,15,32,47,-0.8900054778695461,-2.8442290971978865,0.09791657393252157
pounds,4,16,20,-1.5181170500956158,-2.7156924378484235,0.31249951660684633
center,17,2,19,2.0102190842154206,2.6890986261518903,0.558821776644706
need,46,20,66,0.7036471698164091,2.627103041618953,0.07173905902779014
flashiest,24,7,31,1.1023879428537278,2.5663066099647636,0.18452355967068462
lines,4,14,18,-1.3844299071483084,-2.44190651026326,0.32142812854054625
improve,4,14,18,-1.3844299071483084,-2.44190651026326,0.32142812854054625
defenders,13,26,39,-0.8251354589053959,-2.4291341236157757,0.1153845103941677
reliable,21,6,27,1.1228798193728045,2.4256993194311467,0.21428541902703085
overwhelm,1,11,12,-2.5295305613489694,-2.421846017483688,1.0909046872253407
microphone,23,38,61,-0.6343331664254928,-2.401089765082235,0.06979399299819371
downfield,22,7,29,1.0152398058031258,2.3395389090268632,0.18831145109488434
left,18,31,49,-0.6756521207569399,-2.280039577927618,0.08781354646915782
always,18,5,23,1.1509233106043437,2.276690678806129,0.25555519486908385
come,19,32,51,-0.6533432737220162,-2.2558400662687537,0.0838815094009594
imaginary,5,14,19,-1.1612182862946252,-2.228878193797219,0.27142825953132793
opening,21,34,55,-0.613903788273289,-2.211914070332367,0.07703074961546279
combination,3,11,14,-1.4307843306687964,-2.1966832512968346,0.4242418159602262
crucial,111,70,181,0.3323309220831554,2.1774197092378604,0.023294704503422817
powerful,54,70,124,-0.3921315489179591,-2.165045389330058,0.03280420811630702
size,84,101,185,-0.3172950516319837,-2.148710596594489,0.02180573586027238
strong,15,4,19,1.1916179360890151,2.1175621893470593,0.31666620372131543
receiver,36,17,53,0.6205924904659987,2.108844207206129,0.08660122555684543
savvy,20,7,27,0.919792886599831,2.09446176106348,0.1928569177362688
season,79,95,174,-0.3172930490396233,-2.08382595469142,0.02318452647291959
let,28,12,40,0.7174266778822824,2.079301100492251,0.11904749937598214
bit,30,43,73,-0.4921555371810742,-2.068883181726067,0.05658910339535117
own,5,13,18,-1.0870324333995507,-2.0656805667221287,0.2769227761012831
anchoring,18,6,24,0.9685240774732025,2.054551075085408,0.22222195261722344
keeps,11,2,13,1.5744917598599582,2.048238406843613,0.590907868914448
giving,26,11,37,0.7302711098869468,2.030329359282081,0.12937049815372342
footwork,27,39,66,-0.4997704409506607,-1.996240915635516,0.06267801393288448
blue,9,1,10,2.066908083966787,1.9608444290790668,1.1111074265177194
collar,9,1,10,2.066908083966787,1.9608444290790668,1.1111074265177194
broadcaster,7,15,22,-0.8936804551696671,-1.952386407165258,0.20952361052224308
find,12,3,15,1.2560290858093213,1.9458333976413011,0.4166660221424618
level,45,58,103,-0.38607866877218466,-1.9434689728739427,0.039463571875625506
sometimes,1,7,8,-2.077235167610742,-1.9430781030079622,1.142854171704479
lay,1,7,8,-2.077235167610742,-1.9430781030079622,1.142854171704479
territory,2,8,10,-1.5176301013505125,-1.9196685910879405,0.6249990332136927
firing,2,8,10,-1.5176301013505125,-1.9196685910879405,0.6249990332136927
show,17,6,23,0.91129732033016,1.9190951723354734,0.2254899345778915
gain,35,47,82,-0.42692260842646235,-1.912164909755316,0.04984798644183679
textbook,44,24,68,0.47642491955479116,1.8774663423021667,0.06439388364166242
lineman,187,133,320,0.2123563555277137,1.8721345805049316,0.012866380660435557
pound,14,23,37,-0.6281228504645666,-1.8529847480307033,0.11490673813304952
across,8,1,9,1.9490570483254865,1.8375913248073785,1.1249966731226713
interior,8,1,9,1.9490570483254865,1.8375913248073785,1.1249966731226713
physical,22,32,54,-0.5065346418100738,-1.8289371055478254,0.0767044856530929
moving,24,11,35,0.6500915887822876,1.7854294617168471,0.1325756301800451
rushers,1,6,7,-1.923006939406827,-1.7803604744791706,1.1666640481310788
seasoned,9,2,11,1.3736846910334233,1.7572248711493481,0.6111100607755684
year,9,2,11,1.3736846910334233,1.7572248711493481,0.6111100607755684
running,193,201,394,-0.17396794858482867,-1.726227269042195,0.01015646412902941
last,14,5,19,0.8993355860557806,1.7262124617946173,0.27142825953132793
mauling,2,7,9,-1.3840209766271716,-1.72617862611099,0.6428562570810925
wall,2,7,9,-1.3840209766271716,-1.72617862611099,0.6428562570810925
maintain,5,11,16,-0.9198226109403276,-1.7053975877622782,0.2909088098424523
fundamentally,7,1,8,1.8154576618344969,1.6982073501605985,1.142854171704479
doesn,17,7,24,0.7570688882238121,1.6857900396933052,0.20168046377382215
side,15,23,38,-0.5590616376018627,-1.6845255955907452,0.11014483992118607
give,12,4,16,0.9682695048567886,1.6770929951753002,0.3333329289258351
trailing,3,8,11,-1.1120971830555755,-1.6426773137908002,0.458332825928236
heinz,3,8,11,-1.1120971830555755,-1.6426773137908002,0.458332825928236
explodes,50,60,110,-0.3144334812607763,-1.6420759087785044,0.03666663953090691
zone,10,3,13,1.0735710284703597,1.6308725441820036,0.4333327602879813
matchup,29,38,67,-0.4021210288175814,-1.6308362067339714,0.06079850221053102
brings,11,18,29,-0.6239775850858926,-1.630432271277399,0.14646452665561577
real,18,26,44,-0.4993713219554081,-1.6286222175420693,0.09401702089932673
power,77,87,164,-0.25447664370719103,-1.6264141810305908,0.024481247906821157
job,44,26,70,0.39622621275926395,1.601796631516804,0.061188760339967424
runner,21,10,31,0.6117430540153634,1.5922015814660626,0.14761890920434442
workhorse,1,5,6,-1.7406078437739154,-1.5889518033218564,1.1999977288492112
superdome,1,5,6,-1.7406078437739154,-1.5889518033218564,1.1999977288492112
blindside,1,5,6,-1.7406078437739154,-1.5889518033218564,1.1999977288492112
mammoth,1,5,6,-1.7406078437739154,-1.5889518033218564,1.1999977288492112
shining,8,2,10,1.2558334784645098,1.5885188901430713,0.6249990332136927
your,8,2,10,1.2558334784645098,1.5885188901430713,0.6249990332136927
tenacity,22,30,52,-0.44184003034264574,-1.5741116086195317,0.07878781865478855
finds,13,5,18,0.8251593043088894,1.5680447859593079,0.2769227761012831
impact,4,9,13,-0.9422079107001942,-1.5679295076764599,0.36111075697361095
