word,count_a,count_b,total_count,log_odds,z_score,variance
mental,3,2,5,-2.238692955386697,-2.452368424756731,0.833331183868175
toughness,3,2,5,-2.238692955386697,-2.452368424756731,0.833331183868175
boom,11,3,14,-1.3456538705293015,-2.0659858151254746,0.42424043466002226
expect,5,2,7,-1.7276136441533536,-2.064896817763212,0.6999975833425695
times,5,2,7,-1.7276136441533536,-2.064896817763212,0.6999975833425695
man,26,5,31,-0.9979661831358477,-2.043657193657717,0.23846000768919232
kinds,6,2,8,-1.5451651398335393,-1.8924368352862222,0.6666640211757789
come,21,4,25,-0.987232977139433,-1.809633798765867,0.2976171200266233
flies,7,2,9,-1.390887473514339,-1.734745372210931,0.6428542456415063
sports,7,2,9,-1.390887473514339,-1.734745372210931,0.6428542456415063
showing,7,2,9,-1.390887473514339,-1.734745372210931,0.6428542456415063
return,40,6,46,-0.7495202719481844,-1.7120318926609461,0.19166511129038538
years,8,2,10,-1.2572290639310184,-1.5902869760629934,0.6249968378156112
stretch,8,2,10,-1.2572290639310184,-1.5902869760629934,0.6249968378156112
make,65,1,66,1.5398880308619596,1.5282368244773101,1.015306031532263
hit,25,4,29,-0.8123691855487642,-1.508537462102053,0.289997787042509
execution,25,4,29,-0.8123691855487642,-1.508537462102053,0.289997787042509
fumble,9,2,11,-1.1393189855689227,-1.4574258398653763,0.611107675653652
deep,45,6,51,-0.631097110043858,-1.452094761659939,0.1888871724156952
making,26,4,30,-0.7730208286266533,-1.4392921550913524,0.28845925350689994
ace,46,6,52,-0.6089901282143844,-1.4030241210343937,0.18840404828695198
perfectly,10,2,12,-1.0338314042887706,-1.334674734979423,0.5999962857399999
look,10,2,12,-1.0338314042887706,-1.334674734979423,0.5999962857399999
unit,53,1,54,1.3342649687401842,1.321894647267292,1.0188036200608086
get,53,1,54,1.3342649687401842,1.321894647267292,1.0188036200608086
huge,19,3,22,-0.798091258992847,-1.2846366845556079,0.3859619297035012
deliver,11,2,13,-0.9383941377450897,-1.220749117730412,0.59090509398919
pin,11,2,13,-0.9383941377450897,-1.220749117730412,0.59090509398919
offense,20,3,23,-0.7466705202637112,-1.2059865780355092,0.38333022258077076
plays,30,4,34,-0.6294092412486938,-1.1824594403516524,0.28333075862354284
excellent,30,4,34,-0.6294092412486938,-1.1824594403516524,0.28333075862354284
own,21,3,24,-0.6977528945090388,-1.1304937017052206,0.3809491415917086
power,4,1,5,-1.255945892739689,-1.1233549986991482,1.2499936756312224
ohhh,4,1,5,-1.255945892739689,-1.1233549986991482,1.2499936756312224
broadcaster,4,1,5,-1.255945892739689,-1.1233549986991482,1.2499936756312224
recovered,4,1,5,-1.255945892739689,-1.1233549986991482,1.2499936756312224
loss,4,1,5,-1.255945892739689,-1.1233549986991482,1.2499936756312224
