word,count_a,count_b,total_count,log_odds,z_score,variance
real,9,20,29,-1.1398013474086977,-2.839663720730884,0.1611107450818464
mitts,25,4,29,1.4968935626500057,2.779669137533786,0.2899984195810387
athleticism,17,27,44,-0.8041875919429797,-2.5973936947648744,0.09586038569266397
power,8,17,25,-1.0945961637065453,-2.553017846882529,0.18382312375877685
keep,60,23,83,0.6244020695964876,2.546040942898847,0.0601447745394133
display,2,10,12,-1.9496999954178929,-2.517057434740011,0.5999973474030147
target,61,25,86,0.55728625411267,2.346737716571831,0.05639330598663343
off,26,34,60,-0.6099526742894508,-2.3412458991780403,0.06787318357869557
handoff,4,11,15,-1.351778400825868,-2.3151907915024825,0.34090818845728893
today,15,2,17,1.67816237276835,2.2293156004108217,0.5666629891247779
alive,35,12,47,0.7345821339437766,2.1959208357646505,0.11190445179159647
formation,2,8,10,-1.7261480047483717,-2.18342765413502,0.6249977416772602
enthusiasm,18,25,43,-0.6695116262571403,-2.1658608021943353,0.09555538422782282
rumbling,18,25,43,-0.6695116262571403,-2.1658608021943353,0.09555538422782282
determination,5,11,16,-1.1284896751802478,-2.092278216452492,0.2909084343630101
air,22,6,28,0.9627500065767478,2.0903653961173143,0.21212050167582105
going,27,33,60,-0.542007615946563,-2.088665977518777,0.06733995052260022
weapon,6,12,18,-1.0332387343949838,-2.0664796649258497,0.24999946862900416
impressive,6,12,18,-1.0332387343949838,-2.0664796649258497,0.24999946862900416
great,39,15,54,0.6196235583917309,2.0394333911885556,0.09230745807696436
physical,8,14,22,-0.8998257378173573,-2.030282684381075,0.19642818374455145
between,15,3,18,1.272495052700986,2.011995786432103,0.3999982316020098
stand,15,3,18,1.272495052700986,2.011995786432103,0.3999982316020098
concentration,29,10,39,0.7283831416060655,1.9862192195386368,0.13448238761914327
lines,2,7,9,-1.592412464370903,-1.9860904829052834,0.6428550737662906
barrels,2,7,9,-1.592412464370903,-1.9860904829052834,0.6428550737662906
snatches,11,1,12,2.060772365858818,1.9730486282894326,1.0908988043498027
veteran,47,20,67,0.5186749062526337,1.9427739654323308,0.07127642755053662
high,12,2,14,1.4545823933134443,1.904500398763592,0.583330275008817
time,16,4,20,1.049293911366628,1.8770374025219985,0.3124988708386301
energy,8,13,21,-0.8255130546119345,-1.8370940114282863,0.20192269230783116
stadium,9,14,23,-0.7818971239905217,-1.8300854833222202,0.18253934135895206
continue,27,31,58,-0.47907609879131385,-1.8199254964434346,0.06929498259839703
reliable,81,41,122,0.34581786005379556,1.8042736210185268,0.0367358454021451
drops,59,28,87,0.4097114667722943,1.7853525604583347,0.052663322662472714
bursts,1,5,6,-1.9488226348202549,-1.7790274619862592,1.1999946948060294
full,1,5,6,-1.9488226348202549,-1.7790274619862592,1.1999946948060294
showcasing,1,5,6,-1.9488226348202549,-1.7790274619862592,1.1999946948060294
head,1,5,6,-1.9488226348202549,-1.7790274619862592,1.1999946948060294
catching,1,5,6,-1.9488226348202549,-1.7790274619862592,1.1999946948060294
points,11,2,13,1.3674255862819562,1.7788708360136058,0.5909062364456082
overpower,2,6,8,-1.4380576887662038,-1.7612562747625606,0.6666647773492302
offense,67,64,131,-0.2960590757997936,-1.693832607978718,0.03055032113231876
contact,4,8,12,-1.0327113623532505,-1.6864123851154953,0.37499920294350625
defenses,5,9,14,-0.9274099898233379,-1.6627020935588188,0.3111104880555555
happen,6,10,16,-0.850508046339999,-1.647003336620878,0.26666615277173455
pull,8,1,9,1.741883737852965,1.64226940966569,1.12499222874001
