word,count_a,count_b,total_count,log_odds,z_score,variance
completely,4,8,12,2.0863675889469704,3.4070251498085486,0.37499974818036474
reading,9,46,55,1.1493153580809183,3.1532495721667737,0.13285005217640722
whiffs,3,5,8,2.2683149744033306,3.1060191430593003,0.5333330086165495
best,3,5,8,2.2683149744033306,3.1060191430593003,0.5333330086165495
turn,5,18,23,1.4987558760253545,2.964752621158751,0.2555552893688481
protect,3,6,9,2.0859649989817592,2.9500009826866447,0.49999966424048636
running,4,13,17,1.6007174650995353,2.799574970752012,0.3269227645078985
reliable,3,7,10,1.931785892038091,2.799424753852577,0.47619012291972745
snatch,2,3,5,2.3732730437280916,2.599791118855165,0.8333328483473097
shows,2,3,5,2.3732730437280916,2.599791118855165,0.8333328483473097
unfolds,2,3,5,2.3732730437280916,2.599791118855165,0.8333328483473097
instinctive,2,3,5,2.3732730437280916,2.599791118855165,0.8333328483473097
right,17,142,159,0.6590664877055366,2.5680282328651125,0.06586563303443434
action,2,4,6,2.085562616952168,2.40820108519487,0.7499994963607295
bright,3,10,13,1.5750256388404358,2.392636870465761,0.43333291042572963
great,2,165,167,-1.6386712690565757,-2.30353802845617,0.506049390288577
consistency,5,27,32,1.0930343364215185,2.2450500422337565,0.23703668142890003
heart,2,5,7,1.8623906925924345,2.2259835045229845,0.6999994547266246
tries,2,5,7,1.8623906925924345,2.2259835045229845,0.6999994547266246
oof,9,67,76,0.7726646695435546,2.1764232483842387,0.12603622767133177
anticipating,5,28,33,1.0566381947996213,2.1763748080964347,0.23571391984641837
go,4,20,24,1.1697352401097492,2.1356360825404526,0.2999995809724776
oh,5,31,36,0.9547700025569199,1.9811334710720585,0.23225766765932881
open,4,22,26,1.0743681041914073,1.9765513427456471,0.29545409453828286
future,3,14,17,1.2384396221143197,1.946593672736105,0.4047613740947691
oooh,3,14,17,1.2384396221143197,1.946593672736105,0.4047613740947691
tackle,8,63,71,0.7160932573863166,1.907902359508039,0.14087271308191568
deliver,2,7,9,1.5258616844138642,1.9030848484905298,0.6428564891541999
experience,2,7,9,1.5258616844138642,1.9030848484905298,0.6428564891541999
cut,2,7,9,1.5258616844138642,1.9030848484905298,0.6428564891541999
poor,2,7,9,1.5258616844138642,1.9030848484905298,0.6428564891541999
second,2,123,125,-1.3437125658144673,-1.8850484351802823,0.5081216852284878
area,3,15,18,1.1694183016459885,1.8490139766569385,0.3999994412966368
fingers,4,24,28,0.9872997670136927,1.828125451668941,0.29166618354657065
textbook,5,182,187,-0.8195625816435168,-1.8079405243099271,0.20549249481189003
time,15,150,165,0.47794171912526284,1.7649191583041006,0.0733331343850678
haunt,4,25,29,0.9464492909325504,1.7575137244917811,0.2899995006859019
behind,3,16,19,1.104851330232676,1.7560949060565196,0.39583274633764554
trying,3,16,19,1.104851330232676,1.7560949060565196,0.39583274633764554
falls,5,35,40,0.8332951356547191,1.7429634978148278,0.22857099002899844
last,1,92,93,-1.7460278465057408,-1.7366366888409732,1.0108445823640837
hauls,4,26,30,0.9072000952654689,1.6891161625241917,0.28846102290245623
perfectly,7,211,218,-0.6308551416276504,-1.6420765834476445,0.1475952830141291
rocket,2,9,11,1.2744904676746636,1.6303347181579357,0.6111103359631453
see,7,204,211,-0.5969163677072258,-1.5528806039575653,0.14775794563083364
enthusiasm,21,240,261,0.344605079500516,1.514318963432071,0.051785554097149564
able,2,10,12,1.1691015540078933,1.5093046702999562,0.5999991619449552
development,2,10,12,1.1691015540078933,1.5093046702999562,0.5999991619449552
hit,1,73,74,-1.5141604554447836,-1.5039095896211419,1.0136787498244848
even,3,19,22,0.9329157154695134,1.501650534813056,0.38596423931569096
capitalize,4,29,33,0.7979153501836231,1.4959920156768884,0.28448219407841924
really,8,74,82,0.5548488144177437,1.4908334736300746,0.1385131653384613
stop,5,40,45,0.6996212109132012,1.4749326267057008,0.2249995089525262
gain,7,63,70,0.5821016620335504,1.461065363847905,0.15872977026840301
slow,4,30,34,0.7639853123150182,1.4352799532388343,0.2833327523956464
solid,4,30,34,0.7639853123150182,1.4352799532388343,0.2833327523956464
receivers,4,30,34,0.7639853123150182,1.4352799532388343,0.2833327523956464
start,4,30,34,0.7639853123150182,1.4352799532388343,0.2833327523956464
lead,3,20,23,0.8815939663099295,1.4239040128639437,0.3833326314476327
locating,1,66,67,-1.4131575263073897,-1.4025843628973453,1.0151335146209286
didn,2,11,13,1.0737629742948558,1.3968456514382823,0.5909081890765657
folks,13,140,153,0.40319666259540377,1.3906170209402482,0.08406568879243709
takes,4,130,134,-0.7052045972604359,-1.3892048948844296,0.2576900559923879
reach,4,31,35,0.7311670024040291,1.3762390083793583,0.28225746715513544
anticipation,2,85,87,-0.9730971849840415,-1.360265022499338,0.5117588604963942
energy,15,168,183,0.3640974689055021,1.3511172659108708,0.07261882741047106
make,39,503,542,0.22448548666877954,1.3505344847628689,0.027629000919626667
elite,4,127,131,-0.6817715283218568,-1.3425699506667492,0.2578718143593318
away,5,147,152,-0.6049870854310493,-1.3303615863174334,0.20680108607689673
sails,6,55,61,0.563520900699559,1.310697955229156,0.18484802429217112
thing,2,12,14,0.9867231957680254,1.2919249941448057,0.5833323670931413
season,3,22,25,0.7862268739383396,1.2774687452929343,0.3787871187823893
crucial,1,57,58,-1.2662992439259035,-1.2553450206616725,1.0175282758440087
big,13,146,159,0.3610607039451166,1.2474709090262301,0.08377213727495268
eye,1,4,5,1.3919568004938476,1.2450047216964542,1.249998573022864
trusting,1,4,5,1.3919568004938476,1.2450047216964542,1.249998573022864
counting,1,4,5,1.3919568004938476,1.2450047216964542,1.249998573022864
pauses,1,4,5,1.3919568004938476,1.2450047216964542,1.249998573022864
goes,1,4,5,1.3919568004938476,1.2450047216964542,1.249998573022864
angles,1,4,5,1.3919568004938476,1.2450047216964542,1.249998573022864
series,1,4,5,1.3919568004938476,1.2450047216964542,1.249998573022864
coughing,1,4,5,1.3919568004938476,1.2450047216964542,1.249998573022864
crowd,1,4,5,1.3919568004938476,1.2450047216964542,1.249998573022864
looked,1,4,5,1.3919568004938476,1.2450047216964542,1.249998573022864
inconsistency,1,4,5,1.3919568004938476,1.2450047216964542,1.249998573022864
struggle,1,4,5,1.3919568004938476,1.2450047216964542,1.249998573022864
tuning,1,4,5,1.3919568004938476,1.2450047216964542,1.249998573022864
full,1,4,5,1.3919568004938476,1.2450047216964542,1.249998573022864
show,1,4,5,1.3919568004938476,1.2450047216964542,1.249998573022864
ability,1,55,56,-1.230524546295424,-1.2194972397302093,1.018166771398383
maker,3,23,26,0.7417466536224708,1.2083532704480557,0.37681080502470754
better,17,202,219,0.30490653041449267,1.2073842659740246,0.0637738194732323
got,53,721,774,0.1714002880529839,1.2043353443358922,0.020254812667695576
real,7,70,77,0.4765413245054626,1.202136639612611,0.15714243082514529
tone,1,54,55,-1.2121471013427598,-1.2010857465805351,1.0185037402411212
lapse,2,13,15,0.9066520851165869,1.193664003201171,0.5769220458049125
between,2,75,77,-0.8476494277398698,-1.1830925754115882,0.5133281590096032
physical,4,117,121,-0.5994727468833396,-1.178966306167517,0.2585449748427018
work,10,234,244,-0.37692322390314725,-1.1672591310853022,0.1042728476778021
times,4,35,39,0.6096921882326756,1.1551619147954684,0.2785707652900239
tighten,10,110,120,0.3814694200587292,1.1549577450840083,0.10909058409870287
quarterback,22,454,476,-0.25203380501813744,-1.154504933472332,0.04765692383956248
sloppy,3,24,27,0.6991585805108524,1.1417224268939405,0.37499918158754375
like,9,212,221,-0.3833780996413134,-1.1264754337929648,0.1158273580590036
snapped,9,98,107,0.39150421317450856,1.1240340937573132,0.12131483492469201
slips,4,36,40,0.5814928197977096,1.1033064022234722,0.27777709796970523
backfield,2,14,16,0.8325157086783861,1.1013158203643643,0.5714274750724961
leaping,2,70,72,-0.7785142798577445,-1.0855914038372723,0.5142808754450746
timing,1,48,49,-1.0941942452053581,-1.0829784279302024,1.0208201660115044
outside,1,48,49,-1.0941942452053581,-1.0829784279302024,1.0208201660115044
true,1,48,49,-1.0941942452053581,-1.0829784279302024,1.0208201660115044
bring,3,25,28,0.6583081263658652,1.0774108016547816,0.3733324856330733
timed,1,5,6,1.1687849970072977,1.06695059136054,1.1999983238899103
shoulder,1,5,6,1.1687849970072977,1.06695059136054,1.1999983238899103
hip,1,5,6,1.1687849970072977,1.06695059136054,1.1999983238899103
lock,1,5,6,1.1687849970072977,1.06695059136054,1.1999983238899103
bad,1,5,6,1.1687849970072977,1.06695059136054,1.1999983238899103
learning,1,5,6,1.1687849970072977,1.06695059136054,1.1999983238899103
snatches,1,5,6,1.1687849970072977,1.06695059136054,1.1999983238899103
tackles,1,5,6,1.1687849970072977,1.06695059136054,1.1999983238899103
credit,1,5,6,1.1687849970072977,1.06695059136054,1.1999983238899103
displayed,1,5,6,1.1687849970072977,1.06695059136054,1.1999983238899103
routes,1,5,6,1.1687849970072977,1.06695059136054,1.1999983238899103
diagnoses,1,5,6,1.1687849970072977,1.06695059136054,1.1999983238899103
wrong,1,5,6,1.1687849970072977,1.06695059136054,1.1999983238899103
target,1,5,6,1.1687849970072977,1.06695059136054,1.1999983238899103
place,1,5,6,1.1687849970072977,1.06695059136054,1.1999983238899103
rivals,1,5,6,1.1687849970072977,1.06695059136054,1.1999983238899103
decision,1,5,6,1.1687849970072977,1.06695059136054,1.1999983238899103
