word,count_a,count_b,total_count,log_odds,z_score,variance
your,12,13,25,1.7183845518389385,4.292524686713547,0.16025630183685086
impact,21,52,73,0.8923119647939801,3.451173685574648,0.06684975193100698
real,22,58,80,0.8296344770230375,3.313350319908905,0.06269586101257033
absolute,4,107,111,-1.4937014257560337,-2.9330951514754084,0.2593434518999405
lapse,4,2,6,2.490107583835072,2.8753297795860155,0.7499993677720966
look,30,102,132,0.5754316312903134,2.7705612092868686,0.04313720116966438
quite,18,51,69,0.7569048732095478,2.7608215097225672,0.07516331793921638
isn,4,3,7,2.084603466676258,2.7293875815246107,0.5833329235559088
gets,27,91,118,0.5839029534526841,2.664418957701466,0.048025988642155085
got,101,459,560,0.28817201445961116,2.6219545999772147,0.01207961992975844
allowing,19,59,78,0.6651831427639117,2.5217207414910776,0.06958065107920512
see,19,205,224,-0.586056566842605,-2.4438247298516584,0.05750941670640869
easily,3,2,5,2.202188629378692,2.4123776575952434,0.8333327245211846
enough,7,14,21,1.104053972435315,2.3850301760554355,0.21428553364917047
double,4,5,9,1.5736995504203426,2.345933591397497,0.4499996889438059
lunges,4,5,9,1.5736995504203426,2.345933591397497,0.4499996889438059
picks,5,8,13,1.3269588395687606,2.327640656217497,0.32499975617074117
wants,26,96,122,0.49223835423649387,2.226476498945296,0.04887813981110334
react,3,3,6,1.7966844841208705,2.200480849412389,0.6666662170822738
yet,3,3,6,1.7966844841208705,2.200480849412389,0.6666662170822738
kid,3,3,6,1.7966844841208705,2.200480849412389,0.6666662170822738
steps,3,3,6,1.7966844841208705,2.200480849412389,0.6666662170822738
frame,17,56,73,0.6057856911815502,2.187642331575209,0.07668057924775203
fundamental,5,9,14,1.2091365673482946,2.1677927877324144,0.31111086400624993
disrupting,4,6,10,1.3913388001037017,2.155453588053481,0.4166663622605923
anticipation,4,6,10,1.3913388001037017,2.155453588053481,0.4166663622605923
swat,4,6,10,1.3913388001037017,2.155453588053481,0.4166663622605923
incredible,1,49,50,-2.097403651395628,-2.0763408425263226,1.0203912971016036
wrecking,2,53,55,-1.4826562573927635,-2.0583252694054663,0.5188632816269914
tackle,21,201,222,-0.46563385351001063,-2.0303758779697656,0.05259400040378027
coming,7,17,24,0.909780117514086,2.025837048577718,0.201680479113735
mental,8,21,29,0.8320824503267827,2.0027291740334787,0.17261887265730072
ooh,4,7,11,1.2371489123621338,1.9738076175762576,0.39285683534490645
stood,4,7,11,1.2371489123621338,1.9738076175762576,0.39285683534490645
footwork,4,7,11,1.2371489123621338,1.9738076175762576,0.39285683534490645
gain,22,83,105,0.4702517127831909,1.9610398489176286,0.05750265993602438
man,1,43,44,-1.9665491800201327,-1.9440876953412498,1.0232409698546747
hard,10,30,40,0.6986718494717037,1.9133927365365935,0.1333331834719566
stance,8,22,30,0.7855231351448735,1.90263251738785,0.1704543664975202
make,37,158,195,0.3469889846625298,1.8998885165472386,0.03335609028825645
intensity,4,64,68,-0.9780630919893731,-1.8977262858312793,0.2656235613591412
fundamentals,13,44,57,0.5782054747327168,1.8316523836754708,0.09965022599666123
couldn,6,15,21,0.8806340111583948,1.8230864958065789,0.23333310516934702
textbook,7,86,93,-0.7140685897544143,-1.8167601981864254,0.154484405626772
slow,7,19,26,0.7984759091258047,1.8059311527774664,0.195488518603342
against,8,23,31,0.7410320709710074,1.8053661889110937,0.16847807778446736
difference,14,49,63,0.5447235638233883,1.7974972012250046,0.09183661746450864
relentless,2,44,46,-1.2962009932625644,-1.7928187447387782,0.5227233870776331
pads,3,5,8,1.2857805791045145,1.760628240762369,0.5333329257102032
sloppy,3,5,8,1.2857805791045145,1.760628240762369,0.5333329257102032
every,5,68,73,-0.8154654786347111,-1.7598862990545387,0.21470489244404392
solid,10,32,42,0.6340546783005072,1.7501582213607778,0.13124984455102942
impressive,5,67,72,-0.8006110417747117,-1.7269458392531842,0.21492439662786533
want,2,42,44,-1.2496025538441895,-1.7265801752371692,0.5238058063526998
blow,1,34,35,-1.7313582608228302,-1.7064551224612825,1.0293999530378934
him,45,353,398,-0.26696845901032606,-1.6866020036181741,0.025055016063130466
veteran,14,51,65,0.504639497740583,1.6725301440003846,0.09103629431680874
single,4,57,61,-0.8619560130690802,-1.6664360732447971,0.26754256779377783
pass,18,70,88,0.43948689991927026,1.6629920549303578,0.06984117220372504
often,2,40,42,-1.2007339721673151,-1.6571759219964235,0.5249964506943923
away,11,38,49,0.5575159850809763,1.628349776867194,0.11722473239357437
maker,8,25,33,0.6575718529010635,1.618830936220446,0.16499980833386407
running,39,177,216,0.28580431565909414,1.6157017371870857,0.031290692945709735
raw,1,31,32,-1.6388678594884478,-1.6130657430258573,1.0322472633719275
presence,5,13,18,0.8412547894738633,1.598630866421224,0.27692279823408206
downfield,5,13,18,0.8412547894738633,1.598630866421224,0.27692279823408206
power,12,117,129,-0.4829359920565981,-1.5932319011796048,0.09188003663918212
nice,6,17,23,0.7553923184263267,1.5907757625580108,0.22548995381764916
absolutely,6,71,77,-0.6761977397846355,-1.5905012851830405,0.18075044735279014
cut,3,6,9,1.1034198456472497,1.5604719684220536,0.4999995785147311
show,3,6,9,1.1034198456472497,1.5604719684220536,0.4999995785147311
reckless,3,6,9,1.1034198456472497,1.5604719684220536,0.4999995785147311
bring,6,70,76,-0.6619737378532147,-1.5561787112140157,0.18095166388312484
job,34,153,187,0.2940698114726885,1.55101200583948,0.035947655179610585
drive,26,112,138,0.3374562840657038,1.5501509630672572,0.047390037346387526
forcing,2,37,39,-1.1226548162277679,-1.546433177998705,0.5270237298547473
excellent,2,37,39,-1.1226548162277679,-1.546433177998705,0.5270237298547473
pad,7,77,84,-0.6031721862510953,-1.5279067818100227,0.1558435730318609
mistake,2,3,5,1.3909826064124777,1.5237456578639108,0.8333327245211846
upper,2,3,5,1.3909826064124777,1.5237456578639108,0.8333327245211846
onto,2,3,5,1.3909826064124777,1.5237456578639108,0.8333327245211846
passion,2,3,5,1.3909826064124777,1.5237456578639108,0.8333327245211846
air,2,3,5,1.3909826064124777,1.5237456578639108,0.8333327245211846
though,2,3,5,1.3909826064124777,1.5237456578639108,0.8333327245211846
ends,2,3,5,1.3909826064124777,1.5237456578639108,0.8333327245211846
abandon,2,3,5,1.3909826064124777,1.5237456578639108,0.8333327245211846
idea,2,3,5,1.3909826064124777,1.5237456578639108,0.8333327245211846
brute,1,28,29,-1.5369680981263567,-1.510243317308665,1.035704494870232
unacceptable,4,10,14,0.8803562968653207,1.488074467499288,0.34999965775402053
hesitation,4,10,14,0.8803562968653207,1.488074467499288,0.34999965775402053
enthusiastically,4,10,14,0.8803562968653207,1.488074467499288,0.34999965775402053
forward,4,10,14,0.8803562968653207,1.488074467499288,0.34999965775402053
run,11,40,51,0.5061440075866424,1.4866736227235544,0.11590893804065153
disengage,5,14,19,0.7671075588688145,1.4724098459034975,0.2714282824789955
plays,10,98,108,-0.4877759924977836,-1.4693400162123518,0.11020371367858578
control,5,59,64,-0.6731411140686197,-1.4452001845926097,0.21694828314409734
push,8,27,35,0.5805321950493694,1.4421798786647069,0.1620368364485938
even,1,26,27,-1.4627820891665184,-1.4354442582489226,1.0384524209867414
collapse,11,41,52,0.48141205093865125,1.4177636889242613,0.11529917947372242
offense,22,95,117,0.3347421963625319,1.4147868244173212,0.055980775362410334
end,3,7,10,0.9492299779763691,1.3755655634828867,0.47619003272303295
boisterous,3,7,10,0.9492299779763691,1.3755655634828867,0.47619003272303295
bigger,3,7,10,0.9492299779763691,1.3755655634828867,0.47619003272303295
