word,count_a,count_b,total_count,log_odds,z_score,variance
quicker,18,21,39,1.1761861696513334,3.661759716459051,0.10317451867556529
slow,17,21,38,1.1188339859401673,3.4293210047871114,0.10644248895039968
wants,47,98,145,0.5972007037287881,3.3658790187508103,0.03148064470429509
impact,28,49,77,0.7712256822777146,3.2554676232532485,0.056122396256461704
got,130,359,489,0.31902494188269825,3.116659687227433,0.010477809767907683
solid,16,22,38,1.0114444098386715,3.0783765112541692,0.10795445361297727
work,22,159,181,-0.6538438356762768,-2.8743873707325203,0.05174369939762408
shed,6,3,9,2.022082005648273,2.859657243167911,0.49999949415295447
processing,8,7,15,1.4626487396396328,2.8261070116684017,0.2678569241298531
maker,16,25,41,0.8834573864163833,2.759458499855047,0.10249990864147934
urgency,5,2,7,2.245083146237576,2.683389181283768,0.6999991785045676
fill,5,2,7,2.245083146237576,2.683389181283768,0.6999991785045676
mental,22,41,63,0.7075578097570006,2.6772882616457787,0.06984472151561547
time,23,44,67,0.6814321226444662,2.6483517764390396,0.0662054683379121
look,34,75,109,0.5395448173027999,2.6096640334000365,0.04274505204014584
size,14,22,36,0.8775256873965134,2.566753365267873,0.11688301245456512
flag,5,3,8,1.8395672570353607,2.518932362085514,0.5333328441229725
strength,9,11,20,1.1284355376494783,2.510611614644187,0.20202003521088924
completely,6,5,11,1.511154434130388,2.4955904399733297,0.36666636495692717
attack,8,9,17,1.2112320879384066,2.492696088071698,0.2361109186862176
playmaker,7,7,14,1.328924013420922,2.4861901817448873,0.28571405446985654
picks,12,18,30,0.923863346527102,2.478986580496125,0.13888876711087395
backfield,21,140,161,-0.5723161075189589,-2.4456668406988804,0.05476175369860732
alright,19,36,55,0.6906821599486248,2.4357076350673905,0.08040927789683591
decisive,4,1,5,2.714943974609647,2.4283218011423893,1.2499978501518654
hitting,1,43,44,-2.4352638771460784,-2.4074523331841835,1.0232379988050955
hard,3,47,50,-1.4254289228243087,-2.39370982917462,0.3546076717218764
hits,4,2,6,2.0217465079343064,2.3345129620848986,0.7499992412294317
disrupt,4,2,6,2.0217465079343064,2.3345129620848986,0.7499992412294317
action,5,4,9,1.5518342322524035,2.313338848312566,0.4499996266847859
hit,19,126,145,-0.5667052755454227,-2.3026923782880604,0.0605679206445141
awareness,6,6,12,1.3287818185920353,2.301518553348717,0.33333306354816594
runner,6,60,66,-0.9765683541098076,-2.2807769587635325,0.18333258400773034
loss,8,70,78,-0.8431642627801903,-2.259226023527343,0.13928521464444057
