word,count_a,count_b,total_count,log_odds,z_score,variance
burst,32,75,107,-0.9380639742937111,-4.442693866256413,0.04458329253183844
physical,29,70,99,-0.9673554199965508,-4.38042948764306,0.04876842734583873
tools,33,67,100,-0.7938792143611133,-3.7329225855486476,0.0452283657444616
force,23,53,76,-0.9201581301584447,-3.6851716444374287,0.06234612900152099
little,30,59,89,-0.7616710579440671,-3.396716187651843,0.050282444763079054
hold,27,5,32,1.6046056858541364,3.2957982780323003,0.23703659970451052
technical,22,46,68,-0.8225388056259693,-3.173162990784759,0.06719361886243375
dominant,30,56,86,-0.7092777273017088,-3.134887137525418,0.051190435565832776
yikes,35,11,46,1.075754927701932,3.1121824104651985,0.11948038149301678
veteran,100,55,155,0.5172405240137676,3.081117130223271,0.028181796135169867
massive,14,34,48,-0.9719214834646301,-3.0606540491721512,0.10084024151891671
pound,5,21,26,-1.5193755794226051,-3.053327826742721,0.24761868459212324
creating,25,48,73,-0.7372128526340305,-2.9889748871733572,0.060833284283419484
hole,60,90,150,-0.49103584338352935,-2.9462161146525006,0.02777775789632278
huge,10,27,37,-1.0776403358765307,-2.91108628964006,0.13703689804589572
defensive,216,147,363,0.305295848680621,2.8553101133880396,0.011432342598717775
center,19,3,22,1.763662813551277,2.8388478121860006,0.38596408465770765
loss,22,5,27,1.3994939657397358,2.8247877595528013,0.2454541702619005
stronger,23,6,29,1.261618933738493,2.7521305800568188,0.21014464332155744
years,23,6,29,1.261618933738493,2.7521305800568188,0.21014464332155744
completely,45,20,65,0.7292475823565878,2.7135621174628457,0.0722221579388661
enough,26,8,34,1.0965920516246,2.7122989625346223,0.16346134635494147
however,16,33,49,-0.8083411969744381,-2.6534677711693666,0.09280295221058747
against,59,30,89,0.5948580126590439,2.652803752852795,0.050282444763079054
drops,44,20,64,0.7067111351920232,2.6205561747916817,0.07272720895293795
sloppy,67,36,103,0.5397866285149835,2.612115243071194,0.04270311707879532
potential,25,44,69,-0.6499249382772803,-2.594986876303895,0.06272722448454784
feet,98,59,157,0.4264291457817331,2.587833080528763,0.027153213875974292
tighten,12,27,39,-0.8951920004028828,-2.5802191101581418,0.12037026323144351
pancakes,5,17,22,-1.3077906781555253,-2.570612558088215,0.2588232135676659
sideline,15,2,17,1.9325536938221344,2.5672507142913803,0.5666652377740947
around,21,6,27,1.170520233347088,2.5286142859522824,0.21428544630759955
backfield,53,27,80,0.5927982567457377,2.5071592394476743,0.055904915906269996
work,45,67,112,-0.4829614570094245,-2.5058050198506323,0.037147568844109975
details,17,33,50,-0.7476531271771618,-2.5043600014998395,0.08912648739586271
incredible,2,12,14,-1.8756191460578613,-2.45576441893113,0.5833321450358665
bull,17,4,21,1.3645598626967805,2.455487476466867,0.3088230718397331
immediately,55,29,84,0.5583697605400584,2.4331157210158185,0.05266453463496708
pretty,13,1,14,2.482540158594378,2.392240721976608,1.0769184248434451
front,22,38,60,-0.6309306634911511,-2.3550997902190813,0.07177028025128221
getting,69,40,109,0.46369101690337455,2.3332976291750556,0.03949272355603835
talented,2,11,13,-1.7885389523608533,-2.326689740632662,0.5909079818211561
attack,98,62,160,0.37662457868582333,2.320906842332325,0.026333094637615802
through,101,126,227,-0.30661838115575346,-2.295785794090939,0.01783748596132148
battles,14,3,17,1.4579642428439277,2.2916453471576417,0.4047612521390149
driving,102,127,229,-0.30467696145351475,-2.291521666226418,0.017677925355517064
impressive,3,12,15,-1.470091284482212,-2.2774572235836987,0.4166660816935769
become,6,16,22,-1.0647123040782294,-2.224112583303262,0.22916643640509432
sheer,1,9,10,-2.280939736080321,-2.1638926878575044,1.1111077669568725
athleticism,7,17,24,-0.9711918897751426,-2.162584622996696,0.20168048303783342
ones,3,11,14,-1.3830110382315803,-2.1233367724861854,0.4242418721627505
last,3,11,14,-1.3830110382315803,-2.1233367724861854,0.4242418721627505
raw,14,26,40,-0.7031051271626625,-2.121002267941813,0.10989002292756773
rough,10,1,11,2.2199864590146126,2.1166775683514274,1.0999963299550777
absolutely,34,50,84,-0.4701167253012164,-2.114904076150296,0.04941172960272369
got,377,296,673,0.16231395209917565,2.0900900534660676,0.006030894170674829
maintaining,53,71,124,-0.3770873763568332,-2.077296120919744,0.03295240886241947
trying,19,7,26,0.9160903943735041,2.071942491417676,0.1954885227315323
left,45,62,107,-0.405057077036453,-2.0683621801329855,0.038351227830234966
stuff,14,4,18,1.170213630552995,2.0640641221305924,0.32142816946139935
away,14,4,18,1.170213630552995,2.0640641221305924,0.32142816946139935
consistent,12,23,35,-0.7345732812110297,-2.062793818875024,0.12681149205640707
keep,108,73,181,0.310340007654359,2.0481980177194083,0.02295787305015251
shows,1,8,9,-2.1630880627425535,-2.03938172013437,1.12499698051064
face,2,9,11,-1.5877306410967131,-2.03103344450299,0.6111101578217949
doubt,27,41,68,-0.5020119625551347,-2.0255061978462385,0.061427236763182555
close,12,3,15,1.3036868271195203,2.0196643657812188,0.4166660816935769
base,61,37,98,0.4181177450846665,2.0065570085260926,0.04342043730258482
balance,64,82,146,-0.3325975346159611,-1.9940665982060122,0.027820103003757327
anchor,46,26,72,0.4885117885944368,1.9910151170902461,0.06020062247215823
quickly,26,12,38,0.690851433229172,1.9795676598370167,0.12179476605306305
difference,5,13,18,-1.0392509715544618,-1.9748816706773564,0.2769228038958667
situations,10,2,12,1.5267720238530238,1.971055900176351,0.5999989693465888
see,56,73,129,-0.3497547790805031,-1.9689033340515172,0.03155575140905814
