word,count_a,count_b,total_count,log_odds,z_score,variance
elite,8,9,17,-1.3625973909589604,-2.804204845153026,0.23611068184264872
bit,18,14,32,-0.9943592486236028,-2.790416319865958,0.1269838904306894
still,12,11,23,-1.1581464801813048,-2.7745140778426816,0.1742421084491303
athleticism,3,6,9,-1.9373301367940554,-2.7398016460110663,0.499998871538365
middle,6,7,13,-1.39838944642067,-2.5135151282315857,0.3095232440132178
mobility,3,5,8,-1.7546051768851072,-2.402594545427344,0.5333322419852365
money,7,7,14,-1.244122611649674,-2.3275423812018468,0.28571376984578367
most,2,4,6,-1.9366390913179767,-2.2362407249044605,0.7499983073075475
years,2,4,6,-1.9366390913179767,-2.2362407249044605,0.7499983073075475
hands,34,2,36,1.5942424594472273,2.1910935558347235,0.5294036117803681
deep,20,12,32,-0.7338053075326645,-2.0096106548750474,0.13333306049630914
back,158,31,189,0.3924755591362943,1.9979846289499306,0.03858699405817485
kid,7,6,13,-1.0895682538197597,-1.958428888480746,0.3095232440132178
take,49,23,72,-0.4893811136283839,-1.9361697222148806,0.06388627419089654
got,159,61,220,-0.290296366760586,-1.9274997297730476,0.022682689567783534
keep,27,2,29,1.3629046496337631,1.8597990223918002,0.5370304561165892
next,45,21,66,-0.48322209615806244,-1.8284842885413204,0.06984110530936702
doubt,59,26,85,-0.42631637070182027,-1.8110721750676881,0.05541055544598707
caliber,2,3,5,-1.6485541522343121,-1.8059023590693266,0.833331703332522
me,2,3,5,-1.6485541522343121,-1.8059023590693266,0.833331703332522
targets,2,3,5,-1.6485541522343121,-1.8059023590693266,0.833331703332522
become,8,6,14,-0.9559206604509427,-1.7700227869706595,0.29166611810864185
precision,8,6,14,-0.9559206604509427,-1.7700227869706595,0.29166611810864185
unacceptable,21,1,22,1.8044337178613352,1.7629636862919271,1.0475991420041326
authoritative,4,4,8,-1.243260491026609,-1.7582374352569765,0.4999990972301214
hitting,4,4,8,-1.243260491026609,-1.7582374352569765,0.4999990972301214
leading,4,4,8,-1.243260491026609,-1.7582374352569765,0.4999990972301214
pinpoint,6,5,11,-1.0611100684970642,-1.7523672126904346,0.36666599360159857
leans,66,11,77,0.5529078632351503,1.6977624463764103,0.1060600156152111
oof,29,3,32,1.0287321400133287,1.6962460949403604,0.36781284778031165
enough,24,2,26,1.2447728988890416,1.691322544169501,0.5416607579706647
tools,23,12,35,-0.5936937472482127,-1.6671837625496735,0.1268113150502439
execution,33,4,37,0.8703266954023468,1.6438797640492817,0.2803009119887035
behind,11,7,18,-0.7916724589471125,-1.6374011067844065,0.2337657678402639
especially,21,11,32,-0.5974826545357592,-1.6053021211958434,0.13852783427213614
speaks,68,28,96,-0.35821400210773735,-1.5952948755494616,0.05042003878148183
see,24,12,36,-0.5510175623868738,-1.5585147783916875,0.12499971788459124
sloppy,17,1,18,1.592661828988442,1.5478010030220357,1.0588072235607362
physical,19,10,29,-0.6020845469639093,-1.54111752095471,0.15263124462260536
beautiful,3,3,6,-1.242973416264224,-1.5223266911569937,0.6666654629734953
gonna,5,4,9,-1.0200009386937063,-1.5205290310273756,0.449999167194843
quarterbacks,5,4,9,-1.0200009386937063,-1.5205290310273756,0.449999167194843
signal,5,4,9,-1.0200009386937063,-1.5205290310273756,0.449999167194843
right,71,13,84,0.45865610573740057,1.520370706573806,0.0910071202099243
didn,21,2,23,1.1108929160784928,1.5011877146135006,0.5476138096534899
yikes,16,1,17,1.5319215431464306,1.4861929712381294,1.0624845931702724
drops,95,19,114,0.37075038872137345,1.4752608312346642,0.06315759824922954
accurate,25,3,28,0.8798465016840407,1.4399923495316564,0.37333048429040455
high,25,3,28,0.8798465016840407,1.4399923495316564,0.37333048429040455
hit,10,6,16,-0.7325446089243588,-1.4185679867517813,0.26666612099261827
scans,15,8,23,-0.6149873207674341,-1.4047315578267237,0.1916662499508158
enthusiasm,45,19,64,-0.3823265363847792,-1.3974235562846433,0.07485361258994169
going,31,14,45,-0.4492281086410328,-1.3951022949908727,0.10368638640300881
veteran,29,4,33,0.7406488118888959,1.3886276336573382,0.28448086124450495
arm,102,38,140,-0.25821880945487763,-1.358677364106951,0.03611961136827321
energy,37,16,53,-0.4059387472823026,-1.356700433673744,0.08952680517546895
big,21,10,31,-0.5017680788508159,-1.3059673957934492,0.14761870430061902
wasn,6,4,10,-0.8375633071440491,-1.2975487649892683,0.416665851666261
many,6,4,10,-0.8375633071440491,-1.2975487649892683,0.416665851666261
work,58,23,81,-0.3197051445884922,-1.2974349787088946,0.06071948021145879
defensive,13,1,14,1.3239352708699235,1.2757834798282621,1.076910363495962
learn,13,1,14,1.3239352708699235,1.2757834798282621,1.076910363495962
too,24,11,35,-0.46360161215899254,-1.2732491542144329,0.13257544158841772
talented,4,3,7,-0.9551754767120819,-1.2506194400641597,0.5833322362172837
crazy,4,3,7,-0.9551754767120819,-1.2506194400641597,0.5833322362172837
absolute,4,3,7,-0.9551754767120819,-1.2506194400641597,0.5833322362172837
fires,50,20,70,-0.3280805795634869,-1.2400296568111036,0.06999981673791489
downfield,68,26,94,-0.28329156392520005,-1.2286026087824364,0.053167276929407016
where,22,3,25,0.7516640518080253,1.2213136427522713,0.3787853244773976
tough,31,5,36,0.5840274804063013,1.2118507286067852,0.2322567307149383
sailing,12,1,13,1.2437769559714145,1.1949887639327785,1.0833215159413294
clean,63,24,87,-0.27939404574449167,-1.1647534487352462,0.05753952639539789
get,30,5,35,0.5511210823363593,1.1409322096649135,0.23333203435346442
progressions,16,2,18,0.8383784979281517,1.1178420969084264,0.5624958740851614
touch,34,6,40,0.4940263083857239,1.115671426594735,0.1960773970613968
rifles,11,1,12,1.1566499863842346,1.1074135951252542,1.0908981682373762
decisions,12,6,18,-0.5499904525070249,-1.0999821463024015,0.2499994357691825
head,25,4,29,0.5917628776216635,1.0988792562682406,0.28999832184879615
complete,7,4,11,-0.6832965046143338,-1.0901652321602413,0.3928563195405674
haul,7,4,11,-0.6832965046143338,-1.0901652321602413,0.3928563195405674
perfect,7,4,11,-0.6832965046143338,-1.0901652321602413,0.3928563195405674
solidify,7,4,11,-0.6832965046143338,-1.0901652321602413,0.3928563195405674
throw,94,21,115,0.2591553301138658,1.0737068424994687,0.05825709832644231
wants,93,33,126,-0.20852907008067145,-1.0291540802279602,0.0410556008708295
