word,count_a,count_b,total_count,log_odds,z_score,variance
tools,19,36,55,-0.9239491151414265,-3.258330703447683,0.08040920830053724
second,2,13,15,-2.154852633926616,-2.8370025121804137,0.5769201519490688
force,16,28,44,-0.843462197632026,-2.6914026517236,0.09821411198903301
target,30,8,38,1.0433374683226564,2.622039870076809,0.15833284874781633
catch,72,32,104,0.533902263489324,2.5129669426089256,0.04513879621595777
elite,11,21,32,-0.9298980358751532,-2.4984273977885443,0.1385278817280031
snap,50,20,70,0.6384316272362156,2.413047401448518,0.06999984532192668
talented,5,13,18,-1.2381636855233982,-2.352875686216235,0.27692244715563685
driving,6,14,20,-1.1299940545314717,-2.31580112528338,0.2380947370324144
security,6,14,20,-1.1299940545314717,-2.31580112528338,0.2380947370324144
holding,3,10,13,-1.486359582201695,-2.25794541932029,0.4333321336689426
bursts,8,16,24,-0.9759311579007184,-2.2538186135521707,0.18749964283066467
physical,24,33,57,-0.6021182645670695,-2.2444364444658182,0.07196958168496428
immediately,20,5,25,1.107066007837239,2.214135600728445,0.24999919041745605
run,13,21,34,-0.7625763669348826,-2.1608547573237344,0.12454191250277558
veteran,47,20,67,0.576152562221024,2.1580648060056644,0.07127644500557251
see,21,29,50,-0.606127929193379,-2.115379485618664,0.08210167454861177
issues,2,8,10,-1.66845956493556,-2.1104563808160477,0.6249979760436402
absolute,2,8,10,-1.66845956493556,-2.1104563808160477,0.6249979760436402
man,15,3,18,1.329893047430284,2.102749702901107,0.399998415124365
makes,13,2,15,1.5921653760973555,2.0961884356629734,0.5769201519490688
lower,3,9,12,-1.3808219311476106,-2.0712355270563627,0.44444331561385375
route,35,14,49,0.6374801876434271,2.015891583430459,0.09999977903132383
mental,12,19,31,-0.7423141075134616,-2.013143148542735,0.13596468281573418
level,26,33,59,-0.5218073357728805,-1.9898858270003765,0.06876446098033616
really,19,26,45,-0.596746328864004,-1.9771850629928016,0.09109297170525388
bullet,31,12,43,0.6700877146741888,1.9709217825242422,0.11559113622548664
things,7,13,20,-0.9014244666250333,-1.9228058567542898,0.2197798186026571
coverage,1,6,7,-2.073702165584778,-1.9198796563591758,1.166661184796097
low,1,6,7,-2.073702165584778,-1.9198796563591758,1.166661184796097
next,31,37,68,-0.46036881557782205,-1.8907472894046071,0.05928499977941751
make,98,54,152,0.3185462636995302,1.8795809328915964,0.028722548373658147
kinds,3,8,11,-1.262861797915174,-1.865372660898568,0.4583322710858269
lapses,11,17,28,-0.7178784559315599,-1.85520997356454,0.14973237017592922
letting,11,2,13,1.4248441940684673,1.8535656878103066,0.5909065326785031
athleticism,23,29,52,-0.5148880551155459,-1.8440572578330232,0.07796089747747195
contact,13,19,32,-0.6621375834572687,-1.839594413285553,0.12955444405140937
first,15,21,36,-0.6192078075596417,-1.8316428713135058,0.11428553017092166
league,38,43,81,-0.4071820094190466,-1.8288261853001901,0.049571527305950144
across,9,1,10,1.9172273128703354,1.8188478437687754,1.1111033974716034
being,6,11,17,-0.8882999399637024,-1.750280012828234,0.2575752907082591
extra,6,11,17,-0.8882999399637024,-1.750280012828234,0.2575752907082591
