word,count_a,count_b,total_count,log_odds,z_score,variance
hit,21,44,65,1.013626172830139,3.8217066180631565,0.07034624869345761
veteran,19,45,64,0.8904857819724601,3.2547699671136963,0.07485371846053039
facing,7,8,15,1.617679259898214,3.1256545299289726,0.2678569288497722
passionate,8,11,19,1.432885495745757,3.0837289854526855,0.21590891118965522
falls,12,25,37,1.0177915919307399,2.898136553188787,0.12333320815749549
weapon,6,7,13,1.5968386377730948,2.8702133194802277,0.3095235614969135
late,10,19,29,1.1096496013532837,2.8402977620324266,0.15263143231606163
fires,23,67,90,0.6835615307572658,2.8285115616339582,0.05840355870255545
situation,15,37,52,0.8491397519744259,2.77411358599702,0.0936935871468523
timing,6,8,14,1.4632608604245068,2.7094337490699187,0.2916664260749744
across,4,3,7,2.038321513477893,2.6687904224865755,0.5833328521499488
bullet,18,51,69,0.7107074359454719,2.5923159295159452,0.0751633038674684
matchup,5,6,11,1.5684465015717803,2.5902051913271054,0.3666663714675257
crucial,17,49,66,0.6933789128424941,2.4633234446723122,0.079231591369705
come,12,30,42,0.8352375497377995,2.445326561067369,0.11666653270527005
onto,5,7,12,1.4142494570937547,2.4152917705745103,0.34285685583729136
throw,6,10,16,1.2400245077231649,2.401298211204024,0.26666642733982404
routine,9,20,29,0.9526813700623222,2.3734777013694743,0.16111094064698656
qb,3,2,5,2.1558833029718594,2.3616528457818617,0.8333326184323389
earlier,3,2,5,2.1558833029718594,2.3616528457818617,0.8333326184323389
precision,3,2,5,2.1558833029718594,2.3616528457818617,0.8333326184323389
reliable,14,39,53,0.727141753673763,2.3338757965988437,0.09706947620594662
like,34,126,160,0.4430481566964408,2.292535215634884,0.03734821384996598
doesn,4,5,9,1.5274033277087433,2.2769193706179407,0.4499996347405598
considered,4,5,9,1.5274033277087433,2.2769193706179407,0.4499996347405598
easy,9,21,30,0.9038447371156959,2.2686335256603174,0.15872998514881015
safety,6,11,17,1.1446679158833017,2.2554189324645675,0.2575755149730199
able,5,8,13,1.2806716858728535,2.2464477339241733,0.3249997136821611
moving,5,8,13,1.2806716858728535,2.2464477339241733,0.3249997136821611
crushing,5,8,13,1.2806716858728535,2.2464477339241733,0.3249997136821611
quarter,10,25,35,0.8349338962178336,2.2314559813040558,0.1399998392463241
back,42,165,207,0.3850298256414444,2.2277998834332458,0.029870080396732737
effort,9,22,31,0.8572782497679476,2.166575355625296,0.1565654796710262
nfc,3,3,6,1.750372042485905,2.1437600308735045,0.6666661387397275
holes,3,3,6,1.750372042485905,2.1437600308735045,0.6666661387397275
raise,3,3,6,1.750372042485905,2.1437600308735045,0.6666661387397275
playoff,3,3,6,1.750372042485905,2.1437600308735045,0.6666661387397275
haunt,5,9,14,1.1628422616023082,2.084794481028913,0.31111082094688125
toughness,4,6,10,1.3450354338789285,2.0837208279814297,0.41666630921616943
handoff,9,106,115,-0.7190302817799337,-2.070968380184064,0.12054450718075059
difference,5,74,79,-0.9470197547820582,-2.049498633713075,0.21351225662136356
comes,11,31,42,0.7151217471380953,2.037665077749753,0.12316700068521189
quickly,6,13,19,0.9775209906940177,1.9806002009750714,0.24358949010420095
tools,8,94,102,-0.7163766773618789,-1.9451419058211237,0.1356376622666886
bit,3,54,57,-1.1423660789127172,-1.9258698340534355,0.3518493364760975
start,7,17,24,0.8634896144698416,1.9227606367171917,0.20168044545540198
true,8,93,101,-0.7056347583170792,-1.9151674548655655,0.13575205869993465
anticipating,3,4,7,1.462643716509322,1.915050945750902,0.5833328521499488
