word,count_a,count_b,total_count,log_odds,z_score,variance
shotgun,4,5,9,2.5161692240751288,3.7508851244937222,0.4499996386748461
veteran,14,80,94,0.9996887262629786,3.4507252356207623,0.08392837782939054
secure,10,61,71,0.9325684377471966,2.73348684907617,0.11639315705681197
looking,2,3,5,2.332640925716821,2.5552811914078064,0.8333326261326874
off,4,17,21,1.291894503267562,2.3247285053670974,0.30882298687068693
formation,5,26,31,1.0904253532468315,2.2329923153983118,0.23846103481696695
where,2,5,7,1.8217323748773095,2.17738788962203,0.699999204889175
bringing,4,19,23,1.1805856017520258,2.1460546753822083,0.3026309909529132
maintains,3,12,15,1.3520823052210025,2.0946386437392923,0.41666597306672215
angle,3,12,15,1.3520823052210025,2.0946386437392923,0.41666597306672215
open,8,57,65,0.7761197944572729,2.0556781556178447,0.14254345401365429
which,4,21,25,1.0804188679736368,1.980442607987002,0.29761841341533807
turn,4,21,25,1.0804188679736368,1.980442607987002,0.29761841341533807
sooner,5,30,35,0.9471578193951489,1.9608053393039129,0.2333327697498338
stepping,2,7,9,1.4851771445376878,1.8523427178260758,0.6428561896357997
sails,2,7,9,1.4851771445376878,1.8523427178260758,0.6428561896357997
shut,2,7,9,1.4851771445376878,1.8523427178260758,0.6428561896357997
positioning,14,129,143,0.5198518803182175,1.8474439297294656,0.07918022028136582
offense,17,168,185,0.4501711752373563,1.7687716546314673,0.06477565706800285
reach,2,8,10,1.3516042440503497,1.7096605855248532,0.6249989596000833
spot,2,8,10,1.3516042440503497,1.7096605855248532,0.6249989596000833
makes,4,145,149,-0.8569695812449032,-1.6907887700335944,0.25689290147505633
defense,1,84,85,-1.696706947952431,-1.6867245409498675,1.0118714654351049
intercept,3,17,20,1.0035676431643044,1.6025708453897658,0.3921559652398926
better,12,116,128,0.47116984375427773,1.553792247824014,0.09195367110348118
hands,4,27,31,0.828854565226596,1.5470699529614806,0.2870362615021559
stop,8,70,78,0.5701328669733794,1.5276488729342521,0.13928523069176726
fires,11,105,116,0.4836004198342696,1.5259822692982548,0.10043252081781932
