word,count_a,count_b,total_count,log_odds,z_score,variance
veteran,103,38,141,0.8938730331316291,4.709524156701084,0.036024471079412715
back,235,300,535,-0.3631858235821621,-4.16914291314262,0.0075886445548546495
effective,5,26,31,-1.7601080520500352,-3.604381506834493,0.2384608863726589
experience,23,2,25,2.3352013091912553,3.167630477703598,0.5434750673915318
center,23,2,25,2.3352013091912553,3.167630477703598,0.5434750673915318
engage,31,8,39,1.247531362106728,3.1459039907782405,0.15725773490702413
work,109,142,251,-0.3784297510240009,-2.97170750057654,0.016216548421483977
blocks,39,63,102,-0.5917355775306827,-2.9042260729069946,0.04151399447301382
see,40,15,55,0.8739323850739273,2.8865058936332533,0.09166652527056851
end,31,52,83,-0.6290036923735451,-2.7720235641217097,0.05148877438106306
balance,43,66,109,-0.5405549930067339,-2.7582464669336058,0.038407286519860105
defender,149,98,247,0.31370471512707265,2.412009320493364,0.01691547234409181
power,31,48,79,-0.5485296693778867,-2.3806101704211695,0.0530913387723819
reliable,20,6,26,1.0961129090551855,2.354830442851442,0.216666267447339
picks,4,13,17,-1.2888042207511292,-2.2540552272004355,0.32692248709126026
opposing,7,17,24,-0.9975939751553398,-2.221375564422392,0.2016803817673659
rep,44,61,105,-0.4381480782997782,-2.2152245181648964,0.03912067353589836
even,36,52,88,-0.47898966330632575,-2.2092148955689512,0.047008496070111414
initially,15,4,19,1.2136286593688261,2.156676919700512,0.31666602163318136
throughout,65,83,148,-0.35626519439072,-2.1509904853815667,0.02743277949651296
gain,105,124,229,-0.27870175705706934,-2.1014917090879237,0.01758830756659075
getting,21,8,29,0.8571030653064984,2.0629515161532685,0.17261878448006585
advantage,14,4,18,1.1445396085043544,2.018780051031937,0.32142795434144356
frame,3,10,13,-1.313895979929974,-1.995953113515377,0.433332534894678
scrimmage,130,89,219,0.2727469495043451,1.9824614924393182,0.01892824215588209
square,9,1,10,2.0888388049897566,1.9816510646787218,1.111105977277748
him,70,86,156,-0.3175046636588812,-1.9723604261604721,0.025913594420751626
look,49,28,77,0.4521910657565371,1.908771430946288,0.05612238290925661
running,245,259,504,-0.1690402187690343,-1.8967405224728133,0.007942628445811069
giving,2,8,10,-1.4960986245586723,-1.892433742500282,0.6249986529521974
left,40,53,93,-0.39239917814684855,-1.8735046455789688,0.043867878261873786
job,37,20,57,0.5074622784709701,1.8284473541488768,0.07702693364704208
engaged,3,9,12,-1.2084282677767844,-1.812643933725007,0.4444436931494109
ensure,9,17,26,-0.7460873691081025,-1.809876726417007,0.16993443211853876
longer,40,52,92,-0.37324312264059056,-1.7747198050527433,0.044230722816868406
impressive,1,6,7,-1.9014441642875912,-1.7603979785064856,1.1666630181959126
productive,1,6,7,-1.9014441642875912,-1.7603979785064856,1.1666630181959126
guard,58,36,94,0.369508415971902,1.7415097110474551,0.045019106135401735
carry,4,10,14,-1.0261181669122958,-1.7344575446398038,0.3499994852688536
positioning,93,63,156,0.2825283524558726,1.7314570534555453,0.026625674965839202
effectively,117,82,199,0.24879605338392263,1.727495958798343,0.020742108117453383
commendable,7,1,8,1.837332895939408,1.7186706632934654,1.1428530030768518
sets,7,1,8,1.837332895939408,1.7186706632934654,1.1428530030768518
get,23,11,34,0.6294920561548087,1.7171622756965534,0.13438717668688746
last,12,4,16,0.9901966025776394,1.715072274738114,0.3333327698620582
driving,35,46,81,-0.38400779082606373,-1.7120273273747144,0.050310506061279715
executed,44,26,70,0.41840051411398793,1.691439440604291,0.061188740339807646
consistently,8,15,23,-0.7385886161422057,-1.6870563148421542,0.19166643257943164
initial,97,67,164,0.26303813470034143,1.6558473451257039,0.025234624118441382
against,34,19,53,0.4740161895960604,1.6549000064672346,0.08204324594955821
physicality,45,56,101,-0.3295168155139585,-1.6459528525880884,0.0400793234529694
size,33,43,76,-0.3752766505568781,-1.621571763469648,0.05355878802041249
improvement,8,2,10,1.2777076443615778,1.6161882776636258,0.6249986529521974
contributing,3,8,11,-1.0905380513808662,-1.6108326989275288,0.4583326263528426
gains,3,8,11,-1.0905380513808662,-1.6108326989275288,0.4583326263528426
consistent,6,12,18,-0.8029972638142269,-1.6059955456782127,0.24999968304724163
pocket,19,9,28,0.638936774079343,1.5789821079696378,0.16374247542247575
complete,1,5,6,-1.7190157951845606,-1.5692416152971098,1.1999968355486599
maintaining,85,96,181,-0.23297937864139318,-1.5643124309583667,0.02218134988477993
tasked,6,1,7,1.6830864936485446,1.5582377419852185,1.1666630181959126
ground,33,19,52,0.44406676932546496,1.5419867015108908,0.08293451198668716
hits,4,9,13,-0.9206504181335369,-1.5320559494956008,0.3611106176822504
stronger,23,12,35,0.5423733840688101,1.5230675195274765,0.12681143739083106
burst,33,42,75,-0.35163841346339275,-1.511637029706116,0.05411249762520062
takes,37,46,83,-0.3282449663832514,-1.4864114158362933,0.04876610682382412
inside,9,3,12,0.9900150796993215,1.485023874701957,0.4444436931494109
saw,9,3,12,0.9900150796993215,1.485023874701957,0.4444436931494109
fundamentals,24,13,37,0.5048793190147203,1.466102314341434,0.1185895999867941
downfield,5,10,15,-0.8028786967328916,-1.465850173013986,0.29999961965669
control,56,37,93,0.30671707367995804,1.4477433966430049,0.04488412039469357
