word,count_a,count_b,total_count,log_odds,z_score,variance
first,18,22,40,-1.4683728655702186,-4.620133820917894,0.10100981856411453
tucks,4,10,14,-2.1789597060810957,-3.6831214517248543,0.3499986090235241
plays,4,9,13,-2.0729771259610077,-3.4496488245814825,0.3611097777002701
legs,3,8,11,-2.2424295487721864,-3.312294862320278,0.4583314228348314
running,5,8,13,-1.7312534324819815,-3.0368240427504105,0.3249990090137113
spots,5,7,12,-1.5971007422953782,-2.7275727306210453,0.34285614944093745
picking,1,5,6,-2.869523019871803,-2.619513478992228,1.199991448608647
mobility,6,7,13,-1.4146035060310753,-2.542660061227694,0.3095229510676137
before,19,13,32,-0.8824073041118341,-2.4515639152939848,0.12955427490439303
may,31,18,49,-0.7192843579115058,-2.427282700639476,0.08781334294074469
being,1,4,5,-2.645760370843706,-2.366446907979334,1.249992719658484
athleticism,1,4,5,-2.645760370843706,-2.366446907979334,1.249992719658484
tucking,1,4,5,-2.645760370843706,-2.366446907979334,1.249992719658484
pocket,139,24,163,0.509052420354676,2.3029446515675027,0.04886051190154368
scrambles,2,4,6,-1.9524402028079022,-2.2544876153357243,0.7499974304603779
through,10,8,18,-1.0372269191114407,-2.1866694148001367,0.22499936789271102
defenders,3,4,7,-1.546800248993784,-2.0252398127903484,0.5833316678896696
unable,55,7,62,0.8096310008323035,2.0175486925664248,0.16103719896331298
pick,2,3,5,-1.6641388921463207,-1.8229755265352947,0.8333308589602977
powerful,2,3,5,-1.6641388921463207,-1.8229755265352947,0.8333308589602977
covered,2,3,5,-1.6641388921463207,-1.8229755265352947,0.8333308589602977
unleashes,6,5,11,-1.0768899663754636,-1.778427725830082,0.3666656449406679
options,6,5,11,-1.0768899663754636,-1.778427725830082,0.3666656449406679
ability,20,11,31,-0.6626370905865215,-1.7652529248170257,0.14090863360171388
connect,45,6,51,0.7619569159403818,1.7531920025286096,0.18888691295999932
pass,236,52,288,0.26513543196944234,1.730735154433973,0.023467904318552963
open,70,29,99,-0.38168238567402835,-1.7283567151306003,0.04876828389654328
middle,29,3,32,1.0147611809564392,1.6732136149019723,0.3678111672541948
slightly,48,7,55,0.6722567789583076,1.6615964979972524,0.1636889052594307
receiver,210,46,256,0.27007876468685676,1.659053697588046,0.026500861444401454
incomplete,79,14,93,0.4785166047384237,1.6501933541682199,0.08408612860802739
passing,9,6,15,-0.8538392051717061,-1.620048391498466,0.2777769529867659
placement,65,11,76,0.5239926244830997,1.6072121527853,0.10629282088687694
falls,47,7,54,0.6510260611653553,1.6069467497638765,0.16413219485154584
want,72,29,101,-0.353155114612413,-1.6057240765448475,0.04837145622886196
steps,42,6,48,0.6924325946836758,1.5865701546077542,0.19047432597083575
professional,19,10,29,-0.6181741247748977,-1.5823018876432198,0.15263107143593987
consistently,5,4,9,-1.0356237444153003,-1.5438188963277923,0.44999873578542204
defensive,3,3,6,-1.258498824130375,-1.541342092797271,0.6666648394367382
threading,3,3,6,-1.258498824130375,-1.541342092797271,0.6666648394367382
spiral,17,1,18,1.5783991434877542,1.5339461759428072,1.0587987769934566
intended,17,1,18,1.5783991434877542,1.5339461759428072,1.0587987769934566
delivers,16,1,17,1.517599359931963,1.472303841499105,1.0624766122925733
target,52,9,61,0.5004531498060603,1.386191421617032,0.1303408173864738
progressions,8,5,13,-0.7888562444125835,-1.3837475001401105,0.3249990090137113
