word,count_a,count_b,total_count,log_odds,z_score,variance
free,5,4,9,2.310861023139192,3.4448316754362844,0.4499990979777757
lanes,5,1,6,3.6974810704482577,3.3753315614219432,1.1999938985386547
modest,5,8,13,1.617275147044178,2.8368913602664345,0.32499929292719737
snap,3,2,5,2.4916291410319777,2.7294458622239617,0.8333315678580282
outside,5,9,14,1.4993823223559462,2.688160067790265,0.3111103945395749
lowers,6,13,19,1.3144269165787454,2.6632228161891223,0.24358911759774357
shoulder,6,13,19,1.3144269165787454,2.6632228161891223,0.24358911759774357
grind,4,7,11,1.526886316871047,2.436070592840842,0.39285625111215183
gained,3,4,7,1.7982633738461562,2.3544818353197385,0.5833321450325075
while,16,70,86,0.6143373883625225,2.2170102974760977,0.0767853686450242
able,8,27,35,0.8714578999034108,2.1649109850994077,0.16203645535758693
fights,3,5,8,1.575010291065202,2.156674051771813,0.5333321512798763
bigger,6,20,26,0.8828742528533082,1.8967215223429188,0.21666589692081797
used,2,3,5,1.6797052341306138,1.8400268424998705,0.8333315678580282
size,2,3,5,1.6797052341306138,1.8400268424998705,0.8333315678580282
run,12,164,176,-0.538754475423469,-1.8015653540479444,0.08942969283401248
open,7,27,34,0.7370377378677402,1.7377289756749266,0.17989345581729518
running,37,221,258,0.3051243739481513,1.7177713340227831,0.03155172446524899
allowed,5,17,22,0.8625145194960586,1.6953732305421612,0.25882259451327533
shown,3,8,11,1.1046777747879704,1.6317196386906119,0.45833197018420935
drives,2,4,6,1.3919138215745983,1.6072456036094034,0.7499981666226168
decent,2,4,6,1.3919138215745983,1.6072456036094034,0.7499981666226168
feet,2,4,6,1.3919138215745983,1.6072456036094034,0.7499981666226168
opportunity,2,4,6,1.3919138215745983,1.6072456036094034,0.7499981666226168
defense,18,97,115,0.4047032792955072,1.576925247690787,0.06586447489719213
offense,7,103,110,-0.6102599536695728,-1.5623894587427876,0.15256367554667286
hole,22,247,269,-0.3425112344426289,-1.539433385475762,0.04950258069684479
vision,11,141,152,-0.472980632321355,-1.510880794371963,0.09800005371588161
break,10,48,58,0.5187012127620507,1.492192829475837,0.12083274159549032
legs,1,36,37,-1.502834933604979,-1.4824133576195881,1.0277415724284191
fought,4,14,18,0.8329705897242441,1.4692247391896394,0.32142738160587747
productive,2,45,47,-1.0329539363128664,-1.429414118817155,0.5222107105962684
keeping,1,34,35,-1.44545772810487,-1.42468239271755,1.029377513137468
bounce,2,5,7,1.1686608528693512,1.396818866385328,0.6999980150644103
chains,3,52,55,-0.7719635551369812,-1.3001140286816653,0.3525581073144903
pressed,3,52,55,-0.7719635551369812,-1.3001140286816653,0.3525581073144903
picking,3,52,55,-0.7719635551369812,-1.3001140286816653,0.3525581073144903
job,3,51,54,-0.7524352205370084,-1.2665477672517513,0.352935289450325
decisively,4,16,20,0.6992194583632649,1.2508043910261033,0.3124987013603273
shows,1,28,29,-1.2506456323100972,-1.22891045813024,1.0356858940378912
through,27,276,303,-0.24749863145621775,-1.2274112567048676,0.04065981514565436
may,7,34,41,0.5057428720191366,1.218505224695454,0.17226805472545015
unable,2,6,8,0.9862298339882907,1.2078818996375802,0.6666644937771486
which,2,6,8,0.9862298339882907,1.2078818996375802,0.6666644937771486
quarterback,6,79,85,-0.4973540433832788,-1.1744868882097887,0.1793225725259121
bursts,9,107,116,-0.39571373958600287,-1.140165303500999,0.12045549530260219
him,7,36,43,0.4483639999464284,1.0854202277943927,0.17063403012477787
tough,4,18,22,0.5812166276827995,1.0514628689278394,0.30555414468847936
cut,4,18,22,0.5812166276827995,1.0514628689278394,0.30555414468847936
gaining,4,55,59,-0.5398201434508376,-1.042407088046681,0.26817819351091843
solid,17,177,194,-0.26371669892173255,-1.0386042389897479,0.06447258449787927
overall,8,93,101,-0.372601354294428,-1.0112829763905524,0.13575113367594754
after,2,33,35,-0.7214798125296458,-0.9907535692806382,0.5302944432395507
done,3,43,46,-0.5809281553225665,-0.9728400088243735,0.35658412537153084
small,3,13,16,0.6186213460612002,0.9658244221104831,0.41025457937448095
few,3,13,16,0.6186213460612002,0.9658244221104831,0.41025457937448095
even,2,32,34,-0.6905983006595324,-0.9475004923346595,0.5312416563392977
