word,count_a,count_b,total_count,log_odds,z_score,variance
through,19,40,59,-1.055077380166149,-3.7867421729930455,0.07763135235317452
fight,5,21,26,-1.7433752275898966,-3.5034823694123585,0.2476178044621292
handoff,15,32,47,-1.0669599863541697,-3.4097336965842366,0.09791637844663303
extra,14,28,42,-1.0015447198383436,-3.059773986955032,0.10714255413796489
determination,10,20,30,-1.0001882828307371,-2.582478693336572,0.14999957579315087
forward,26,36,62,-0.6336015367941279,-2.461834304638799,0.06623915837150866
see,9,18,27,-0.9998497944989415,-2.4491252790705333,0.1666661953257232
catch,157,84,241,0.3304837087950685,2.4447338974733275,0.01827413895898562
initial,14,23,37,-0.8034939336765712,-2.370337727961696,0.11490653963059391
picking,14,23,37,-0.8034939336765712,-2.370337727961696,0.11490653963059391
replay,7,15,22,-1.0684336478702106,-2.3341647534603536,0.20952319102198697
pass,97,48,145,0.4062265628870594,2.3019263319559142,0.031142523058776878
quarterback,109,56,165,0.36896008587194773,2.2441158926187534,0.027031379554883363
hole,5,12,17,-1.1813536556347177,-2.2193806023304137,0.28333243055872814
though,6,13,19,-1.0791455625227186,-2.1865085287491794,0.24358901937963406
productive,3,9,12,-1.4040885916524593,-2.106136858311926,0.44444276856749326
keeping,3,9,12,-1.4040885916524593,-2.106136858311926,0.44444276856749326
solid,54,58,112,-0.38002445854827727,-2.009619826798653,0.035759816717648094
looks,63,30,93,0.4427071896275807,1.9957522872405693,0.049206205807563345
pushing,1,6,7,-2.0968248346253358,-1.941289348646206,1.1666585282178448
met,16,4,20,1.0847058341403724,1.9403854489512744,0.31249849760427667
contact,14,20,34,-0.66292858801474,-1.9024218611391237,0.12142827904311018
displayed,16,22,38,-0.6248488289146357,-1.901756941150846,0.10795428872451776
snap,81,42,123,0.35791202974565195,1.8823115005068525,0.036155102737287864
pick,29,34,63,-0.46611338140057157,-1.8439971746403356,0.06389437693653578
incomplete,11,2,13,1.4027052762163912,1.8247673032598801,0.59090529292948
modest,9,1,10,1.895050200363122,1.7978117387132153,1.1110996593650546
route,75,39,114,0.354668749612598,1.7965281784939582,0.038974251262736445
reliable,35,15,50,0.5465283489690229,1.77095702351537,0.09523779768419834
moving,19,24,43,-0.5399543066915387,-1.7583515466032804,0.09429802642184625
may,9,14,23,-0.7474659420600132,-1.7494974088405009,0.18253922858434646
accelerating,1,5,6,-1.9142376740063627,-1.7474570636858555,1.199992941222907
burst,1,5,6,-1.9142376740063627,-1.7474570636858555,1.199992941222907
right,50,24,74,0.43376416827356046,1.746743220938123,0.061666487852498605
physicality,11,16,27,-0.6804676950096491,-1.7373306839628544,0.1534087191801034
overall,31,35,66,-0.42828291393975526,-1.736497430741512,0.060829354449853275
feet,2,6,8,-1.4034845605386286,-1.7189137583739609,0.6666641528512398
unable,20,7,27,0.748223949338505,1.7037839730419264,0.19285644317625955
immediately,10,2,12,1.3071986581285344,1.6875911745169336,0.5999964706114534
creating,12,3,15,1.0841838229190373,1.679614393674793,0.41666466347236886
towards,14,4,18,0.950780648925801,1.6770230231840468,0.3214271949230575
passing,14,4,18,0.950780648925801,1.6770230231840468,0.3214271949230575
back,8,1,9,1.777071364776555,1.675446649851184,1.1249896600303246
slightly,3,7,10,-1.1522411236737273,-1.669758630989636,0.4761889884209917
yardage,47,48,95,-0.32830717726389924,-1.599884436056925,0.042109833785781994
moves,6,10,16,-0.8159804189442141,-1.5801413125191763,0.2666659829078271
strength,16,20,36,-0.5290031119180991,-1.577184386822699,0.11249973911260314
fires,19,7,26,0.6967334629443647,1.5758198731950526,0.19548804009403095
