word,count_a,count_b,total_count,log_odds,z_score,variance
executed,7,9,16,1.467808861638943,2.912594764547444,0.2539679314296025
unable,12,24,36,1.0269152119099267,2.9045570747273595,0.12499980766895574
defender,41,148,189,0.43921317566956564,2.4886725821588556,0.031146926150757342
falls,7,13,20,1.0997939472127571,2.3459423946566957,0.21977989573687243
area,3,2,5,2.1234758938912224,2.326152845763165,0.8333322220869877
over,8,17,25,0.9651762734653246,2.251160366340259,0.18382323575755452
adjusting,4,5,9,1.4950549429993174,2.2286977277280067,0.4499994322385388
showing,4,5,9,1.4950549429993174,2.2286977277280067,0.4499994322385388
drive,7,14,21,1.025613415132864,2.215579904594718,0.2142853845753527
handoff,6,82,88,-0.9015511007070023,-2.1317359020467066,0.17886027611799787
types,3,3,6,1.7179386851918403,2.1040378890046463,0.6666658460538576
replay,13,37,50,0.6735548060452334,2.0891080506036195,0.10394989938322376
middle,16,49,65,0.6006377578766227,2.0860006322102813,0.08290799033470152
reverse,3,55,58,-1.1945541466042604,-2.0148200915782932,0.35151117346166505
well,10,27,37,0.725780910183393,1.9605908496426745,0.13703677807988984
reception,22,77,99,0.4675084946375696,1.9338782013155942,0.05844142227559158
through,1,38,39,-1.9229779613520828,-1.8981865148005592,1.0262917704730685
arms,5,10,15,1.0250936995880595,1.8715579159046556,0.29999953840549376
left,5,66,71,-0.8660456647330399,-1.8671119641941145,0.21514975722775448
crisper,12,36,48,0.620577716612603,1.8617350595412974,0.11111088316335178
catch,90,408,498,0.2124762293080158,1.8245158931580694,0.013562051822748718
ability,8,87,95,-0.6726141730606239,-1.820582220615658,0.1364933315815035
hole,1,35,36,-1.8405233312660174,-1.814800040439087,1.0285492544022277
immediately,5,11,16,0.9297110151704748,1.7237317641224013,0.2909086156321177
effort,5,11,16,0.9297110151704748,1.7237317641224013,0.2909086156321177
going,5,11,16,0.9297110151704748,1.7237317641224013,0.2909086156321177
secure,12,38,50,0.5663650170358476,1.7103866763641713,0.10964888779511298
secures,15,51,66,0.49554164955230107,1.6870944847452014,0.08627431365216469
keep,4,8,12,1.0248340562715494,1.6735482934296846,0.3749994230068672
alive,4,8,12,1.0248340562715494,1.6735482934296846,0.3749994230068672
picks,1,30,31,-1.6860118715924655,-1.658610546171129,1.0333142332268732
while,21,78,99,0.4076044593454382,1.6579781793270814,0.06043941226050996
complete,3,5,8,1.2069684751474758,1.6527108028901507,0.5333325893112291
keeps,3,5,8,1.2069684751474758,1.6527108028901507,0.5333325893112291
turn,1,29,30,-1.6520381799546389,-1.6242853672427453,1.034464273196088
upfield,8,81,89,-0.6007174002877216,-1.6209293192070313,0.13734481479491914
brought,9,88,97,-0.5659279834949942,-1.6171086982701766,0.12247400273770992
pressed,1,28,29,-1.6168747255252365,-1.588766726655785,1.0356964149165386
separation,31,126,157,0.31807051798953534,1.5865007637170234,0.04019446581790527
athleticism,1,27,28,-1.5804349520850867,-1.5519692264363254,1.0370197808047363
slightly,6,16,22,0.7373812039727783,1.540340540176342,0.22916623766176802
able,20,76,96,0.38452827536196565,1.5300830374930425,0.06315773679754084
pass,64,291,355,0.20736203115381802,1.5019386047656293,0.019061370194985626
professional,11,37,48,0.5056887282890807,1.4725171058871072,0.1179358522078987
sideline,17,137,154,-0.37292041000659193,-1.450245847051887,0.06612246647514722
offensive,3,6,9,1.0245745557566934,1.4489683471403147,0.49999923067582297
may,4,47,51,-0.7487028253739796,-1.4374901924331691,0.27127461977081213
passes,2,3,5,1.3120694788099065,1.4373010594341142,0.8333322220869877
met,7,21,28,0.6196401764902459,1.4197754625577805,0.19047579970860307
him,3,39,42,-0.8496203216066567,-1.4180610384727015,0.35897146985579
first,18,141,159,-0.3444273815132668,-1.3760872807036595,0.06264744718508919
showed,9,81,90,-0.48252946880186,-1.3733067940184782,0.12345609784029304
edge,2,30,32,-0.9924694958044302,-1.359001127137823,0.5333283878158825
veteran,12,43,55,0.442387268143829,1.3550229215377285,0.10658889390846613
focus,4,10,14,0.8015455787063424,1.3548605215044207,0.3499993753089645
opportunity,4,10,14,0.8015455787063424,1.3548605215044207,0.3499993753089645
extends,8,26,34,0.5396394479744471,1.3347390718974692,0.16346118054399297
before,8,73,81,-0.4961442414219741,-1.3322112699504056,0.1386978418449179
despite,6,18,24,0.6194530190945251,1.3140596392016237,0.22222176632670357
showcases,1,21,22,-1.3286878609205939,-1.2981476368913019,1.0476054769711463
time,3,7,10,0.8703514904725695,1.2612602069751135,0.47618966674298424
last,3,7,10,0.8703514904725695,1.2612602069751135,0.47618966674298424
situation,5,15,20,0.6192659783125078,1.1992046405412726,0.2666661195920443
situations,2,4,6,1.0243151979169847,1.1827782204450228,0.7499988460137345
moving,4,41,45,-0.6116912234820617,-1.167748449563729,0.27438849645642205
cut,2,26,28,-0.8490788966679386,-1.157104148671083,0.538457204783685
snap,43,198,241,0.1929332910681829,1.1467430550877218,0.02830623500128391
hands,25,109,134,0.24668520243605752,1.1124347999901747,0.04917417303086689
keeping,3,8,11,0.7367476961245849,1.0882494873123902,0.45833247532353605
improve,3,8,11,0.7367476961245849,1.0882494873123902,0.45833247532353605
slot,3,8,11,0.7367476961245849,1.0882494873123902,0.45833247532353605
