player_name,player_position,race,example_year,example_team,league_level,player_id
matt moore,QB,white,2016,miami_dolphins,NFL,0
peyton manning,QB,white,2006,indianapolis_colts,NFL,1
drew bledsoe,QB,white,2001,cincinnati_bengals,NFL,2
brooks bollinger,QB,white,2008,seattle_seahawks,NFL,3
andrew walter,QB,white,2006,kansas_city_chiefs,NFL,4
alex van pelt,QB,white,2001,buffalo_bills,NFL,5
rodney peete,QB,nonwhite,1991,detroit_lions,NFL,6
brett hundley,QB,nonwhite,2016,seattle_seahawks,NFL,7
joe flacco,QB,white,2016,baltimore_ravens,NFL,8
jameis winston,QB,nonwhite,2018,tampa_bay_buccaneers,NFL,9
jim kelly,QB,white,1991,buffalo_bills,NFL,10
cody carlson,QB,white,1992,buffalo_bills,NFL,11
bubby brister,QB,white,1990,cincinnati_bengals,NFL,12
matt hasselbeck,QB,white,2005,seattle_seahawks,NFL,13
jake locker,QB,white,2014,cleveland_browns,NFL,14
tj yates,QB,white,2011,cincinnati_bengals,NFL,15
charlie whitehurst,QB,white,2014,cleveland_browns,NFL,16
davis webb,QB,white,2018,new_york_jets,NFL,17
vince young,QB,nonwhite,2010,tennessee_titans,NFL,18
taysom hill,QB,white,2018,arizona_cardinals,NFL,19
billy joe tolliver,QB,nonwhite,1992,atlanta_falcons,NFL,20
gale gilbert,QB,white,1993,los_angeles_raiders,NFL,21
tarvaris jackson,QB,nonwhite,2014,seattle_seahawks,NFL,22
trent dilfer,QB,white,2006,kansas_city_chiefs,NFL,23
sam bradford,QB,nonwhite,2016,minnesota_vikings,NFL,24
brad johnson,QB,white,2002,tampa_bay_buccaneers,NFL,25
matt cavanaugh,QB,white,1991,buffalo_bills,NFL,26
randall cunningham,QB,nonwhite,1998,atlanta_falcons,NFL,27
warren moon,QB,nonwhite,1992,buffalo_bills,NFL,28
pat white,QB,nonwhite,2009,new_york_jets,NFL,29
trevone boykin,QB,nonwhite,2016,seattle_seahawks,NFL,30
patrick mahomes,QB,nonwhite,2018,kansas_city_chiefs,NFL,31
andy dalton,QB,white,2015,cincinnati_bengals,NFL,32
mitchell trubisky,QB,white,2018,tampa_bay_buccaneers,NFL,33
danny wuerffel,QB,white,1998,new_orleans_saints,NFL,34
ej manuel,QB,nonwhite,2015,cincinnati_bengals,NFL,35
ryan mallett,QB,white,2015,houston_texans,NFL,36
brian griese,QB,white,2006,seattle_seahawks,NFL,37
jon kitna,QB,white,2003,cincinnati_bengals,NFL,38
boomer esiason,QB,white,1994,new_york_jets,NFL,39
trent edwards,QB,white,2008,buffalo_bills,NFL,40
kurt warner,QB,white,2009,arizona_cardinals,NFL,41
stan humphries,QB,white,1994,pittsburgh_steelers,NFL,42
daunte culpepper,QB,nonwhite,2002,minnesota_vikings,NFL,43
jeff driskel,QB,white,2018,cincinnati_bengals,NFL,44
drew henson,QB,white,2004,seattle_seahawks,NFL,45
kyle boller,QB,white,2003,baltimore_ravens,NFL,46
mike tomczak,QB,white,1994,cleveland_browns,NFL,47
blaine gabbert,QB,white,2018,tennessee_titans,NFL,48
landry jones,QB,white,2016,pittsburgh_steelers,NFL,49
mike glennon,QB,white,2018,arizona_cardinals,NFL,50
quincy carter,QB,nonwhite,2002,houston_texans,NFL,51
derek anderson,QB,white,2016,carolina_panthers,NFL,52
neil odonnell,QB,white,1994,detroit_lions,NFL,53
carson palmer,QB,white,2016,cincinnati_bengals,NFL,54
kellen clemens,QB,white,2013,tennessee_titans,NFL,55
cooper rush,QB,white,2018,dallas_cowboys,NFL,56
taylor heinicke,QB,white,2018,carolina_panthers,NFL,57
ricky stanzi,QB,white,2011,kansas_city_chiefs,NFL,58
steve young,QB,white,1998,buffalo_bills,NFL,59
sam darnold,QB,white,2018,new_york_jets,NFL,60
kevin oconnell,QB,white,2008,buffalo_bills,NFL,61
danny etling,QB,white,2018,new_york_giants,NFL,62
mark brunell,QB,white,1996,jacksonville_jaguars,NFL,63
jake delhomme,QB,white,2005,carolina_panthers,NFL,64
matt simms,QB,white,2013,baltimore_ravens,NFL,65
max hall,QB,white,2010,denver_broncos,NFL,66
tim rattay,QB,white,2006,new_orleans_saints,NFL,67
jeff hostetler,QB,white,1991,los_angeles_raiders,NFL,68
josh rosen,QB,white,2018,arizona_cardinals,NFL,69
jim everett,QB,white,1990,los_angeles_rams,NFL,70
jimmy clausen,QB,white,2010,carolina_panthers,NFL,71
johnny manziel,QB,white,2014,cleveland_browns,NFL,72
kent graham,QB,white,1993,dallas_cowboys,NFL,73
dave krieg,QB,white,1993,kansas_city_chiefs,NFL,74
john skelton,QB,white,2010,denver_broncos,NFL,75
donovan mcnabb,QB,nonwhite,2008,arizona_cardinals,NFL,76
tyler bray,QB,white,2018,buffalo_bills,NFL,77
john elway,QB,white,1996,jacksonville_jaguars,NFL,78
matt mcgloin,QB,white,2016,denver_broncos,NFL,79
trevor siemian,QB,white,2016,denver_broncos,NFL,80
teddy bridgewater,QB,nonwhite,2014,minnesota_vikings,NFL,81
brodie croyle,QB,white,2008,kansas_city_chiefs,NFL,82
tyrod taylor,QB,nonwhite,2016,buffalo_bills,NFL,83
jason garrett,QB,white,1993,dallas_cowboys,NFL,84
wade wilson,QB,white,1992,atlanta_falcons,NFL,85
alex tanney,QB,white,2018,new_york_giants,NFL,86
cody kessler,QB,white,2018,jacksonville_jaguars,NFL,87
nathan peterman,QB,white,2018,cincinnati_bengals,NFL,88
mark sanchez,QB,white,2014,new_york_jets,NFL,89
jim harbaugh,QB,white,1998,baltimore_ravens,NFL,90
dan marino,QB,white,1994,new_york_jets,NFL,91
kevin hogan,QB,white,2016,cleveland_browns,NFL,92
drew stanton,QB,white,2010,detroit_lions,NFL,93
steve deberg,QB,white,1998,atlanta_falcons,NFL,94
marc bulger,QB,white,2003,carolina_panthers,NFL,95
bruce gradkowski,QB,white,2006,new_orleans_saints,NFL,96
baker mayfield,QB,white,2018,cleveland_browns,NFL,97
caleb hanie,QB,white,2010,new_york_giants,NFL,98
brock osweiler,QB,white,2016,houston_texans,NFL,99
malcolm brown,RB,nonwhite,2018,los_angeles_rams,NFL,100
chase edmonds,RB,nonwhite,2018,arizona_cardinals,NFL,101
ottis anderson,RB,nonwhite,1991,buffalo_bills,NFL,102
royce freeman,RB,nonwhite,2018,denver_broncos,NFL,103
corey clement,RB,nonwhite,2018,pittsburgh_steelers,NFL,104
ron rivers,RB,nonwhite,1995,detroit_lions,NFL,105
bam morris,RB,nonwhite,1994,cleveland_browns,NFL,106
corey dillon,RB,nonwhite,2001,cincinnati_bengals,NFL,107
mike boone,RB,nonwhite,2018,jacksonville_jaguars,NFL,108
harvey williams,RB,nonwhite,1994,los_angeles_raiders,NFL,109
derrick coleman,RB,nonwhite,2018,arizona_cardinals,NFL,110
nate turner,RB,nonwhite,1993,los_angeles_raiders,NFL,111
leroy hoard,RB,nonwhite,1998,dallas_cowboys,NFL,112
randy jordan,RB,nonwhite,1996,jacksonville_jaguars,NFL,113
glyn milburn,RB,nonwhite,1994,kansas_city_chiefs,NFL,114
herschel walker,RB,nonwhite,1996,buffalo_bills,NFL,115
lendale white,RB,nonwhite,2008,tennessee_titans,NFL,116
john stephens,RB,nonwhite,1993,kansas_city_chiefs,NFL,117
james conner,RB,nonwhite,2018,cincinnati_bengals,NFL,118
willis mcgahee,RB,nonwhite,2008,baltimore_ravens,NFL,119
james davis,RB,nonwhite,2010,washington_redskins,NFL,120
marshawn lynch,RB,nonwhite,2014,seattle_seahawks,NFL,121
michael bush,RB,nonwhite,2008,oakland_raiders,NFL,122
brian mitchell,RB,nonwhite,2002,tampa_bay_buccaneers,NFL,123
tommie agee,RB,nonwhite,1991,dallas_cowboys,NFL,124
luke lawton,RB,white,2008,oakland_raiders,NFL,125
jason snelling,RB,nonwhite,2012,atlanta_falcons,NFL,126
terron ward,RB,nonwhite,2016,atlanta_falcons,NFL,127
bobby rainey,RB,nonwhite,2016,new_york_giants,NFL,128
daryl johnston,RB,white,1996,dallas_cowboys,NFL,129
peyton barber,RB,nonwhite,2018,baltimore_ravens,NFL,130
amp lee,RB,nonwhite,1992,buffalo_bills,NFL,131
trenton cannon,RB,nonwhite,2018,atlanta_falcons,NFL,132
jason wright,RB,nonwhite,2009,arizona_cardinals,NFL,133
frank gore,RB,nonwhite,2018,kansas_city_chiefs,NFL,134
carwell gardner,RB,nonwhite,1992,buffalo_bills,NFL,135
blair thomas,RB,nonwhite,1993,los_angeles_raiders,NFL,136
warrick dunn,RB,nonwhite,2000,atlanta_falcons,NFL,137
dorsey levens,RB,nonwhite,1998,san_francisco_49ers,NFL,138
dj foster,RB,nonwhite,2016,arizona_cardinals,NFL,139
keith ford,RB,nonwhite,2018,buffalo_bills,NFL,140
brandon jacobs,RB,nonwhite,2010,new_york_giants,NFL,141
sammy morris,RB,nonwhite,2008,kansas_city_chiefs,NFL,142
eric ball,RB,nonwhite,1990,cincinnati_bengals,NFL,143
jerome felton,RB,nonwhite,2016,buffalo_bills,NFL,144
marlon mack,RB,nonwhite,2018,houston_texans,NFL,145
clinton portis,RB,nonwhite,2005,tampa_bay_buccaneers,NFL,146
ahman green,RB,nonwhite,2009,philadelphia_eagles,NFL,147
chris carson,RB,nonwhite,2018,seattle_seahawks,NFL,148
marc logan,RB,nonwhite,1992,buffalo_bills,NFL,149
rashard mendenhall,RB,nonwhite,2010,oakland_raiders,NFL,150
ricky williams,RB,nonwhite,2010,kansas_city_chiefs,NFL,151
leron mcclain,RB,nonwhite,2008,baltimore_ravens,NFL,152
delance turner,RB,nonwhite,2018,baltimore_ravens,NFL,153
tim hightower,RB,nonwhite,2016,arizona_cardinals,NFL,154
lynell hamilton,RB,nonwhite,2009,new_orleans_saints,NFL,155
adrian peterson,RB,nonwhite,2009,new_orleans_saints,NFL,156
garrison hearst,RB,nonwhite,1998,san_francisco_49ers,NFL,157
deangelo williams,RB,nonwhite,2016,carolina_panthers,NFL,158
mike rozier,RB,nonwhite,1990,atlanta_falcons,NFL,159
dalvin cook,RB,nonwhite,2018,minnesota_vikings,NFL,160
chris hetherington,RB,white,2001,carolina_panthers,NFL,161
leroy thompson,RB,nonwhite,1994,minnesota_vikings,NFL,162
dee brown,RB,nonwhite,2006,kansas_city_chiefs,NFL,163
darren sproles,RB,nonwhite,2016,philadelphia_eagles,NFL,164
derrick ward,RB,nonwhite,2011,houston_texans,NFL,165
ty montgomery,RB,nonwhite,2016,seattle_seahawks,NFL,166
larry johnson,RB,nonwhite,2006,kansas_city_chiefs,NFL,167
marcus murphy,RB,nonwhite,2018,carolina_panthers,NFL,168
dontrell hilliard,RB,nonwhite,2018,cleveland_browns,NFL,169
william floyd,RB,nonwhite,1997,denver_broncos,NFL,170
lamont jordan,RB,nonwhite,2008,oakland_raiders,NFL,171
terrelle smith,RB,nonwhite,2008,arizona_cardinals,NFL,172
todd mcnair,RB,nonwhite,1993,kansas_city_chiefs,NFL,173
kenneth davis,RB,nonwhite,1992,buffalo_bills,NFL,174
david johnson,RB,nonwhite,2016,arizona_cardinals,NFL,175
ladell betts,RB,nonwhite,2005,tampa_bay_buccaneers,NFL,176
johnny johnson,RB,white,1993,los_angeles_raiders,NFL,177
