player_name,classification,white_score,dominant_race,headshot_url
a.j. bouye,nonwhite,0.0,black,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/cpgi2hbhnmvs1oczkzas"
a.j. finley,nonwhite,0.0,black,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/dxniws21ga22omrapelt"
a.j. green,nonwhite,0.0,black,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/lacmlfcdn7rcfdxkfkfp"
a.j. moore,nonwhite,10.29,black,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/dhu7ggjzqn7mdwhjdoxf"
a.j. parker,nonwhite,0.0,black,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/tsgua6lcqdb7nobidicc"
a.j. terrell,nonwhite,27.32,asian,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/etcev3yjoqtp5tay2ndo"
a.j. thomas,nonwhite,5.5,black,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/amdmh6tsjn6pdac7jb4w"
a.j. woods,nonwhite,4.41,latino hispanic,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/yohte1maut9dlvju1nda"
aaron robinson,nonwhite,0.0,black,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/dblt920y18bisodimwdl"
adoree' jackson,nonwhite,0.0,black,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/jtskiyzkosuajjatls72"
ahmad gardner,nonwhite,0.0,black,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/lovuozy5bhvwjjdwkkqe"
aj finley,nonwhite,0.0,black,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/zc71zmnbxjzpnaunxawc"
akayleb evans,white,74.3,white,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/anmntl6frvbrhct3tzn1"
akeem dent,nonwhite,0.0,black,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/frfeespkpjset1efb38c"
alex austin,nonwhite,0.0,black,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/vtgwc8celooprxtaqlb6"
alex cook,nonwhite,0.01,black,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/mzyd22cge9f6neap0f7s"
alex johnson,nonwhite,0.0,black,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/nzagvnoa9yroqgwpm8wq"
alexander myres,white,83.88,white,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ayxtc9ahjmx8z881d993"
alijah clark,nonwhite,0.0,black,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/hgngltkqac56xxyijzev"
alijah holder,nonwhite,12.68,latino hispanic,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ijcbugrhahuggqqmlqm4"
alijah huzzie,nonwhite,4.54,asian,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/wnunmzibn9qdxwp158rq"
allan george,nonwhite,0.0,black,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/y0wimmcsxc3dravxvodu"
alohi gilman,nonwhite,43.53,white,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/t5twpgxuuzuhasid5jzg"
alontae taylor,nonwhite,12.27,latino hispanic,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/n5x6q4v3rj8lrkiiva0h"
amani hooker,nonwhite,7.75,latino hispanic,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/u9zrvmlfnvzmgttdcsn6"
amani oruwariye,nonwhite,0.0,black,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/rfqlsxmwdqnfcxng5oli"
amari henderson,nonwhite,0.04,black,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/iwczseyudm4oshfepxjs"
ambry thomas,nonwhite,0.0,black,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/amjpcxjbfudtvtargzfa"
ameer speed,nonwhite,0.0,black,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/o9d89l2prvb5k7uawpzi"
