player_name,classification,white_score,dominant_race,headshot_url,manual_verification
swayze bozeman,nonwhite,43.96,white,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/x5fvun7baplarpt8deoq",
j.r. sweezy,white,99.2,white,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ofg23bow8ypxcikp1qws",
clay johnston,white,91.39,white,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/l1wwpqwhrzbfn5zhvwdp",
dante stills,nonwhite,0.0,black,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/aqvvpt76ifof0r42hsgg",
hendon hooker,nonwhite,0.0,black,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/bdky2q0tndjhtrgo2fgt",
brandon pili,nonwhite,3.76,asian,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/hwulhwha4dlvlwapdl4r",
chris myarick,nonwhite,25.81,middle eastern,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/zyedrh1lvylrutfof4ld",
jalen redmond,nonwhite,0.0,black,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/twjqbuybqow2v6zvpluq",
anthony gould,nonwhite,9.16,latino hispanic,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/kplzuye1iocg1vyec3ru",
hunter henry,white,71.25,white,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/l0fsrutz9fwbohx10lcf",
christopher allen,nonwhite,0.0,black,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/pbiublkvckh8avdt0wqc",
temarrick hemingway,nonwhite,0.0,black,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ikzbygp007w9gn1rofoo",
andrew ogletree,nonwhite,2.47,black,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/gw6pbughf5gdn2sm189f",
eric wilson,nonwhite,0.35,black,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ita0jmgsuikjagrpuqqb",
jason bean,nonwhite,23.12,latino hispanic,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/lk80awkqs8v2pxrluwqy",
warren peeples,nonwhite,0.0,black,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/lmqtzuhcg70bi7bsmyau",
