player_name,player_position,race,example_year,example_team,league_level,player_id
derek carr,QB,white,2016,oakland_raiders,NFL,0
tim couch,QB,white,2001,cleveland_browns,NFL,1
chad pennington,QB,white,2010,new_york_jets,NFL,2
lynn dickey,QB,white,1981,new_orleans_saints,NFL,3
joe webb,QB,nonwhite,2018,houston_texans,NFL,4
jeff garcia,QB,white,2008,new_orleans_saints,NFL,5
rob johnson,QB,white,1999,buffalo_bills,NFL,6
jared goff,QB,white,2018,los_angeles_rams,NFL,7
andrew walter,QB,white,2006,kansas_city_chiefs,NFL,8
doug flutie,QB,white,2001,san_diego_chargers,NFL,9
johnny manziel,QB,white,2014,cleveland_browns,NFL,10
trent edwards,QB,white,2008,buffalo_bills,NFL,11
bruce gradkowski,QB,white,2006,new_orleans_saints,NFL,12
ty detmer,QB,white,1998,indianapolis_colts,NFL,13
ray lucas,QB,nonwhite,1997,detroit_lions,NFL,14
david garrard,QB,nonwhite,2007,jacksonville_jaguars,NFL,15
charlie batch,QB,nonwhite,2007,baltimore_ravens,NFL,16
alex tanney,QB,white,2018,new_york_giants,NFL,17
russell wilson,QB,nonwhite,2016,seattle_seahawks,NFL,18
shaun hill,QB,white,2010,detroit_lions,NFL,19
jeff driskel,QB,white,2018,cincinnati_bengals,NFL,20
sam bradford,QB,nonwhite,2016,minnesota_vikings,NFL,21
troy aikman,QB,white,1996,dallas_cowboys,NFL,22
gale gilbert,QB,white,1993,los_angeles_raiders,NFL,23
david carr,QB,white,2002,houston_texans,NFL,24
tony pike,QB,white,2010,carolina_panthers,NFL,25
trent dilfer,QB,white,2006,kansas_city_chiefs,NFL,26
jack thompson,QB,nonwhite,1981,cincinnati_bengals,NFL,27
colt mccoy,QB,white,2018,washington_redskins,NFL,28
mitchell trubisky,QB,white,2018,tampa_bay_buccaneers,NFL,29
case keenum,QB,white,2018,denver_broncos,NFL,30
cj beathard,QB,white,2018,dallas_cowboys,NFL,31
tyrod taylor,QB,nonwhite,2016,buffalo_bills,NFL,32
jameis winston,QB,nonwhite,2018,tampa_bay_buccaneers,NFL,33
colin kaepernick,QB,nonwhite,2016,seattle_seahawks,NFL,34
kirk cousins,QB,white,2018,washington_redskins,NFL,35
tyler bray,QB,white,2018,buffalo_bills,NFL,36
jake locker,QB,white,2014,cleveland_browns,NFL,37
ken obrien,QB,white,1986,cleveland_browns,NFL,38
craig krenzel,QB,white,2005,cincinnati_bengals,NFL,39
john skelton,QB,white,2010,denver_broncos,NFL,40
damon huard,QB,white,2006,kansas_city_chiefs,NFL,41
tommy kramer,QB,white,1989,cleveland_browns,NFL,42
ken anderson,QB,white,1981,cincinnati_bengals,NFL,43
mark malone,QB,white,1985,pittsburgh_steelers,NFL,44
brock osweiler,QB,white,2016,houston_texans,NFL,45
brady quinn,QB,white,2013,tennessee_titans,NFL,46
brandon weeden,QB,white,2015,cleveland_browns,NFL,47
trevone boykin,QB,nonwhite,2016,seattle_seahawks,NFL,48
jason campbell,QB,nonwhite,2013,cincinnati_bengals,NFL,49
stan humphries,QB,white,1994,pittsburgh_steelers,NFL,50
