player_name,player_position,race,example_year,example_team,league_level,player_id
a.j. bouye,DB,nonwhite,2021,carolina_panthers,NFL,0
a.j. finley,DB,nonwhite,2023,los_angeles_chargers,NFL,1
a.j. green,DB,nonwhite,2025,miami_dolphins,NFL,2
a.j. moore,DB,nonwhite,2022,tennessee_titans,NFL,3
a.j. parker,DB,nonwhite,2023,carolina_panthers,NFL,4
a.j. terrell,DB,nonwhite,2025,atlanta_falcons,NFL,5
a.j. thomas,DB,nonwhite,2024,new_england_patriots,NFL,6
a.j. woods,DB,nonwhite,2025,atlanta_falcons,NFL,7
aaron colvin,DB,nonwhite,2020,washington_commanders,NFL,8
aaron robinson,DB,nonwhite,2024,new_york_giants,NFL,9
aashari crosswell,DB,,2021,seattle_seahawks,NFL,10
abu daramy-swaray,DB,,2022,cincinnati_bengals,NFL,11
adonis alexander,DB,nonwhite,2020,los_angeles_rams,NFL,12
adoree' jackson,DB,nonwhite,2025,philadelphia_eagles,NFL,13
adrian amos,DB,nonwhite,2024,san_francisco_49ers,NFL,14
adrian colbert,DB,nonwhite,2024,chicago_bears,NFL,15
adrian frye,DB,,2023,new_orleans_saints,NFL,16
adrian phillips,DB,nonwhite,2023,new_england_patriots,NFL,17
ahkello witherspoon,DB,nonwhite,2025,los_angeles_rams,NFL,18
ahmad gardner,DB,nonwhite,2023,new_york_jets,NFL,19
aj finley,DB,nonwhite,2025,seattle_seahawks,NFL,20
ajani carter,DB,,2025,houston_texans,NFL,21
akayleb evans,DB,white,2025,carolina_panthers,NFL,22
akeem dent,DB,nonwhite,2024,los_angeles_chargers,NFL,23
akeem king,DB,nonwhite,2020,miami_dolphins,NFL,24
al blades jr.,DB,,2024,new_york_jets,NFL,25
alex austin,DB,nonwhite,2025,new_england_patriots,NFL,26
alex brown,DB,nonwhite,2020,kansas_city_chiefs,NFL,27
alex cook,DB,nonwhite,2025,chicago_bears,NFL,28
alex johnson,DB,nonwhite,2025,los_angeles_rams,NFL,29
alexander myres,DB,white,2022,indianapolis_colts,NFL,30
alijah clark,DB,nonwhite,2025,dallas_cowboys,NFL,31
alijah holder,DB,nonwhite,2021,detroit_lions,NFL,32
alijah huzzie,DB,nonwhite,2025,houston_texans,NFL,33
allan george,DB,nonwhite,2025,detroit_lions,NFL,34
allie green,DB,,2022,chicago_bears,NFL,35
alohi gilman,DB,nonwhite,2025,baltimore_ravens,NFL,36
alontae taylor,DB,nonwhite,2025,new_orleans_saints,NFL,37
amani hooker,DB,nonwhite,2025,tennessee_titans,NFL,38
amani oruwariye,DB,nonwhite,2025,baltimore_ravens,NFL,39
amari henderson,DB,nonwhite,2020,jacksonville_jaguars,NFL,40
ambry thomas,DB,nonwhite,2025,philadelphia_eagles,NFL,41
amechi uzodinma,DB,,2023,los_angeles_chargers,NFL,42
ameer speed,DB,nonwhite,2025,houston_texans,NFL,43
amik robertson,DB,nonwhite,2025,detroit_lions,NFL,44
andre chachere,DB,nonwhite,2024,arizona_cardinals,NFL,45
andre cisco,DB,nonwhite,2025,new_york_jets,NFL,46
andre' sam,DB,nonwhite,2025,philadelphia_eagles,NFL,47
andrew adams,DB,nonwhite,2023,baltimore_ravens,NFL,48
andrew booth,DB,nonwhite,2025,dallas_cowboys,NFL,49
andrew hayes,DB,nonwhite,2024,tampa_bay_buccaneers,NFL,50
andrew mukuba,DB,nonwhite,2025,philadelphia_eagles,NFL,51
andrew sendejo,DB,white,2021,indianapolis_colts,NFL,52
andrew whitaker,DB,,2024,seattle_seahawks,NFL,53
andrew wingard,DB,white,2025,jacksonville_jaguars,NFL,54
andru phillips,DB,nonwhite,2025,new_york_giants,NFL,55
anthony averett,DB,nonwhite,2024,houston_texans,NFL,56
anthony brown,DB,nonwhite,2024,carolina_panthers,NFL,57
anthony chesley,DB,nonwhite,2023,tampa_bay_buccaneers,NFL,58
anthony cioffi,DB,white,2020,las_vegas_raiders,NFL,59
anthony cook,DB,nonwhite,2023,kansas_city_chiefs,NFL,60
anthony harris,DB,nonwhite,2022,philadelphia_eagles,NFL,61
anthony johnson,DB,nonwhite,2024,atlanta_falcons,NFL,62
anthony johnson jr.,DB,nonwhite,2025,new_york_giants,NFL,63
anthony kendall,DB,nonwhite,2025,cleveland_browns,NFL,64
anthony levine,DB,nonwhite,2021,baltimore_ravens,NFL,65
anthony sao,DB,,2024,atlanta_falcons,NFL,66
antoine bethea,DB,nonwhite,2020,new_york_giants,NFL,67
antoine brooks,DB,nonwhite,2021,los_angeles_rams,NFL,68
antoine winfield,DB,nonwhite,2022,tampa_bay_buccaneers,NFL,69
antoine winfield jr.,DB,nonwhite,2025,tampa_bay_buccaneers,NFL,70
antonio hamilton,DB,nonwhite,2025,washington_commanders,NFL,71
antonio johnson,DB,nonwhite,2025,jacksonville_jaguars,NFL,72
antonio phillips,DB,,2021,houston_texans,NFL,73
aqib talib,DB,nonwhite,2020,miami_dolphins,NFL,74
ar'darius washington,DB,nonwhite,2025,baltimore_ravens,NFL,75
armani marsh,DB,nonwhite,2023,tennessee_titans,NFL,76
armani watts,DB,nonwhite,2022,indianapolis_colts,NFL,77
arnold tarpley,DB,,2024,atlanta_falcons,NFL,78
