player_name,player_position,race,example_year,example_team,league_level,player_id
matt ryan,QB,white,2016,atlanta_falcons,NFL,0
matthew stafford,QB,white,2018,detroit_lions,NFL,1
teddy bridgewater,QB,nonwhite,2014,minnesota_vikings,NFL,2
eli manning,QB,white,2016,new_york_giants,NFL,3
luke mccown,QB,white,2016,atlanta_falcons,NFL,4
charlie batch,QB,nonwhite,2010,cleveland_browns,NFL,5
matt hasselbeck,QB,white,2014,indianapolis_colts,NFL,6
donovan mcnabb,QB,nonwhite,2010,washington_redskins,NFL,7
matt flynn,QB,white,2013,oakland_raiders,NFL,8
tim boyle,QB,white,2018,tennessee_titans,NFL,9
bryce petty,QB,white,2016,new_york_jets,NFL,10
kellen clemens,QB,white,2013,tennessee_titans,NFL,11
brett hundley,QB,nonwhite,2016,seattle_seahawks,NFL,12
jeff driskel,QB,white,2018,cincinnati_bengals,NFL,13
carson wentz,QB,white,2016,washington_redskins,NFL,14
charlie whitehurst,QB,white,2014,cleveland_browns,NFL,15
ryan fitzpatrick,QB,white,2015,new_york_jets,NFL,16
tom brandstater,QB,white,2011,cincinnati_bengals,NFL,17
matt barkley,QB,white,2016,san_francisco_49ers,NFL,18
brian hoyer,QB,nonwhite,2015,houston_texans,NFL,19
johnny manziel,QB,white,2014,cleveland_browns,NFL,20
bruce gradkowski,QB,white,2013,baltimore_ravens,NFL,21
brandon allen,QB,white,2018,los_angeles_rams,NFL,22
blaine gabbert,QB,white,2018,tennessee_titans,NFL,23
chase daniel,QB,white,2018,kansas_city_chiefs,NFL,24
trent edwards,QB,white,2010,cincinnati_bengals,NFL,25
mason rudolph,QB,white,2018,pittsburgh_steelers,NFL,26
garrett gilbert,QB,white,2018,buffalo_bills,NFL,27
ryan tannehill,QB,white,2016,miami_dolphins,NFL,28
matt moore,QB,white,2016,miami_dolphins,NFL,29
shaun hill,QB,white,2010,detroit_lions,NFL,30
josh freeman,QB,nonwhite,2013,dallas_cowboys,NFL,31
jake locker,QB,white,2014,cleveland_browns,NFL,32
nathan peterman,QB,white,2018,cincinnati_bengals,NFL,33
aj mccarron,QB,white,2018,oakland_raiders,NFL,34
rex grossman,QB,white,2013,kansas_city_chiefs,NFL,35
davis webb,QB,white,2018,new_york_jets,NFL,36
dak prescott,QB,nonwhite,2018,seattle_seahawks,NFL,37
jimmy clausen,QB,white,2010,carolina_panthers,NFL,38
kyle lauletta,QB,white,2018,new_york_jets,NFL,39
chad henne,QB,white,2012,jacksonville_jaguars,NFL,40
tarvaris jackson,QB,nonwhite,2014,seattle_seahawks,NFL,41
