player_id,name,position,team,years_active,pfr_url,college
00-0023436,Alex Smith,QB,WAS,2020,https://www.pro-football-reference.com/players/S/SmitAl03.htm,Utah
00-0023516,Richie Incognito,OL,LV,"2020,2021",,Nebraska
00-0026300,Josh Johnson,QB,WAS,"2020,2021,2022,2023,2024,2025",https://www.pro-football-reference.com/players/J/JohnJo05.htm,San Diego
00-0027953,Mike Pouncey,OL,LAC,2020,,Florida
00-0027988,Marcus Gilchrist,DB,BAL,2020,https://www.pro-football-reference.com/players/G/GilcMa00.htm,Clemson
00-0028092,Richard Sherman,DB,TB,"2020,2021",https://www.pro-football-reference.com/players/S/SherRi00.htm,Stanford
00-0029119,Derek Carrier,TE,LV,"2020,2021",https://www.pro-football-reference.com/players/C/CarrDe00.htm,Beloit
00-0030821,Allen Hurns,WR,MIA,"2020,2021",,Miami
00-0030937,Zac Kerin,OL,TEN,2020,,Toledo
00-0031188,Bennett Jackson,DB,NYJ,2020,https://www.pro-football-reference.com/players/J/JackBe00.htm,Notre Dame
00-0031203,Cairo Santos,K,CHI,"2020,2021,2022,2023,2024,2025",https://www.pro-football-reference.com/players/S/SantCa01.htm,Tulane
00-0031619,Christian Covington,DL,LAC,"2020,2021,2022,2023",https://www.pro-football-reference.com/players/C/CoviCh00.htm,Rice
00-0031997,David Irving,DL,LV,2020,,Iowa State
00-0032162,T.Y. McGill,DL,CLE,"2020,2021,2022,2023,2024",,North Carolina State
00-0033119,Jacoby Brissett,QB,ARI,"2020,2021,2022,2023,2024,2025",https://www.pro-football-reference.com/players/B/BrisJa00.htm,N.C. State; Florida
00-0033121,B.J. Goodson,LB,NYJ,"2020,2021",https://www.pro-football-reference.com/players/G/GoodB.00.htm,Clemson
00-0033275,PJ Walker,QB,SEA,"2020,2021,2022,2023,2024",https://www.pro-football-reference.com/players/W/WalkPh00.htm,Temple
00-0033297,D.J. Jones,DL,DEN,"2020,2021,2022,2023,2024,2025",https://www.pro-football-reference.com/players/J/JoneD.01.htm,Mississippi; East Mississippi JC
00-0033393,Kenny Moore II,DB,IND,"2020,2021,2022,2023,2024,2025",https://www.pro-football-reference.com/players/M/MoorKe03.htm,Valdosta State
00-0033439,Pharaoh Brown,TE,ARI,"2020,2021,2022,2023,2024,2025",https://www.pro-football-reference.com/players/B/BrowPh01.htm,Oregon
00-0033444,Anthony Kukwa,LS,HOU,2020,,Lake Erie
00-0033508,William Stanback,RB,GB,2020,,Virginia Union
00-0033512,Damontae Kazee,DB,DET,"2020,2021,2022,2023,2024,2025",https://www.pro-football-reference.com/players/K/KazeDa00.htm,San Diego State
00-0033545,Teez Tabor,DB,SEA,"2020,2021,2022,2023",https://www.pro-football-reference.com/players/T/TaboTe00.htm,Florida
00-0033883,Jabrill Peppers,DB,PIT,"2020,2021,2022,2023,2024,2025",https://www.pro-football-reference.com/players/P/PeppJa00.htm,Michigan
00-0034171,Jason Cabinda,RB,DET,"2020,2021,2022,2023",https://www.pro-football-reference.com/players/C/CabiJa00.htm,Penn State
00-0034273,Damion Ratley,WR,MIN,"2020,2021",https://www.pro-football-reference.com/players/R/RatlDa00.htm,Texas A&amp;M
00-0034384,D.J. Reed,DB,DET,"2020,2021,2022,2023,2024,2025",https://www.pro-football-reference.com/players/R/ReedD.00.htm,Kansas State; Cerritos College; Fresno State
00-0034398,Natrell Jamerson,DB,NYG,"2020,2021",https://www.pro-football-reference.com/players/J/JameNa00.htm,Wisconsin
00-0034400,Jordan Wilkins,RB,CLE,"2020,2021,2022,2023",https://www.pro-football-reference.com/players/W/WilkJo01.htm,Mississippi
00-0034490,Ezekiel Turner,LB,DET,"2020,2021,2022,2023,2024,2025",https://www.pro-football-reference.com/players/T/TurnZe00.htm,Washington; Pierce College
00-0034605,Cavon Walker,DL,PIT,2020,,Maryland
00-0034745,Tracy Walker III,DB,SF,"2020,2021,2022,2023,2024",https://www.pro-football-reference.com/players/W/WalkTr01.htm,Louisiana-Lafayette
00-0034929,Quinn Bailey,OL,DEN,"2020,2021,2022,2023,2024",,Arizona State
