player_id,full_name,position,team,season,headshot_url
00-0016919,Adam Vinatieri,K,IND,2020,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/imfj1hl4kob4jof8hcwa"
00-0019596,Tom Brady,QB,TB,2022,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/q7dpdlxyu5rs05rgh1le"
00-0020531,Drew Brees,QB,NO,2021,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/i20xlpzdmn7xubotijjd"
00-0021206,Josh McCown,QB,HOU,2020,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/qcauc37wqjdaxdbq1evu"
00-0022127,Jason Witten,TE,LV,2020,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/bzcmldvnmjcftyagknmz"
00-0022161,Terrell Suggs,LB,KC,2020,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/s8bqh2tllr3pyz03fvrx"
00-0022455,Don Muhlbach,LS,DET,2020,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/pdeodqdxam1ghlqyenen"
00-0022531,Jason Peters,OL,SEA,2024,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xcsyqvrlrpe6s3d0rodq"
00-0022787,Matt Schaub,QB,ATL,2020,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/wz1ou270sshrsayhpgre"
00-0022824,Andy Lee,P,ARI,2022,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/bfozbs2h9jueavslvw3z"
00-0022921,Larry Fitzgerald,WR,ARI,2020,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ycgjjaad5un42gy4pnga"
00-0022924,Ben Roethlisberger,QB,PIT,2021,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/vziogpnyp9d0xtpiuqhr"
00-0022942,Philip Rivers,QB,IND,2025,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/voakyrtj34sghkwxaxxf"
00-0023173,John Denney,LS,NO,2020,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/r592pzrlchblgsanedxc"
00-0023252,Robbie Gould,K,SF,2022,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/uakpiwhnutg2rvoyrmgh"
00-0023259,Lorenzo Alexander,LB,BUF,2020,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/rr7kcy09b67a7q6ma6lx"
00-0023298,L.P. Ladouceur,LS,DAL,2020,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/b9a7s0amdroxdktpmsgp"
00-0023368,Cameron Wake,LB,TEN,2020,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/joxqiwlrpk7wwrwoibsl"
00-0023436,Alex Smith,QB,WAS,2020,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/dpa5d1a8jj6jdymocjkx"
