player_name,player_position,race,league_level,example_team,example_year,player_id
swayze bozeman,LB,nonwhite,NFL,new_york_giants,2025,0
j.r. sweezy,OL,white,NFL,seattle_seahawks,2022,1
clay johnston,LB,white,NFL,cincinnati_bengals,2023,2
dante stills,DL,nonwhite,NFL,arizona_cardinals,2025,3
hendon hooker,QB,nonwhite,NFL,new_york_jets,2025,4
brandon pili,DL,nonwhite,NFL,seattle_seahawks,2025,5
chris myarick,TE,white,NFL,miami_dolphins,2025,6
jalen redmond,DL,nonwhite,NFL,minnesota_vikings,2025,7
anthony gould,WR,nonwhite,NFL,indianapolis_colts,2025,8
hunter henry,TE,white,NFL,new_england_patriots,2025,9
christopher allen,LB,nonwhite,NFL,denver_broncos,2023,10
temarrick hemingway,TE,nonwhite,NFL,washington_commanders,2021,11
andrew ogletree,TE,nonwhite,NFL,indianapolis_colts,2025,12
eric wilson,LB,nonwhite,NFL,minnesota_vikings,2025,13
jason bean,QB,nonwhite,NFL,indianapolis_colts,2025,14
warren peeples,DL,nonwhite,NFL,tampa_bay_buccaneers,2025,15
damien harris,RB,nonwhite,NFL,buffalo_bills,2023,16
lawrence cager,WR,nonwhite,NFL,cleveland_browns,2021,17
trysten hill,DL,nonwhite,NFL,indianapolis_colts,2024,18
jullian taylor,DL,nonwhite,NFL,minnesota_vikings,2022,19
william gholston,DL,nonwhite,NFL,tampa_bay_buccaneers,2024,20
julius welschof,LB,white,NFL,pittsburgh_steelers,2025,21
andre carter ii,LB,nonwhite,NFL,miami_dolphins,2025,22
austin edwards,DL,nonwhite,NFL,kansas_city_chiefs,2022,23
bryce love,RB,nonwhite,NFL,washington_commanders,2020,24
malaki starks,DB,nonwhite,NFL,baltimore_ravens,2025,25
eli ricks,DB,nonwhite,NFL,philadelphia_eagles,2025,26
trevian thomas,DB,nonwhite,NFL,jacksonville_jaguars,2025,27
derrick tangelo,DL,nonwhite,NFL,atlanta_falcons,2022,28
rashad weaver,LB,nonwhite,NFL,los_angeles_chargers,2025,29
nick muse,TE,white,NFL,new_york_jets,2025,30
evan weaver,LB,white,NFL,arizona_cardinals,2021,31
daequan hardy,DB,nonwhite,NFL,pittsburgh_steelers,2025,32
cedric boswell,DB,nonwhite,NFL,detroit_lions,2022,33
azeez ojulari,LB,nonwhite,NFL,philadelphia_eagles,2025,34
victor bolden,WR,nonwhite,NFL,denver_broncos,2022,35
eugene asante,LB,nonwhite,NFL,atlanta_falcons,2025,36
andrew mukuba,DB,nonwhite,NFL,philadelphia_eagles,2025,37
kameron johnson,WR,nonwhite,NFL,tampa_bay_buccaneers,2025,38
marcus harris,DL,nonwhite,NFL,kansas_city_chiefs,2025,39
peter leblanc,WR,white,NFL,chicago_bears,2024,40
craig reynolds,RB,nonwhite,NFL,new_england_patriots,2025,41
shaun beyer,TE,white,NFL,green_bay_packers,2022,42
kamaal seymour,OL,nonwhite,NFL,las_vegas_raiders,2021,43
corbin kaufusi,OL,nonwhite,NFL,san_francisco_49ers,2021,44
da'quan felton,WR,nonwhite,NFL,new_york_giants,2025,45
morgan cox,ST,white,NFL,tennessee_titans,2025,46
clark barrington,OL,white,NFL,las_vegas_raiders,2024,47
cameron brown,LB,nonwhite,NFL,miami_dolphins,2024,48
amari rodgers,WR,nonwhite,NFL,indianapolis_colts,2023,49
maurice ffrench,WR,nonwhite,NFL,los_angeles_chargers,2022,50
ethan robinson,DB,nonwhite,NFL,miami_dolphins,2025,51
brandon hitner,OL,white,NFL,indianapolis_colts,2020,52
dee virgin,DB,nonwhite,NFL,chicago_bears,2021,53
john penisini,DL,nonwhite,NFL,new_orleans_saints,2023,54
harrison hand,DB,nonwhite,NFL,los_angeles_chargers,2025,55
jerald hawkins,OL,nonwhite,NFL,new_orleans_saints,2022,56
tre brown,DB,nonwhite,NFL,new_york_jets,2025,57
chasen hines,OL,nonwhite,NFL,miami_dolphins,2024,58
evan anderson,DL,nonwhite,NFL,san_francisco_49ers,2025,59
tre'quan smith,WR,nonwhite,NFL,detroit_lions,2024,60
junior aho,DL,nonwhite,NFL,atlanta_falcons,2024,61
brock wright,TE,white,NFL,detroit_lions,2025,62
braiden mcgregor,DL,white,NFL,new_york_jets,2025,63
t.j. hockenson,TE,white,NFL,minnesota_vikings,2025,64
caleb huntley,RB,nonwhite,NFL,atlanta_falcons,2022,65
patrick laird,RB,white,NFL,tampa_bay_buccaneers,2023,66
jontre kirklin,WR,nonwhite,NFL,san_francisco_49ers,2024,67
trent mcduffie,DB,nonwhite,NFL,kansas_city_chiefs,2025,68
d'angelo ross,DB,nonwhite,NFL,cleveland_browns,2025,69
josh hokit,RB,white,NFL,san_francisco_49ers,2022,70
xavier johnson,WR,nonwhite,NFL,cincinnati_bengals,2025,71
andre anthony,LB,nonwhite,NFL,chicago_bears,2022,72
jack conley,OL,white,NFL,cleveland_browns,2025,73
justice hill,RB,nonwhite,NFL,baltimore_ravens,2025,74
lance boykin,DB,nonwhite,NFL,seattle_seahawks,2024,75
steven stilianos,TE,white,NFL,detroit_lions,2025,76
elijah chatman,DL,nonwhite,NFL,new_york_giants,2025,77
keilahn harris,WR,nonwhite,NFL,atlanta_falcons,2023,78
darren hall,DB,nonwhite,NFL,arizona_cardinals,2025,79
marshall foerner,OL,white,NFL,indianapolis_colts,2025,80
andrew hayes,DB,nonwhite,NFL,tampa_bay_buccaneers,2024,81
vince biegel,LB,white,NFL,baltimore_ravens,2022,82
willington previlon,DL,nonwhite,NFL,pittsburgh_steelers,2024,83
thomas booker,DL,nonwhite,NFL,las_vegas_raiders,2025,84
nesta jade silvera,DL,nonwhite,NFL,los_angeles_chargers,2025,85
braylon jones,OL,nonwhite,NFL,arizona_cardinals,2023,86
terrell bonds,DB,nonwhite,NFL,baltimore_ravens,2020,87
sincere haynesworth,OL,nonwhite,NFL,arizona_cardinals,2025,88
nick whiteside,DB,nonwhite,NFL,detroit_lions,2025,89
