player_name,player_position,race,league_level,example_team,example_year,player_id
sean mannion,QB,white,NFL,los_angeles_rams,2018,0
erik kramer,QB,white,NFL,detroit_lions,1991,1
eddie wilson,QB,white,NFL,dallas_texans,1962,2
bruce gradkowski,QB,white,NFL,tampa_bay_buccaneers,2006,3
greg landry,QB,white,NFL,detroit_lions,1970,4
mike phipps,QB,white,NFL,cleveland_browns,1970,5
joshua dobbs,QB,nonwhite,NFL,pittsburgh_steelers,2018,6
sam bradford,QB,nonwhite,NFL,minnesota_vikings,2016,7
wade wilson,QB,white,NFL,minnesota_vikings,1989,8
blake bortles,QB,white,NFL,jacksonville_jaguars,2018,9
glenn carano,QB,white,NFL,dallas_cowboys,1982,10
matt mcgloin,QB,white,NFL,oakland_raiders,2016,11
rich gannon,QB,white,NFL,oakland_raiders,2002,12
jim plunkett,QB,white,NFL,los_angeles_raiders,1984,13
drew henson,QB,white,NFL,dallas_cowboys,2004,14
john skelton,QB,white,NFL,arizona_cardinals,2010,15
frank reich,QB,white,NFL,buffalo_bills,1992,16
trevor siemian,QB,white,NFL,denver_broncos,2016,17
robert griffin iii,QB,nonwhite,NFL,washington_redskins,2015,18
andrew luck,QB,white,NFL,indianapolis_colts,2018,19
scott bull,QB,white,NFL,san_francisco_49ers,1976,20
charlie batch,QB,nonwhite,NFL,pittsburgh_steelers,2007,21
joe namath,QB,white,NFL,new_york_jets,1969,22
gale gilbert,QB,white,NFL,buffalo_bills,1993,23
jay schroeder,QB,white,NFL,los_angeles_raiders,1990,24
david garrard,QB,nonwhite,NFL,jacksonville_jaguars,2007,25
drew brees,QB,white,NFL,new_orleans_saints,2016,26
mark brunell,QB,white,NFL,jacksonville_jaguars,1996,27
jared goff,QB,white,NFL,los_angeles_rams,2018,28
tom owen,QB,white,NFL,new_england_patriots,1976,29
josh allen,QB,white,NFL,buffalo_bills,2018,30
brock osweiler,QB,white,NFL,houston_texans,2016,31
donovan mcnabb,QB,nonwhite,NFL,philadelphia_eagles,2008,32
tommy kramer,QB,white,NFL,minnesota_vikings,1989,33
dan fouts,QB,white,NFL,san_diego_chargers,1981,34
alex smith,QB,white,NFL,kansas_city_chiefs,2016,35
taylor heinicke,QB,white,NFL,carolina_panthers,2018,36
tyler bray,QB,white,NFL,chicago_bears,2018,37
drew stanton,QB,white,NFL,detroit_lions,2010,38
dak prescott,QB,nonwhite,NFL,dallas_cowboys,2018,39
daryle lamonica,QB,white,NFL,oakland_raiders,1972,40
aj mccarron,QB,white,NFL,oakland_raiders,2018,41
jimmy clausen,QB,white,NFL,carolina_panthers,2010,42
michael vick,QB,nonwhite,NFL,atlanta_falcons,2003,43
caleb hanie,QB,white,NFL,chicago_bears,2010,44
tom savage,QB,white,NFL,houston_texans,2016,45
shaun hill,QB,white,NFL,detroit_lions,2010,46
steve mcnair,QB,nonwhite,NFL,tennessee_titans,1999,47
craig morton,QB,white,NFL,new_york_giants,1975,48
brandon weeden,QB,white,NFL,dallas_cowboys,2015,49
tony romo,QB,white,NFL,dallas_cowboys,2013,50
jt barrett,QB,nonwhite,NFL,new_orleans_saints,2018,51
landry jones,QB,white,NFL,pittsburgh_steelers,2016,52
danny white,QB,white,NFL,dallas_cowboys,1985,53
christian hackenberg,QB,white,NFL,new_york_jets,2016,54
kurt warner,QB,white,NFL,arizona_cardinals,2009,55
chase daniel,QB,white,NFL,chicago_bears,2018,56
tyrod taylor,QB,nonwhite,NFL,buffalo_bills,2016,57
vince young,QB,nonwhite,NFL,tennessee_titans,2010,58
byron leftwich,QB,nonwhite,NFL,atlanta_falcons,2007,59
tim boyle,QB,white,NFL,green_bay_packers,2018,60
tim couch,QB,white,NFL,cleveland_browns,2001,61
tommy maddox,QB,white,NFL,pittsburgh_steelers,2005,62
johnny manziel,QB,white,NFL,cleveland_browns,2014,63
marc wilson,QB,white,NFL,los_angeles_raiders,1983,64
craig krenzel,QB,white,NFL,cincinnati_bengals,2005,65
curtis painter,QB,white,NFL,indianapolis_colts,2011,66
bart starr,QB,white,NFL,green_bay_packers,1969,67
cody carlson,QB,white,NFL,houston_oilers,1992,68
ej manuel,QB,nonwhite,NFL,buffalo_bills,2015,69
alex van pelt,QB,white,NFL,buffalo_bills,2001,70
jameis winston,QB,nonwhite,NFL,tampa_bay_buccaneers,2018,71
ty detmer,QB,white,NFL,san_francisco_49ers,1998,72
teddy bridgewater,QB,nonwhite,NFL,minnesota_vikings,2014,73
tanner lee,QB,white,NFL,jacksonville_jaguars,2018,74
damon huard,QB,white,NFL,kansas_city_chiefs,2006,75
jeff driskel,QB,white,NFL,cincinnati_bengals,2018,76
kyle allen,QB,white,NFL,carolina_panthers,2018,77
quincy carter,QB,nonwhite,NFL,dallas_cowboys,2002,78
chris miller,QB,white,NFL,atlanta_falcons,1990,79
dieter brock,QB,white,NFL,los_angeles_rams,1985,80
rusty smith,QB,white,NFL,tennessee_titans,2010,81
davis webb,QB,white,NFL,new_york_jets,2018,82
kyle boller,QB,white,NFL,baltimore_ravens,2003,83
jeff george,QB,white,NFL,oakland_raiders,1997,84
ben roethlisberger,QB,white,NFL,pittsburgh_steelers,2016,85
blaine gabbert,QB,white,NFL,tennessee_titans,2018,86
ryan lindley,QB,white,NFL,arizona_cardinals,2014,87
jay fiedler,QB,white,NFL,miami_dolphins,2000,88
matt moore,QB,white,NFL,miami_dolphins,2016,89
peyton manning,QB,white,NFL,indianapolis_colts,2006,90
roger staubach,QB,white,NFL,dallas_cowboys,1978,91
mark malone,QB,white,NFL,pittsburgh_steelers,1985,92
patrick ramsey,QB,white,NFL,washington_redskins,2005,93
jim hart,QB,white,NFL,st_louis_cardinals,1971,94
marcus mariota,QB,nonwhite,NFL,tennessee_titans,2016,95
bert jones,QB,white,NFL,baltimore_colts,1976,96
kirk cousins,QB,white,NFL,minnesota_vikings,2018,97
dan marino,QB,white,NFL,miami_dolphins,1994,98
trent dilfer,QB,white,NFL,san_francisco_49ers,2006,99
bernie kosar,QB,white,NFL,cleveland_browns,1986,100
jason campbell,QB,nonwhite,NFL,cleveland_browns,2013,101
trent edwards,QB,white,NFL,buffalo_bills,2008,102
brady quinn,QB,white,NFL,st_louis_rams,2013,103
norris weese,QB,white,NFL,denver_broncos,1978,104
mike white,QB,white,NFL,dallas_cowboys,2018,105
joe kapp,QB,white,NFL,minnesota_vikings,1969,106
