word,count_a,count_b,total_count,log_odds,z_score,variance
pressure,107,63,170,1.5943704897737287,10.03984831087149,0.025218786928288196
under,77,44,121,1.6205774662733212,8.575293939280403,0.03571425216999022
pocket,61,15,76,2.462843380936123,8.545567806156331,0.08305996436256939
poise,57,15,72,2.3943901844126483,8.251104540511177,0.08421038787913629
arm,47,20,67,1.9119567877194754,7.161513943396181,0.07127651570332232
receiver,73,62,135,1.2226691161862,7.0794498722693175,0.029827637936117233
accuracy,38,10,48,2.3916728947680657,6.729353118430538,0.12631558181870442
deliver,38,13,51,2.129145114176291,6.626495929626867,0.10323873001012523
speed,25,253,278,-1.273241270313183,-6.073226410605645,0.04395238744915771
throw,47,35,82,1.3515213050214125,6.053396266288718,0.04984798221400753
confidence,29,13,42,1.8574416815427632,5.564952378988674,0.11140571478761555
agility,19,174,193,-1.1699206246210903,-4.842057936023851,0.058378486498195624
snap,86,127,213,0.6679937886528737,4.783369145245462,0.01950190572957436
shotgun,21,9,30,1.901356847445757,4.7723704777591145,0.15872998135637556
through,34,229,263,-0.8633500635104525,-4.697500722007588,0.03377848285499249
launches,32,27,59,1.2247005134606166,4.686632971920692,0.06828698098028935
deep,44,48,92,0.9685272570334016,4.640503099800008,0.04356057067820375
handoff,11,133,144,-1.4467521806902806,-4.611435432508988,0.09842740310751556
precision,21,12,33,1.613511174896165,4.458774225840386,0.1309522579566308
decision,17,6,23,2.0950497340688123,4.411952061090908,0.22548990538712632
strength,47,58,105,0.845167773157506,4.306370428667462,0.03851794319485563
erupts,28,25,53,1.1676117192971,4.243358331185093,0.07571422405304754
needle,15,4,19,2.3751472894869368,4.220750923946047,0.31666615204370213
threading,15,4,19,2.3751472894869368,4.220750923946047,0.31666615204370213
strike,16,7,23,1.8800634397003915,4.148755456960942,0.2053569165944673
steps,14,3,17,2.5937341287160676,4.076862552832397,0.40476110543385435
crowd,38,45,83,0.8856831927635582,4.020106796928253,0.04853797185661314
beautiful,14,5,19,2.082800094172587,3.9977909962912768,0.27142822471488237
builds,14,5,19,2.082800094172587,3.9977909962912768,0.27142822471488237
being,12,112,124,-1.1865808453231503,-3.906492137372653,0.0922615523615525
flick,13,4,17,2.2317335290900475,3.9031915231971404,0.32692260634133397
wrist,13,4,17,2.2317335290900475,3.9031915231971404,0.32692260634133397
asset,8,94,102,-1.4164783989505265,-3.8460934318502944,0.1356376483799232
connecting,17,1,18,3.8870764046433477,3.7775722907184166,1.0588162215332155
tight,29,32,61,0.9556172613855578,3.7272904194312644,0.06573270517235497
line,69,321,390,-0.4929116036637282,-3.714618588687317,0.017607983746689107
hitting,12,5,17,1.928336513633198,3.6227155629149395,0.28333301044348363
solid,7,83,90,-1.4251084659977016,-3.6208937452078582,0.15490458721042538
corps,13,7,20,1.6719545489118,3.566402667974067,0.21978000675792042
separation,6,75,81,-1.477624081769763,-3.4828022242618,0.17999908383731017
chemistry,16,13,29,1.260697030972195,3.376319819112181,0.13942296166225593
receiving,14,10,24,1.38938051278625,3.35567417770781,0.17142842478321554
bursting,4,62,66,-1.692334471861579,-3.2805105664452494,0.2661273563630694
create,4,60,64,-1.659435287320541,-3.2134924104928135,0.2666650410994729
calm,10,1,11,3.355355113303175,3.1992121108113065,1.099995504955901
break,2,57,59,-2.301431971179449,-3.1990944973067927,0.5175378845789746
surveying,12,8,20,1.4581694915681842,3.194690693063039,0.20833315070326408
rush,10,5,15,1.7457021637529646,3.1872031244884598,0.2999996965531717
connection,10,5,15,1.7457021637529646,3.1872031244884598,0.2999996965531717
route,11,87,98,-1.0197861043258216,-3.186784726024101,0.1024030108558135
moving,22,25,47,0.9255088304021832,3.1660163964873638,0.08545447573966566
brought,8,73,81,-1.1624922785968712,-3.1214386415401902,0.13869811192220302
stepping,11,7,18,1.5045875818286722,3.1119082002614333,0.23376602495138157
coming,8,2,10,2.4386993745225647,3.0847404729216503,0.6249989252933874
feels,8,2,10,2.4386993745225647,3.0847404729216503,0.6249989252933874
throws,8,2,10,2.4386993745225647,3.0847404729216503,0.6249989252933874
accelerates,4,56,60,-1.590223728590968,-3.072612901430174,0.26785561788955653
dart,10,6,16,1.563326165898924,3.0273694907845874,0.2666664221109694
valuable,3,51,54,-1.7842610352902089,-3.003369220679565,0.3529387405110719
read,43,69,112,0.5813250035151745,2.9920507835677355,0.03774853355107667
both,13,11,24,1.219751315583518,2.9773772885725647,0.1678320301243427
vision,5,57,62,-1.384679246558755,-2.968771537273771,0.21754284853472558
well,8,1,9,3.1318994905834705,2.952788010450223,1.1249963017510263
showcased,12,85,97,-0.9092519835196642,-2.9484862756595676,0.0950977612441264
run,4,52,56,-1.5158971174828695,-2.9215177550602434,0.2692293447728371
formation,18,20,38,0.9476281434594842,2.916739069705202,0.10555546966634313
accurate,7,2,9,2.3050117899959126,2.8748569985654187,0.6428561582037696
bursts,10,75,85,-0.96617481900262,-2.86997130118771,0.1133329833138395
after,6,58,64,-1.219648552339729,-2.8440367109570475,0.18390731900053178
around,7,1,8,2.998212101129,2.804574666388582,1.1428538400414217
finally,3,45,48,-1.6587702439599177,-2.781850747334097,0.35555338813263054
side,3,45,48,-1.6587702439599177,-2.781850747334097,0.35555338813263054
alive,9,6,15,1.4578092870543964,2.7659998571145206,0.27777753427101876
unleashes,7,3,10,1.8994926042777873,2.7526278334880634,0.47618994406912674
drops,89,179,268,0.3566964844295173,2.7501296678147353,0.016822530161658595
cornerback,8,64,72,-1.0304231375619333,-2.747799549967474,0.14062453771887828
running,13,84,97,-0.8171636911466296,-2.7417957242039943,0.08882760104262949
tackler,1,44,45,-2.7351557413171994,-2.7046184689921886,1.0227090568248212
streaking,17,20,37,0.8903131226236836,2.6988674106702897,0.10882344018717348
scrimmage,4,46,50,-1.3929669276225969,-2.6721801445876907,0.2717378565176137
spiral,21,28,49,0.7653394725610703,2.651214820392877,0.08333326309099559
off,28,138,166,-0.5469615328257422,-2.6388928089456223,0.04296057333230575
pinpoint,6,2,8,2.15070494754303,2.634066630600064,0.6666657675653292
collapse,6,1,7,2.843905451340115,2.6329481133122736,1.1666637558297484
leader,6,1,7,2.843905451340115,2.6329481133122736,1.1666637558297484
quarterback,71,286,357,-0.3466300783452487,-2.614235476143967,0.017580980119736054
clutch,9,7,16,1.3036041195132864,2.5867603110515334,0.2539680419351449
stride,22,31,53,0.7100695285349659,2.5471546548258424,0.07771254335193689
snapped,3,39,42,-1.5153418607712945,-2.529181842088355,0.35897245969711616
moves,10,9,19,1.15769753689018,2.5196472285767073,0.21111093933268626
situations,14,16,30,0.9190494367513038,2.511322179775815,0.1339284620870506
crucial,40,70,110,0.49408914167532636,2.4928043094911887,0.03928567738698924
textbook,15,18,33,0.8703065912220564,2.4894153517064472,0.12222212167265416
composure,6,3,9,1.7451857040256051,2.4680665397045702,0.4999994942552862
growing,6,3,9,1.7451857040256051,2.4680665397045702,0.4999994942552862
laser,11,11,22,1.0523843290991444,2.468061019866453,0.18181803469240523
secondary,2,34,36,-1.7834869630268022,-2.451176835709131,0.5294081107666078
pushed,5,45,50,-1.1476344195904291,-2.4345047284156327,0.22222140304304475
delhomme,5,1,6,2.6614279528901905,2.4295427640411384,1.199997475325571
avoid,5,1,6,2.6614279528901905,2.4295427640411384,1.199997475325571
begins,5,1,6,2.6614279528901905,2.4295427640411384,1.199997475325571
trusted,5,1,6,2.6614279528901905,2.4295427640411384,1.199997475325571
duress,5,1,6,2.6614279528901905,2.4295427640411384,1.199997475325571
defender,26,125,151,-0.5217284494288874,-2.4204614302253917,0.04646144417595363
end,35,60,95,0.5144706239770107,2.4188482793661006,0.045238053184442864
extend,7,5,12,1.3885582499114744,2.3714156847100667,0.3428568495664311
completion,7,5,12,1.3885582499114744,2.3714156847100667,0.3428568495664311
beautifully,5,2,7,1.968227260282279,2.352482911278076,0.6999991786707545
catches,1,31,32,-2.384247319291675,-2.34671250268189,1.0322451041324374
makes,46,86,132,0.42806544863907003,2.343427716800967,0.03336700495107439
