word,count_a,count_b,total_count,log_odds,z_score,variance
incomplete,7,5,12,2.0433311939389585,3.489660130120803,0.34285561547693355
forcing,9,14,23,1.265535793968617,2.9620800662511253,0.18253883699475865
falls,4,2,6,2.396634815568226,2.767402800580088,0.749996049327153
tackle,8,13,21,1.2207326820223505,2.716618283051979,0.20192212373488216
releases,9,17,26,1.0706300730479477,2.597165265888564,0.1699337746341095
relentless,8,15,23,1.0771322938828982,2.460349779978729,0.19166569406928996
tide,3,2,5,2.1075852385522076,2.308749224027309,0.8333295289780444
wobbly,3,2,5,2.1075852385522076,2.308749224027309,0.8333295289780444
prowess,3,2,5,2.1075852385522076,2.308749224027309,0.8333295289780444
blocker,4,5,9,1.4795997916798251,2.2056619060424034,0.4499980562663971
pursuit,6,11,17,1.0978542741387374,2.1631831554972196,0.2575744665626658
move,3,3,6,1.7018724816209891,2.0843639854469944,0.6666638572951652
scanning,2,46,48,-1.4457240788510797,-2.001562944983209,0.5217137994666746
pass,16,51,67,0.5485401313116283,1.9143338823308274,0.08210723741518822
turn,3,4,7,1.4139421713695475,1.8512889285638832,0.5833307727089323
exactly,3,4,7,1.4139421713695475,1.8512889285638832,0.5833307727089323
remarkable,4,7,11,1.1426298450093109,1.8230110399045485,0.3928552212703982
momentum,2,39,41,-1.2788882933193468,-1.7639932955631639,0.5256193726423569
explodes,8,22,30,0.6923894149880523,1.6770559471418511,0.1704534271873958
need,3,5,8,1.1905501093016984,1.6302317697011222,0.5333307861719013
textbook,3,5,8,1.1905501093016984,1.6302317697011222,0.5333307861719013
backfield,7,19,26,0.7048365531669791,1.5941492370748553,0.19548745204040407
receiver,1,27,28,-1.6026442338136526,-1.5738102222054657,1.0369779625387747
shedding,4,9,13,0.89081724325459,1.4824137069325474,0.36110906098937734
pressure,4,9,13,0.89081724325459,1.4824137069325474,0.36110906098937734
instincts,2,31,33,-1.047310764002808,-1.4355607086147562,0.5322406097071479
ground,3,6,9,1.0079798741203847,1.4255025630479636,0.499997366218102
wrapping,5,13,18,0.7466079255205615,1.4187778092120713,0.2769213354500394
away,2,3,5,1.2950420914698135,1.4186507710680054,0.8333295289780444
example,2,3,5,1.2950420914698135,1.4186507710680054,0.8333295289780444
celebrates,2,3,5,1.2950420914698135,1.4186507710680054,0.8333295289780444
strategy,2,3,5,1.2950420914698135,1.4186507710680054,0.8333295289780444
moments,2,3,5,1.2950420914698135,1.4186507710680054,0.8333295289780444
him,9,29,38,0.5335426190687782,1.3982962339643619,0.1455927860491026
off,12,42,54,0.4517288363692398,1.3800598949210254,0.10714200251031106
awareness,1,21,22,-1.3498379733937629,-1.318832309721286,1.0475725898298518
impressive,5,14,19,0.6722503418564072,1.2903415905924946,0.27142676583983727
quick,5,14,19,0.6722503418564072,1.2903415905924946,0.27142676583983727
opposing,3,7,10,0.8535803933915513,1.2369591055646985,0.47618770504777563
message,3,7,10,0.8535803933915513,1.2369591055646985,0.47618770504777563
tone,3,7,10,0.8535803933915513,1.2369591055646985,0.47618770504777563
powerful,4,11,15,0.6896480273979373,1.1811624490940562,0.3409068543747916
reads,1,18,19,-1.1949422311156281,-1.1630934849405947,1.0555153998850229
open,1,18,19,-1.1949422311156281,-1.1630934849405947,1.0555153998850229
freight,2,4,6,1.0071119567990365,1.162915781594597,0.749996049327153
train,2,4,6,1.0071119567990365,1.162915781594597,0.749996049327153
snapped,2,4,6,1.0071119567990365,1.162915781594597,0.749996049327153
leap,2,4,6,1.0071119567990365,1.162915781594597,0.749996049327153
bengals,2,4,6,1.0071119567990365,1.162915781594597,0.749996049327153
using,2,4,6,1.0071119567990365,1.162915781594597,0.749996049327153
