word,count_a,count_b,total_count,log_odds,z_score,variance
athleticism,4,7,11,-2.1207844317797955,-3.3836091287445695,0.39285535500104013
league,3,6,9,-2.2534210117884923,-3.1868263658937184,0.49999754951306863
extend,5,6,11,-1.742122216275125,-2.877025885916829,0.36666520508548706
dynamic,2,4,6,-2.2513987578600494,-2.5996977283404914,0.7499963242696029
defender,16,9,25,-0.9852203075423027,-2.364534162181253,0.17361031460798337
touchdown,8,6,14,-1.2714069350913286,-2.354192998438526,0.29166547545639504
landing,4,4,8,-1.5577792373283783,-2.2030368434335643,0.4999980396077647
showcased,4,4,8,-1.5577792373283783,-2.2030368434335643,0.4999980396077647
hill,2,3,5,-1.9625899715958397,-2.1499141630535483,0.833329793737932
off,2,3,5,-1.9625899715958397,-2.1499141630535483,0.833329793737932
evading,2,3,5,-1.9625899715958397,-2.1499141630535483,0.833329793737932
threat,2,3,5,-1.9625899715958397,-2.1499141630535483,0.833329793737932
rolls,2,3,5,-1.9625899715958397,-2.1499141630535483,0.833329793737932
sidesteps,10,6,16,-1.0477883720953853,-2.0290379658108586,0.2666654817193639
quarterback,16,8,24,-0.8663034110326606,-2.0006469328035603,0.18749908106740074
downfield,5,4,9,-1.3343988431735312,-1.989208345411474,0.4499981915384267
most,5,4,9,-1.3343988431735312,-1.989208345411474,0.4499981915384267
marker,3,3,6,-1.5568888851028788,-1.9067954154269104,0.666664052810353
showcasing,57,5,62,0.8873606036495669,1.9025304605928743,0.21753896056567004
deliver,37,2,39,1.3700850243735303,1.8872914563945828,0.5270078580107914
time,4,3,7,-1.2689702876944624,-1.6614755065777216,0.5833309509127901
crowd,37,3,40,0.963505308168477,1.6050585893009668,0.3603515904199147
big,7,4,11,-0.9974524151932949,-1.5913871523019467,0.39285535500104013
connecting,13,6,19,-0.7847109954202844,-1.5899422776895302,0.24358848854129278
before,29,2,31,1.1245560383862845,1.5382270831475653,0.5344674937210293
past,5,3,8,-1.0455899588832303,-1.4317361969540412,0.5333309634387278
proving,5,3,8,-1.0455899588832303,-1.4317361969540412,0.5333309634387278
pinpoint,5,3,8,-1.0455899588832303,-1.4317361969540412,0.5333309634387278
air,8,4,12,-0.8636837580133259,-1.4103931269955405,0.37499816213480147
chains,20,1,21,1.44510457799268,1.4103053789599607,1.04995873037563
quick,20,1,21,1.44510457799268,1.4103053789599607,1.04995873037563
read,39,4,43,0.7278233216332097,1.3863032235486494,0.27563570175516533
tight,19,1,20,1.393574673313748,1.358313940778107,1.0525922638769538
launches,29,10,39,-0.49390834088202684,-1.3468351343019493,0.13448190316046416
defense,44,5,49,0.6253795205829702,1.3251369075761783,0.22272338079979292
moving,18,1,19,1.3392708992350224,1.303573641383023,1.0555181943828913
bounds,18,1,19,1.3392708992350224,1.303573641383023,1.0555181943828913
drive,18,1,19,1.3392708992350224,1.303573641383023,1.0555181943828913
plays,12,5,17,-0.6815402982960537,-1.2803948054601824,0.2833317688348129
showed,3,2,5,-1.1502986609111154,-1.2600917250297747,0.833329793737932
veteran,3,2,5,-1.1502986609111154,-1.2600917250297747,0.833329793737932
entire,3,2,5,-1.1502986609111154,-1.2600917250297747,0.833329793737932
young,3,2,5,-1.1502986609111154,-1.2600917250297747,0.833329793737932
