word,count_a,count_b,total_count,log_odds,z_score,variance
valuable,7,16,23,1.7083378370362432,3.769811738663615,0.20535637762832787
running,5,14,19,1.5019627710950374,2.882918238275976,0.2714273988305368
right,4,11,15,1.5185649722634462,2.600848241153674,0.3409076384434365
evading,6,23,29,1.1883790839952706,2.5923686463967255,0.2101437502366299
snapped,3,7,10,1.6816023543684278,2.4368779302619936,0.4761886765362933
keep,3,7,10,1.6816023543684278,2.4368779302619936,0.4761886765362933
charging,2,3,5,2.12217172215181,2.3247260923956077,0.833330862684712
determination,6,28,34,0.9909282218643973,2.202717641382896,0.20237960070553354
quick,7,36,43,0.8944445532395742,2.1653148395470043,0.17063367443541025
back,5,23,28,1.0041947345871565,2.0351165017349557,0.24347665588682543
sprinting,5,23,28,1.0041947345871565,2.0351165017349557,0.24347665588682543
decisions,3,10,13,1.324485011209842,2.012042169580601,0.43333117893315776
asset,7,39,46,0.8139565955776176,1.9829207761225167,0.1684968425399297
look,2,5,7,1.611052066255768,1.925579341297121,0.6999972222344246
initial,2,5,7,1.611052066255768,1.925579341297121,0.6999972222344246
solid,9,57,66,0.6868484080543293,1.9149151695485351,0.12865382801180883
crucial,3,12,15,1.1418683631978768,1.7689800054555045,0.41666424353892695
sharply,2,6,8,1.4285833693605383,1.7496541452350682,0.6666636258745622
demonstrated,2,6,8,1.4285833693605383,1.7496541452350682,0.6666636258745622
quarterback,1,68,69,-1.7032865372456474,-1.6909775174471795,1.0146114537706186
display,3,99,102,-0.9812695710819597,-1.6744658115200732,0.3434188217961819
crowd,2,7,9,1.2742855014845427,1.5893173696613612,0.6428538127267492
showing,2,7,9,1.2742855014845427,1.5893173696613612,0.6428538127267492
makes,3,14,17,0.9874224849162418,1.5520462087282516,0.4047592014110671
backfield,3,15,18,0.91828197641573,1.4519364554650216,0.3999971538266989
gaps,2,8,10,1.1406068826313467,1.4427704608184118,0.6249963653083904
momentum,3,16,19,0.8535957938795224,1.3567434233476428,0.39583034303305265
tackles,5,33,38,0.6417001213480615,1.3371628472687371,0.23030090266409164
speed,7,142,149,-0.4937181004695157,-1.2752201004158132,0.14989522544619963
explosive,1,45,46,-1.2870448819436682,-1.2730176066902739,1.0221592503821253
read,1,45,46,-1.2870448819436682,-1.2730176066902739,1.0221592503821253
johnson,2,10,12,0.9171687838420768,1.184064021065639,0.5999957307400484
bengals,2,10,12,0.9171687838420768,1.184064021065639,0.5999957307400484
demonstrating,2,10,12,0.9171687838420768,1.184064021065639,0.5999957307400484
remarkable,3,18,21,0.7355173638736234,1.1794566809359865,0.3888856073813698
defense,2,56,58,-0.8123980481414037,-1.1289435225957352,0.5178372770669161
past,1,38,39,-1.1169371836249748,-1.1025531709781162,1.0262623891902927
cuts,3,19,22,0.6813024102396161,1.0966497438954697,0.38596148403542646
highlights,4,28,32,0.5817420695747781,1.0883450746223258,0.2857114931658879
after,1,37,38,-1.0901216868174899,-1.0757096015640943,1.026974993937763
demonstrates,2,11,13,0.8217112881096726,1.0689579107184215,0.5909044967534582
find,4,29,33,0.5465026781450186,1.0246286954682937,0.28447988270982927
skills,1,4,5,1.139348481010777,1.0190672246408712,1.2499927306167808
league,1,4,5,1.139348481010777,1.0190672246408712,1.2499927306167808
yardage,1,4,5,1.139348481010777,1.0190672246408712,1.2499927306167808
space,1,4,5,1.139348481010777,1.0190672246408712,1.2499927306167808
cowboys,1,4,5,1.139348481010777,1.0190672246408712,1.2499927306167808
stride,1,4,5,1.139348481010777,1.0190672246408712,1.2499927306167808
navigates,1,4,5,1.139348481010777,1.0190672246408712,1.2499927306167808
season,1,4,5,1.139348481010777,1.0190672246408712,1.2499927306167808
cut,3,20,23,0.629861360320418,1.0173226161975746,0.38332975776046035
fantastic,2,12,14,0.7345525691295576,0.9617591291656007,0.5833284110720547
races,1,33,34,-0.9751225581321359,-0.9606972091184381,1.0302564653885455
level,2,48,50,-0.657061329906993,-0.9104658614153818,0.5208161996801326
impressive,4,78,82,-0.4501931586385055,-0.878162871072826,0.2628134817118703
showed,1,5,6,0.9160584728360792,0.8362461244087896,1.1999914614800968
