word,count_a,count_b,total_count,log_odds,z_score,variance
towards,5,7,12,1.6476643773634496,2.8139266233481526,0.34285616866570784
chargers,3,2,5,2.3881402867808568,2.6160804198497076,0.8333309068448083
slot,4,6,10,1.5777118518347528,2.4441842493816357,0.41666545342240413
spectacular,2,77,79,-1.6805818608711354,-2.3464847122687345,0.5129604543578488
laser,3,4,7,1.6946889687458366,2.218871814390731,0.5833317001196391
scoring,3,4,7,1.6946889687458366,2.218871814390731,0.5833317001196391
outside,3,4,7,1.6946889687458366,2.218871814390731,0.5833317001196391
bills,4,8,12,1.2897244465434543,2.1061147398970888,0.3749987400932694
brought,3,5,8,1.4713930111852207,2.0147909266599977,0.5333317087062466
brees,3,5,8,1.4713930111852207,2.0147909266599977,0.5333317087062466
moore,3,5,8,1.4713930111852207,2.0147909266599977,0.5333317087062466
solid,3,6,9,1.2889189575194422,1.8228097326200259,0.4999983201243592
placed,3,6,9,1.2889189575194422,1.8228097326200259,0.4999983201243592
perfectly,9,34,43,0.655326057639753,1.7481757928943689,0.14052211240084303
speed,6,90,96,-0.7355701837408786,-1.7445755315934173,0.1777741781793867
clean,8,29,37,0.6962580190268968,1.7434700002198211,0.15948192255487192
capitalize,2,3,5,1.575948818192546,1.7263679478043696,0.8333309068448083
pivotal,2,3,5,1.575948818192546,1.7263679478043696,0.8333309068448083
plays,1,41,42,-1.7390452034897494,-1.718264927938709,1.024333769484245
cut,5,15,20,0.8843013216111988,1.712445981408714,0.26666547209009206
being,3,7,10,1.1346157189856596,1.644217436040093,0.47618870870307595
sharp,4,12,16,0.8836481672938454,1.5305269498937297,0.3333318401126151
moments,4,12,16,0.8836481672938454,1.5305269498937297,0.3333318401126151
him,8,32,40,0.5973574829818,1.5112124945517074,0.15624910756855973
remarkable,5,17,22,0.7588321175653165,1.4915743439208224,0.25882224447797686
spots,5,17,22,0.7588321175653165,1.4915743439208224,0.25882224447797686
release,2,4,6,1.2881146092973363,1.4873891314806826,0.7499974801865388
moves,2,4,6,1.2881146092973363,1.4873891314806826,0.7499974801865388
hauls,3,8,11,1.000931720211681,1.478477155496286,0.45833145980708423
like,3,8,11,1.000931720211681,1.478477155496286,0.45833145980708423
before,10,44,54,0.5024388504144071,1.4342142127523316,0.1227265095387266
deep,3,50,53,-0.838083068362673,-1.4099367894005663,0.3533253909209612
target,9,40,49,0.4918851516249765,1.3332705487525458,0.13611025698022144
fantastic,3,9,12,0.8829960389551461,1.3244970250856403,0.4444424534834868
make,6,75,81,-0.55092842639307,-1.2985617309747635,0.17999695691552386
stride,5,19,24,0.6473003162020214,1.2878437856969807,0.25263019946115833
precise,4,14,18,0.7291917130449646,1.2861765589923726,0.3214269361244826
dart,2,5,7,1.0648188085228192,1.2727043837672576,0.6999972718838304
throw,2,5,7,1.0648188085228192,1.2727043837672576,0.6999972718838304
bursts,2,5,7,1.0648188085228192,1.2727043837672576,0.6999972718838304
move,2,5,7,1.0648188085228192,1.2727043837672576,0.6999972718838304
falcons,2,5,7,1.0648188085228192,1.2727043837672576,0.6999972718838304
performance,2,5,7,1.0648188085228192,1.2727043837672576,0.6999972718838304
slant,2,5,7,1.0648188085228192,1.2727043837672576,0.6999972718838304
downfield,2,5,7,1.0648188085228192,1.2727043837672576,0.6999972718838304
beautiful,2,5,7,1.0648188085228192,1.2727043837672576,0.6999972718838304
over,2,36,38,-0.9139973112356419,-1.258127447386141,0.5277649715979937
concentration,1,26,27,-1.2812837773400592,-1.257354434771345,1.038425200656
