word,count_a,count_b,total_count,log_odds,z_score,variance
pocket,68,24,92,2.097848318358997,8.835691192086008,0.05637247599222286
under,79,45,124,1.6197661469744862,8.67284297148327,0.034880417096223054
pressure,92,67,159,1.3749268593631934,8.560764190887726,0.025794916313456442
receiver,81,55,136,1.4438630885781931,8.263815340131613,0.030527470487721427
poise,57,16,73,2.325558120088891,8.219843069716465,0.08004373457831407
arm,48,14,62,2.285929142306869,7.52578634261738,0.09226176521251904
accuracy,41,7,48,2.820727909489629,6.897346713498013,0.16724697687849388
speed,24,285,309,-1.4394296755647833,-6.772364412555807,0.045175218942982126
deliver,37,6,43,2.8716494311496223,6.52490568707672,0.19369319529934606
throw,46,31,77,1.4471903789136364,6.227880306718228,0.05399714757972192
agility,15,197,212,-1.5366616817084928,-5.737071205637841,0.07174242350044499
confidence,27,12,39,1.8615203669487395,5.365475692226196,0.12037023850710543
erupts,32,20,52,1.520940416870916,5.3358143714560775,0.08124992649980524
laser,20,5,25,2.4361688851278007,4.872341979765709,0.24999956802002954
strength,52,59,111,0.9256473520726427,4.866446232064575,0.03617989211887941
shotgun,23,13,36,1.6204518531908292,4.670040873981774,0.12040122351780136
through,36,233,269,-0.827731856890014,-4.6221424526474815,0.03206953686864902
handoff,12,134,146,-1.3714204444969642,-4.55132876113915,0.09079560437973931
crowd,44,49,93,0.9435998704558752,4.543295181255973,0.04313540071408649
makes,62,85,147,0.7365696233721382,4.410223813621222,0.02789371432053423
steps,16,4,20,2.4355960799903835,4.356930484687441,0.3124994600250369
quarterback,52,280,332,-0.6438558653740794,-4.26383896224479,0.02280214616150899
chemistry,16,7,23,1.875816234841026,4.139383117151493,0.2053569154905688
beam,14,4,18,2.3017511800870007,4.05991059272521,0.3214280766999048
tight,22,17,39,1.3073594455865152,4.0485423727949135,0.10427798723969392
both,17,10,27,1.5797582539996817,3.9639978822495245,0.15882338165389806
scans,22,18,40,1.2501460997342555,3.9334945042685026,0.10101001721548174
between,13,3,16,2.51522303103439,3.9268943420054216,0.41025564897472555
textbook,16,9,25,1.6243921618489985,3.898543043142955,0.17361094592253787
streaking,17,11,28,1.4843932023727264,3.836108993203937,0.14973248684774312
threading,12,3,15,2.4350236656521798,3.7723257010164297,0.4166659467000492
line,69,321,390,-0.49724887195287426,-3.7473045838316548,0.017607983577520477
needle,12,4,16,2.1472870962136312,3.7192128692777837,0.33333288158938124
connecting,13,6,19,1.8219120038325345,3.691459688010173,0.24358948330227123
snap,83,143,226,0.5082009390611253,3.6828880012236245,0.01904118193283249
moving,20,17,37,1.2117353243980213,3.673216647957921,0.10882343975186115
precision,19,16,35,1.2209646474878948,3.59837182930479,0.11513148394352049
bursting,4,72,76,-1.8466849386581545,-3.594875456202796,0.2638869517349635
off,29,166,195,-0.7022847948856272,-3.489390093131015,0.04050675785926211
beautiful,14,9,23,1.4905471671601038,3.488729295639578,0.18253951938421717
explosive,6,73,79,-1.4547574478975003,-3.4254306574428637,0.1803643985855542
chains,25,28,53,0.9360682279543573,3.4018782578938866,0.07571422375221233
flick,10,4,14,1.9646522414486878,3.32087035958449,0.349999587331812
stepping,10,4,14,1.9646522414486878,3.32087035958449,0.349999587331812
wrist,10,4,14,1.9646522414486878,3.32087035958449,0.349999587331812
being,12,94,106,-1.0146658775491266,-3.3099800458970616,0.09397132704855861
accurate,9,2,11,2.5523911654635887,3.2650328836664952,0.6111099378324266
connection,9,3,12,2.1468717779648587,3.220309849081275,0.444443842119175
key,9,79,88,-1.1281430499344278,-3.2067006624920182,0.12376889152233961
where,12,8,20,1.4539208810970816,3.1853824566226194,0.20833314981224166
athleticism,12,89,101,-0.9597316157159215,-3.120868054979983,0.09456899804254687
feet,16,15,31,1.113237201041657,3.097509603959093,0.12916656141731042
builds,8,2,10,2.4344516416197033,3.079367476872983,0.6249989200500738
firing,8,2,10,2.4344516416197033,3.079367476872983,0.6249989200500738
first,23,28,51,0.852372519036324,3.0289176435569676,0.07919248093935471
dart,10,6,16,1.5590776695332593,3.019142315931043,0.26666642091782194
pass,56,97,153,0.5011172657081175,2.9858895268783634,0.028166394760582636
launches,29,40,69,0.7277817405448053,2.98404790105728,0.05948270773027061
vision,6,61,67,-1.2745111334982724,-2.978843458774574,0.18305934530012083
perfectly,49,82,131,0.5353010105433302,2.9646100881907125,0.032603255112858893
level,3,49,52,-1.7484109197857691,-2.939692830383463,0.35373913873772944
second,3,49,52,-1.7484109197857691,-2.939692830383463,0.35373913873772944
